start_time,stop_time,avg_intensity
0,20,61.1
20,40,26.7
40,60,36.775
60,80,36.925
80,100,47.275
100,120,21.28
120,140,21.9
140,160,23.866666666666664
160,180,11.66
180,200,10.075
200,220,15.725
220,240,28.775
240,260,50.125
260,280,25.125
280,300,9.95
300,320,10.5
320,340,10.18
340,360,10.0
360,380,9.7
380,400,14.680000000000001
400,420,11.125
420,440,9.875
440,460,41.400000000000006
460,480,31.1
480,500,18.275
500,520,14.425
520,540,14.825
540,560,10.925
560,580,26.475
580,600,24.0
600,620,9.76
620,640,11.7
640,660,13.699999999999998
660,680,26.26
680,700,27.825
700,720,19.4
720,740,29.2
740,760,37.075
760,780,46.225
780,800,10.975
800,820,12.15
820,840,13.080000000000002
840,860,21.866666666666664
860,880,9.125
880,900,13.1
900,920,15.9
920,940,10.05
940,960,31.975
960,980,50.175
980,1000,80.625
1000,1020,15.375
1020,1040,10.225
1040,1060,24.275
1060,1080,22.425
1080,1100,22.725
1100,1120,20.36
1120,1140,9.125
1140,1160,14.033333333333333
1160,1180,18.380000000000003
1180,1200,29.375
1200,1220,17.125
1220,1240,9.575
1240,1260,14.675
1260,1280,12.125
1280,1300,9.225
1300,1320,18.05
1320,1340,46.739999999999995
1340,1360,39.03333333333333
1360,1380,7.85
1380,1400,10.620000000000001
1400,1420,26.8
1420,1440,20.325
1440,1460,10.0
1460,1480,7.428571428571429
