start_time,end_time,words
0,20,"Madagascar.&nbsp ; An island off the coast of Africa.&nbsp ; It ’s one of the most biologically diverse places in the world . Almost all of its plants and animals are n’t found anywhere else on Earth.&nbsp;&nbsp ; And when we looked at it from space , we saw a spot . A"
20,40,"massive dark circle , almost perfectly round , over thirteen kilometers in diameter , and big enough that roads are diverted on either side of it.&nbsp ; Looking at it from the side , we could see it was a mountain . And if you zoomed all the way in , you could see a village nestled in the crater at its center.&nbsp ; 8 kilometers from"
40,60,"the closest labeled town on Google Maps.&nbsp ; Isolated in a remote part of a remote region of a geographically isolated country.&nbsp ; It looked like it could have been there for generations . But if you looked backward through time … & nbsp ; … each year … & nbsp ; … it gets smaller and smaller … & nbsp ; … and before 2008 , there was no"
60,80,one there at all . I wanted to try to answer one question : Why did these people move to such an incredibly isolated place ? I was really starting from zero here.&nbsp ; I did n't know anyone in Madagascar . I did n't know that much about
80,100,"Madagascar.&nbsp ; But the question was : could we get in touch with the people living here just by using the internet?&nbsp ; The closest location tags were on the edges of the mountain : a butcher shop , a playground , and a historical landmark.&nbsp ; But none of them were real — they all seemed to be random references to the popular Japanese manga and anime series Attack on Titan , written in Russian.&nbsp ; The"
100,120,"ones that did look real — churches , hospitals , schools — did n’t have much of a presence on the internet.&nbsp;&nbsp ; So we looked at content that had been geotagged nearby.&nbsp ; First on Twitter : using the coordinates of the village , and a search radius.&nbsp ; Until finally at 12 kilometers away … & nbsp ; … we found someone.&nbsp ; A nonprofit worker who had posted"
120,140,"from a nearby village in 2014.&nbsp ; We asked if he knew about the village on the mountain.&nbsp ; But he never got back to us.&nbsp ; On Instagram , we looked for pictures tagged in the nearest town , Antaniditra and found an aid organization that had posted pictures taken there . We asked , but they did n’t know.&nbsp ; They ’d never actually been on the mountain at all.&nbsp ; And finally we looked at geotags on YouTube.&nbsp ; And"
140,160,"there was a video . Geotagged right next to the village on top of the mountain.&nbsp ; But , then … &nbsp;&nbsp ; It was just more Attack on Titan stuff . Also written in Russian.&nbsp;&nbsp ; After a while , it felt like the internet alone was not going to tell us very much.&nbsp ; So we started reaching out to experts who had worked in Madagascar ."
160,180,Experts in agriculture . & nbsp;And experts in biogeography . Madagascar is a country of almost 29 million people : slightly
180,200,"more than Australia , slightly fewer than Texas.&nbsp ; A majority of the country 's population — over 60 percent — lives in rural settings a lot like this one.&nbsp ; But this village was particularly remote.&nbsp ; If you zoom out , the closest major city is a place called Tsiroanomandidy.&nbsp ; 18 kilometers away , with a population of over 44,000.&nbsp;&nbsp ; At this point in the process , it felt"
200,220,"like we might need to take a more drastic approach.&nbsp ; Maybe we could hire someone to make the journey up the mountain to the village itself.&nbsp ; Someone in Madagascar.&nbsp ; That ’s how we met Lalie.&nbsp ; Hi Christopher.&nbsp ; Lalie runs a production company in Madagascar , in the capital city of Antananarivo.&nbsp ; She was down to make the trip.&nbsp ; She started to"
220,240,gather a crew … &nbsp ; … make local contacts … & nbsp ; … and figure out how to get from Antananarivo all the way here.&nbsp ; They were n't exactly sure yet how they 'd get up to the village . Or how they ’d establish contact once they got there.&nbsp;&nbsp ; But they knew they were going to have to do it in just a few days in the middle of
240,260,"Madagascar ’s hot rainy season.&nbsp ; And early one morning in January , they went . This is Toussinah . She ’s going to be our guide.&nbsp ; This is Haja , he ’s an historian&nbsp ; This is Vahambola , our fixer.&nbsp ; This is José , our very focused driver.&nbsp ; And"
260,280,"this is me , you know me already.&nbsp ; As they approached the mountain , Lalie sent us messages every step of the way.&nbsp ;"
280,300,"Until , finally,&nbsp ; After traveling 10"
300,320,kilometers by motorcycle and on foot … they made it to the top of the mountain . But when they got there and were about to descend to the village in the crater … & nbsp ; … a massive storm appeared on the horizon.&nbsp ; And they had to turn back.&nbsp ;
320,340,"They got extremely close . But making contact with the village would have to wait until the end of the rainy season . Which was … & nbsp ; ... in May.&nbsp ; Four months away.&nbsp ; Still , all the research we ’d done so far gave us a detailed idea of what this place"
340,360,"looked like.&nbsp ; What Lalie ’s team did see looked green , lush , and clearly extremely difficult to access . But there was so much we did n’t know.&nbsp ; Before Lalie went in January , she was n’t convinced that anybody lived there at all . There ’s the small group of houses at the very top in the very middle that we ’ve kinda been interested in.&nbsp ;"
360,380,"So I turned to some very basic Googling . And I found an article about earthquakes in Madagascar.&nbsp;&nbsp ; The article described how a team of researchers mapped Madagascar via seismic tomography.&nbsp ; That ’s "" tomography "" not "" topography , "" because it ’s mapping the Earth ’s interior , not exterior ,"
380,400,"like a CT scan for the planet . All of these measurements produced this final map of the entire island . With colors labeling the different ages and kinds of rock.&nbsp ; And here , in the center of the map , I could see one perfectly circular dot … I pulled it into Photoshop , overlaid it with the map … And it lined up with the"
400,420,"mountain exactly . According to the key , that meant that the mountain dated back to the Cretaceous Period : sometime between 66 and 145 million years ago.&nbsp ; And ... ... it was volcanic . This looked like a very ,"
420,440,very extinct volcano . But we wanted to know for sure.&nbsp ; So I started looking for a volcano expert from Madagascar who could explain it to me.&nbsp ; And that led me to Tsilavo Raharimahefa.&nbsp ; He showed me a map&nbsp ; from a detailed geological survey of the area.&nbsp ;
440,460,90 million years old.&nbsp ; Older than Mount Everest . The
