start_time,stop_time,avg_intensity
0,5,24.53333333333333
5,10,65.9
10,15,71.4
15,20,33.9
20,25,27.5
25,30,21.2
30,35,35.8
35,40,34.1
40,45,32.3
45,50,21.2
50,55,18.6
55,60,17.775
60,65,16.95
65,70,20.8
70,75,23.875
75,80,26.950000000000003
80,85,32.6
85,90,32.625
90,95,32.65
95,100,32.474999999999994
100,105,32.3
105,110,38.150000000000006
110,115,40.025000000000006
115,120,41.9
120,125,41.6
125,130,34.5
130,135,30.6
135,140,26.6
140,145,25.1
145,150,22.3
150,155,19.4
155,160,17.8
160,165,16.1
165,170,14.4
170,175,12.8
175,180,13.8
180,185,14.7
185,190,14.7
190,195,21.0
195,200,27.3
200,205,44.1
205,210,45.4
210,215,46.6
215,220,30.2
220,225,27.1
225,230,26.65
230,235,26.2
235,240,30.0
240,245,31.525
245,250,33.05
250,255,35.0
255,260,34.975
260,265,34.95
265,270,33.425
270,275,31.9
275,280,26.85
280,285,24.375
285,290,21.9
290,295,19.3
295,300,17.8
300,305,18.9
305,310,19.9
310,315,24.8
315,320,27.3
320,325,29.8
325,330,29.9
330,335,31.4
335,340,33.0
340,345,28.7
345,350,35.0
350,355,41.3
355,360,53.8
360,365,63.0
365,370,72.3
370,375,81.1
375,380,81.2
380,385,81.3
385,390,71.8
390,395,63.7
395,400,57.7
400,405,51.7
405,410,40.7
410,415,36.975
415,420,33.25
420,425,28.3
425,430,24.950000000000003
430,435,21.6
435,440,19.5
440,445,17.4
445,450,15.600000000000001
450,455,16.55
455,460,17.5
460,465,19.0
465,470,24.1
470,475,25.2
475,480,26.3
480,485,22.5
485,490,23.0
490,495,23.5
495,500,25.7
500,505,27.8
505,510,29.9
510,515,32.6
515,520,33.6
520,525,34.7
525,530,35.2
530,535,33.0
535,540,30.8
540,545,24.5
545,550,22.5
550,555,20.4
555,560,17.9
560,565,22.7
565,570,28.5
570,575,34.3
575,580,46.6
580,585,49.0
585,590,51.400000000000006
590,595,50.5
595,600,49.675
600,605,48.849999999999994
605,610,47.574999999999996
610,615,46.3
615,620,47.75
620,625,46.725
625,630,45.7
630,635,41.2
635,640,29.0
640,645,23.7
645,650,18.3
650,655,19.5
655,660,18.9
660,665,18.4
665,670,20.9
670,675,21.0
675,680,21.1
680,685,19.7
685,690,19.5
690,695,19.3
695,700,19.0
700,705,20.1
705,710,21.2
710,715,24.6
715,720,25.0
720,725,25.3
725,730,21.6
730,735,22.0
735,740,22.925
740,745,23.85
745,750,27.1
750,755,27.85
755,760,28.6
760,765,31.1
765,770,33.974999999999994
770,775,36.849999999999994
775,780,38.974999999999994
780,785,41.1
785,790,40.099999999999994
790,795,38.75
795,800,37.4
800,805,38.849999999999994
805,810,38.775
810,815,38.7
815,820,36.6
820,825,30.5
825,830,27.0
830,835,23.4
835,840,22.2
840,845,20.8
845,850,19.5
850,855,18.3
855,860,20.2
860,865,22.1
865,870,16.5
870,875,30.4
875,880,44.2
880,885,78.5
885,890,89.4
890,895,100.2
895,900,95.4
900,905,84.7
905,910,71.125
910,915,57.55
915,920,36.2
920,925,38.875
925,930,41.55
930,935,60.4
935,940,67.47500000000001
940,945,74.55000000000001
945,950,76.72500000000001
950,955,78.9
955,960,69.9
960,965,62.050000000000004
965,970,54.2
970,975,43.9
975,980,41.599999999999994
980,985,39.3
985,990,37.1
990,995,43.1
995,1000,43.1
1000,1005,43.2
1005,1010,37.9
1010,1015,39.7
1015,1020,41.5
1020,1025,49.4
1025,1030,52.1
1030,1035,54.8
1035,1040,56.8
1040,1045,53.1
1045,1050,49.5
1050,1055,39.7
1055,1060,34.1
1060,1065,28.5
1065,1070,25.7
1070,1075,25.0
1075,1080,24.5
1080,1085,24.0
1085,1090,30.5
1090,1095,37.475
1095,1100,44.45
1100,1105,58.8
1105,1110,62.49999999999999
1110,1115,66.19999999999999
1115,1120,66.39999999999999
1120,1125,66.6
1125,1130,60.25
1130,1135,60.275
1135,1140,60.3
1140,1145,79.7
1145,1150,89.85
1150,1155,100.0
1155,1160,107.6
1160,1165,111.7
1165,1170,98.4
1170,1175,85.2
1175,1180,46.6
1180,1185,33.8
1185,1190,21.1
1190,1195,32.2
1195,1200,34.6
1200,1205,37.1
1205,1210,41.5
1210,1215,46.0
1215,1220,50.6
1220,1225,52.0
1225,1230,57.4
1230,1235,62.9
1235,1240,70.6
1240,1245,73.2
1245,1250,75.9
1250,1255,74.8
1255,1260,70.7
1260,1265,65.475
1265,1270,60.25
1270,1275,52.7
1275,1280,56.925
1280,1285,61.15
1285,1290,62.974999999999994
1290,1295,64.8
1295,1300,44.349999999999994
1300,1305,33.474999999999994
1305,1310,22.6
1310,1315,20.8
1315,1320,24.450000000000003
1320,1325,28.1
1325,1330,29.9
1330,1335,32.8
1335,1340,31.6
1340,1345,30.5
1345,1350,22.0
1350,1355,22.5
1355,1360,23.0
1360,1365,32.9
1365,1370,34.3
1370,1375,35.7
1375,1380,30.8
1380,1385,29.4
1385,1390,28.0
1390,1395,26.6
1395,1400,27.3
1400,1405,28.0
1405,1410,35.5
1410,1415,32.9
1415,1420,30.4
1420,1425,19.0
1425,1430,14.5
1430,1435,12.375
1435,1440,10.25
1440,1445,10.4
1445,1450,10.75
1450,1455,11.100000000000001
1455,1460,12.55
1460,1465,14.0
1465,1470,19.049999999999997
1470,1475,20.125
1475,1480,21.2
1480,1485,16.85
1485,1490,13.875
1490,1495,10.9
1495,1500,8.6
1500,1505,10.2
1505,1510,10.0
1510,1515,9.8
1515,1520,10.0
1520,1525,10.0
1525,1530,10.0
1530,1535,10.0
1535,1540,10.0
1540,1545,11.0
1545,1550,5.0
