timestamp_sec,intensity
0.000,0.000
1.545,13.200
3.090,60.400
7.725,65.900
12.361,71.400
16.996,33.900
23.176,27.500
29.357,21.200
32.447,35.800
38.627,34.100
44.808,32.300
47.898,21.200
54.078,18.600
60.259,15.900
63.349,18.000
69.529,20.800
75.710,23.600
78.800,30.300
84.980,32.600
91.161,34.900
94.251,30.400
100.431,32.300
106.612,34.100
109.702,42.200
115.882,41.900
122.063,41.600
125.153,34.500
131.333,30.600
137.514,26.600
140.604,25.100
146.784,22.300
152.964,19.400
156.055,17.800
162.235,16.100
168.415,14.400
171.506,12.800
177.686,13.800
183.866,14.700
186.957,14.700
193.137,21.000
199.317,27.300
202.408,44.100
208.588,45.400
214.768,46.600
217.859,30.200
224.039,27.100
230.219,24.000
233.309,28.400
239.490,30.000
245.670,31.500
248.760,34.600
254.941,35.000
261.121,35.400
264.211,34.500
270.392,31.900
276.572,29.200
279.662,24.500
285.843,21.900
292.023,19.300
295.113,17.800
301.294,18.900
307.474,19.900
310.564,24.800
316.745,27.300
322.925,29.800
326.015,29.900
332.196,31.400
338.376,33.000
341.466,28.700
347.647,35.000
353.827,41.300
356.917,53.800
363.098,63.000
369.278,72.300
372.368,81.100
378.548,81.200
384.729,81.300
387.819,71.800
393.999,63.700
400.180,55.600
403.270,47.800
409.450,40.700
415.631,33.600
418.721,32.900
424.901,28.300
431.082,23.600
434.172,19.600
440.352,17.400
446.533,15.300
449.623,15.900
455.803,17.500
461.984,19.000
465.074,24.100
471.254,25.200
477.435,26.300
480.525,22.500
486.705,23.000
492.886,23.500
495.976,25.700
502.156,27.800
508.337,29.900
511.427,32.600
517.607,33.600
523.788,34.700
526.878,35.200
533.058,33.000
539.238,30.800
542.329,24.500
548.509,22.500
554.689,20.400
557.780,17.900
563.960,22.700
570.140,27.500
573.231,41.100
579.411,46.600
585.591,52.200
588.682,50.600
594.862,50.500
601.042,50.400
604.132,47.300
610.313,46.300
616.493,45.300
619.583,50.200
625.764,45.700
631.944,41.200
635.034,29.000
641.215,23.700
647.395,18.300
650.485,19.500
656.666,18.900
662.846,18.400
665.936,20.900
672.117,21.000
678.297,21.100
681.387,19.700
687.568,19.500
693.748,19.300
696.838,19.000
703.019,20.100
709.199,21.200
712.289,24.600
718.470,25.000
724.650,25.300
727.740,21.600
733.921,22.000
740.101,22.400
743.191,25.300
749.372,27.100
755.552,28.900
758.642,28.300
764.822,31.100
771.003,33.900
774.093,39.800
780.273,41.100
786.454,42.300
789.544,37.900
795.724,37.400
801.905,36.900
804.995,40.800
811.175,38.700
817.356,36.600
820.446,30.500
826.626,27.000
832.807,23.400
835.897,22.200
842.077,20.800
848.258,19.500
851.348,18.300
857.528,20.200
863.709,22.100
866.799,16.500
872.979,30.400
879.160,44.200
882.250,78.500
888.430,89.400
894.611,100.200
897.701,95.400
903.881,84.700
910.061,74.100
913.152,41.000
919.332,36.200
925.512,31.300
928.603,51.800
934.783,60.400
940.963,68.900
944.054,80.200
950.234,78.900
956.414,77.700
959.505,62.100
965.685,54.200
971.865,46.300
974.956,41.500
981.136,39.300
987.316,37.100
990.406,43.100
996.587,43.100
1002.767,43.200
1005.857,37.900
1012.038,39.700
1018.218,41.500
1021.308,49.400
1027.489,52.100
1033.669,54.800
1036.759,56.800
1042.940,53.100
1049.120,49.500
1052.210,39.700
1058.391,34.100
1064.571,28.500
1067.661,25.700
1073.842,25.000
1080.022,24.300
1083.112,23.700
1089.293,30.500
1095.473,37.300
1098.563,51.600
1104.744,58.800
1110.924,66.100
1114.014,66.300
1120.195,66.600
1126.375,66.900
1129.465,53.600
1135.645,60.300
1141.826,67.000
1144.916,92.400
1151.096,100.000
1157.277,107.600
1160.367,111.700
1166.547,98.400
1172.728,85.200
1175.818,46.600
1181.998,33.800
1188.179,21.100
1191.269,32.200
1197.449,34.600
1203.630,37.100
1206.720,41.500
1212.900,46.000
1219.081,50.600
1222.171,52.000
1228.351,57.400
1234.532,62.900
1237.622,70.600
1243.802,73.200
1249.983,75.900
1253.073,74.800
1259.253,70.700
1265.434,66.600
1268.524,53.900
1274.704,52.700
1280.885,51.500
1283.975,70.800
1290.155,64.800
1296.335,58.800
1299.426,29.900
1305.606,22.600
1311.786,15.300
1314.877,26.300
1321.057,28.100
1327.237,29.900
1330.328,32.800
1336.508,31.600
1342.688,30.500
1345.779,22.000
1351.959,22.500
1358.139,23.000
1361.229,32.900
1367.410,34.300
1373.590,35.700
1376.680,30.800
1382.861,29.400
1389.041,28.000
1392.131,26.600
1398.312,27.300
1404.492,28.000
1407.582,35.500
1413.763,32.900
1419.943,30.400
1423.033,19.000
1429.214,14.500
1435.394,10.000
1438.484,10.500
1444.665,10.400
1450.845,10.300
1453.935,11.900
1460.116,14.000
1466.296,16.200
1469.386,21.900
1475.567,21.200
1481.747,20.600
1484.837,13.100
1491.018,10.900
1497.198,8.600
1500.288,10.200
1506.469,10.000
1512.649,9.800
1515.739,10.000
1521.919,10.000
1528.100,10.000
1532.735,10.000
1537.370,10.000
1542.006,10.000
1543.551,12.000
1545.096,10.000
1546.641,8.000
1545.096,2.000
1545.096,0.000
