start_time,end_time,text
0.56,5.11,It's growing. Yeah. Inside of my mouth.
5.12,7.909,Yeah. You know what I'm talking about.
7.9190000000000005,17.23,Oh my
17.24,19.51,"god. Hey, what's going on everybody for"
19.52,21.029,First We Feast. I'm Sean Evans and
21.039,22.55,you're watching Hot Ones. It's the show
22.56,23.91,with hot questions and even hotter
23.92,25.67,wings. And today we're joined by Aaron
25.68,27.189,Paul. He's a three-time Emmy
27.199,28.55,"award-winning actor. you know, for his"
28.56,30.15,iconic performance as Jesse Pinkman and
30.16,31.99,Breaking Bad. Check out Dose Ombres for
32.0,33.67,all your smooth and smoky mezcow
33.68,36.069,cocktails this summer and the only fine
36.079,37.83,"foods. On that note, thanks for bringing"
37.84,39.75,"the caviar today, Aaron, and welcome to"
39.76,41.83,"the show. Oh my god, thank you so much."
41.84,43.75,"It's a dream to be here. Well, I hope it"
43.76,45.51,doesn't turn into a nightmare. How are
45.52,48.31,you around my spicy food before we get
48.32,51.51,"started? Uh, you know, I I'm a big I'm a"
51.52,54.709,"big spicy food fan. Um, I don't know if"
54.719,58.389,"I'm this big of a fan, but uh, I love"
58.399,60.31,"spicy foods. Yeah. Well, we'll find out."
60.32,61.43,Are you ready? I feel like I'm going to
61.44,64.07,my pants already. Is that a bad
64.08,84.31,thing? Is that a bad sign?
84.32,86.05,Okay. The hot
90.759,92.83,"tropic. Oh, it's"
98.119,102.63,"Yeah. I love this person. Shaquanda. Oh,"
102.64,105.109,"it is Shu. Hey, Suanda. What's up, girl?"
105.119,107.51,All right. It's not This is actually
107.52,109.429,pretty It's pretty good.
109.439,111.91,"So, last season you actually stopped by"
111.92,114.789,a Hot One Shoot for moral support for
114.799,117.27,your longtime friend and Ash co-star Asa
117.28,120.23,"Gonzalez. Uh, what a what a an amazing"
120.24,122.789,person. She said this wasn't really the
122.799,125.109,dangerous part. It was the aftermath.
125.119,129.27,"How is your situation, you know? I think"
129.28,131.51,I'm good. I think I'm battle tested. You
131.52,132.869,know what I mean? I think there's a
132.879,135.11,"strength that builds up, a tolerance"
135.12,137.03,"that builds up, and now I'm on like a"
137.04,138.949,superhuman level. Is that like a self
138.959,141.99,diagnosis? It's my belief. It's what I
142.0,144.15,want to be true. Okay. Yeah. Yeah. Yeah.
144.16,145.79,"Well, that works. Exactly. It's the"
145.8,148.71,placebo. Yes. Yes. Very strong. Okay.
148.72,151.11,And then what's it like to watch Hot
151.12,153.589,"Ones from a spectator perspective? Like,"
153.599,155.27,does it make you any more or less
155.28,157.19,interested in actually doing the show?
157.2,158.949,It must have worked a little bit because
158.959,161.03,"you're here today. I'm here. You know, I"
161.04,164.15,was always very nervous. I didn't think
164.16,166.79,I wanted to be on this show. I love the
166.8,170.949,show as you know. Um but watching Asa
170.959,174.39,"tackle it, you know, um firsthand and"
174.4,176.71,then hanging out with you and trying
176.72,180.07,"some of the sauces, I I got the courage,"
180.08,183.589,you know. Um but I'm honestly I'm a
183.599,186.229,"little I'm fine with this one, but I'm a"
186.239,189.43,little nervous to get to them. But
189.44,190.869,that's all right. Let's just take the
190.879,193.589,"wins where we get them, one step at a"
193.599,196.3,"time. M. Cheers to you. Salude, my"
200.84,203.309,friend. M. It's
203.319,206.07,nice. It's sneaking in. There's a
206.08,207.509,smokiness to it that kind of comes
207.519,208.71,"through. Yeah, it's not that bad. I"
208.72,211.91,would I would have this on a daily
211.92,214.71,"a daily basis for sure. Well, you can"
214.72,216.47,you're going to take this with you? Of
216.48,218.07,course. The whole lineup. It's the least
218.08,220.39,"we can do. Aaron, that's really good."
220.4,222.509,That's really good. Look at you. seed
222.519,225.11,"ranch. Just winging it, crushing it."
226.36,229.43,"job. That's great. So, you're coming to"
229.44,231.509,Hollywood story is the classic dreamers
231.519,233.43,"tale. You know, this theater kid from"
233.44,235.75,Idaho packing up his Toyota Corolla and
235.76,238.229,then making the trip over to LA. Yeah.
238.239,241.19,Is there a failed pilot that at the time
241.2,243.19,"when you were cast in it, you were"
243.2,245.11,confident that it would be your big
245.12,247.509,break in star vehicle to stardom? Oh
247.519,249.11,"god. You know what? to be honest, every"
249.12,251.91,pilot you think you think is going to be
251.92,254.149,"your cuz you do the contracts, you know"
254.159,256.789,what you're getting each episode. It's
256.799,259.99,"like a guaranteed job every week,"
260.0,263.11,"weekend, week out. Um, but they tease"
263.12,266.95,"you. I mean, I remember after Friends,"
266.96,269.35,the creators of Friends were doing their
269.36,271.83,next show. It was already picked up for
271.84,273.749,"two seasons. It was going to be, they"
273.759,275.67,were saying the next big Friends. I
275.68,277.43,"mean, everybody, all my friends that"
277.44,279.67,were actors were trying out for it and
279.68,282.629,"everybody really wanted it. Um, and I"
282.639,285.67,tested for a role with studio with me
285.68,287.83,and three guys and then I went to
287.84,290.71,network against me and another person
290.72,292.629,and then I didn't get it. But then they
292.639,295.11,had me audition for another role and I
295.12,297.189,went to studio and then I went to
297.199,299.59,network with me and another person and I
299.6,302.629,didn't get it. And I was I can't tell
302.639,306.31,you how depressed I was for just way too
306.32,309.029,long. Um but if I were to get and it the
309.039,311.189,the show was good. I mean it lasted
311.199,313.51,about a season and a half and you know
