start_time,end_time,words
0,5,It 's growing . Yeah . Inside of my
5,10,mouth . Yeah . You know what I 'm talking about .
10,15,Oh my
15,20,"god . Hey , what 's going on everybody for First We"
20,25,Feast . I 'm Sean Evans and you 're watching Hot Ones . It 's the show with hot questions and even hotter wings . And today we 're
25,30,"joined by Aaron Paul . He 's a three - time Emmy award - winning actor . you know , for his iconic performance as Jesse"
30,35,Pinkman and Breaking Bad . Check out Dose Ombres for all your smooth and smoky mezcow cocktails this
35,40,"summer and the only fine foods . On that note , thanks for bringing the caviar today , Aaron , and welcome to the"
40,45,"show . Oh my god , thank you so much . It 's a dream to be here . Well , I hope it does n't turn into a"
45,50,"nightmare . How are you around my spicy food before we get started ? Uh , you"
50,55,"know , I I 'm a big I 'm a big spicy food fan . Um , I do n't know if I"
55,60,"'m this big of a fan , but uh , I love spicy foods . Yeah . Well , we 'll"
60,65,find out . Are you ready ? I feel like I 'm going to my pants already . Is that a bad
65,70,thing ? Is that a bad sign ?
85,90,Okay . The hot
90,95,"tropic . Oh , it 's"
95,100,Yeah . I love
100,105,"this person . Shaquanda . Oh , it is Shu . Hey , Suanda . What 's up ,"
105,110,"girl ? All right . It 's not This is actually pretty It 's pretty good . So , last"
110,115,season you actually stopped by a Hot One Shoot for moral support for
115,120,"your longtime friend and Ash co - star Asa Gonzalez . Uh , what a what a an"
120,125,amazing person . She said this was n't really the dangerous part . It was the
125,130,"aftermath . How is your situation , you know ? I think I 'm good . I"
130,135,"think I 'm battle tested . You know what I mean ? I think there 's a strength that builds up , a"
135,140,"tolerance that builds up , and now I 'm on like a superhuman level . Is that like a self diagnosis ?"
140,145,"It 's my belief . It 's what I want to be true . Okay . Yeah . Yeah . Yeah . Well , that works ."
145,150,Exactly . It 's the placebo . Yes . Yes . Very strong . Okay . And then what 's it
150,155,"like to watch Hot Ones from a spectator perspective ? Like , does it make you any more"
155,160,or less interested in actually doing the show ? It must have worked a little bit because you 're here today .
160,165,"I 'm here . You know , I was always very nervous . I did n't think I wanted to"
165,170,be on this show . I love the show as you know . Um but
170,175,"watching Asa tackle it , you know , um firsthand and then"
175,180,"hanging out with you and trying some of the sauces , I I got the"
180,185,"courage , you know . Um but I 'm honestly I 'm a little I 'm fine"
185,190,"with this one , but I 'm a little nervous to get to them . But that 's all"
190,195,"right . Let 's just take the wins where we get them , one step at a time . M. Cheers"
195,200,"to you . Salude , my"
200,205,friend . M. It 's nice . It 's
205,210,"sneaking in . There 's a smokiness to it that kind of comes through . Yeah , it 's not that bad . I would I"
210,215,"would have this on a daily a daily basis for sure . Well , you can you"
215,220,"'re going to take this with you ? Of course . The whole lineup . It 's the least we can do . Aaron , that 's"
220,225,"really good . That 's really good . Look at you . seed ranch . Just winging it , crushing"
225,230,"it . job . That 's great . So , you 're coming to Hollywood"
230,235,"story is the classic dreamers tale . You know , this theater kid from Idaho packing up his"
235,240,Toyota Corolla and then making the trip over to LA . Yeah . Is there a failed pilot
240,245,"that at the time when you were cast in it , you were confident that it would be your"
245,250,"big break in star vehicle to stardom ? Oh god . You know what ? to be honest , every pilot you"
250,255,"think you think is going to be your cuz you do the contracts , you know what you 're"
255,260,"getting each episode . It 's like a guaranteed job every week ,"
260,265,"weekend , week out . Um , but they tease weekend , week out . Um , but they tease you . I mean , I"
265,270,"remember after Friends , the creators of Friends were doing their next show ."
270,275,"It was already picked up for two seasons . It was going to be , they were saying the next"
275,280,"big Friends . I mean , everybody , all my friends that were actors were trying out for it and"
280,285,"everybody really wanted it . Um , and I tested for a role with"
285,290,studio with me and three guys and then I went to network against me and
290,295,another person and then I did n't get it . But then they had me audition for another role
295,300,and I went to studio and then I went to network with me and another person and I did
300,305,n't get it . And I was I ca n't tell you how depressed I was
305,310,for just way too long . Um but if I were to get and it the the show was
310,315,good . I mean it lasted about a season and a half and you know some people liked it
315,320,but it was n't Prince show . It was called The Class . Um and
320,325,then if I were to have done that show I would n't have been available to
325,330,"audition for Breaking Bad . So , you know , the point of the story , you never know what 's"
330,335,"right around the corner , you know . So , just keep keep pounding the"
335,340,pavement . Yeah . This is yours . You 're not
340,345,"the only one in the food game , Aaron ."
345,350,That 's That 's another one I would love to have . It 's not
350,355,"bad . It 's pretty good . Sier , what took you so long ? I 'm feeling pretty"
355,360,"confident . You know , it 's probably false confidence because we have , you know , seven"
360,365,more . But it 's all right . I 'm holding on to my false confidence . Do you
365,370,have an all - time favorite or even most perturbing Brian Cranston prank from all of the
370,375,"years that you 've spent sharing a set with him ? Let me tell you . I mean , he 's been on here a"
375,380,"couple times , so you know him . I always say he 's the"
380,385,"hardest worker in the room . The most lovable . I mean , he 's my best"
385,390,"friend , my son 's godfather . I I adore him . I spoke to him for an hour on the phone last"
390,395,"night . I mean , I I really am obsessed with the guy , but he 's also the most immature person I"
395,400,"'ve ever met in my life . And I say that with just love and respect . I mean , the"
400,405,"list was endless . But I remember on Breaking Bad , he came out of the production office ,"
405,410,"came up to me and he goes , "" Come here . It 's okay . "" And he"
410,415,"gives me this long hug . I 'm like , "" What are you doing ? "" He 's like , "" At"
415,420,"least you go out in a big way , huh ? "" And I 'm like , "" What are you talking"
420,425,"about ? "" He goes , "" Did you read the latest script ? "" I go , "" No . "" He goes , "" Oh ,"
425,430,"well , just read it and I 'm here if you need me . "" You know ? I was like , """
430,435,"Okay . "" Okay . So , I sprinted into the "" Okay . "" Okay . So , I sprinted into the production office . I go , "" Wait , Brian read the light"
435,440,"latest script . What happens ? "" You know , I want to read it . And then , of course , I just go to the"
440,445,"final , you know , the final pages and nothing happened . I 'm still around . But"
445,450,"he just made it made it seem like I died . Um , but he would not"
450,455,stop . He would not stop and he would get everybody in on it . like
455,460,"the um uh costume designers said , "" Hey , look , we got to do your measurements for , you"
460,465,"know , the the the casket . "" And uh so if you could stay after after work , um"
465,470,"that would be great . Uh I 'm like , "" What are you talking about ? "" Um but this is all this"
470,475,"is all him . Um but yeah , but I I made it . I"
475,480,made it . It 's doing like a
480,485,little vibrating in my mouth . It definitely has a bit of depth
485,490,that the um other ones did not . It 's sort of a charring quality . You
490,495,"know what ? Yeah , charring is a good"
495,500,Sometimes I 'll hear actors talk about circling days on the production calendar for scenes
500,505,that they 're dreading doing . Right . I 'm wondering when you think about the pages that you looked at
505,510,"that put you into a mental tail spin , does anything immediately come to mind ? Oh"
510,515,"Um , there 's I for some reason I 'm always doing roles that are just"
515,520,getting beat up and tortured . You know what I mean ? I do n't know what that that says about
520,525,"you , right ? I do n't know what that says about me , but um it would"
525,530,have to go back to a Breaking Bad episode . There 's a a scene where
530,535,Jesse wakes up and his his girlfriend Jane is uh
535,540,is dead . And I was terrified to shoot that scene .
540,545,I just I I had this love and complicated relationship . It was such a chemical
545,550,"romance , but he was just so in it , you know , all in . Really felt very in love ,"
550,555,"but did n't realize that she was just destroying him . Um , I mean , they"
555,560,"were destroying themselves together , but I was I was very nervous to"
560,565,"tackle that scene . Um , and I did n't know what to do . I did n't I I did n't really rehearse it , you know . I"
565,570,"just knew I had to put myself in that position as that guy . Um , and so"
570,575,"what you saw is what you saw . Um , it"
575,580,was brutal . Yeah . Should we
580,585,bust out the caviar ? Let me just let me Can I come to your side ?
585,590,"Yeah , you come do Yeah . I like this uh tableside service . You just got to , you"
590,595,"know , let 's just do a dollop . Um , that 's a good , you"
595,600,"know , we 're halfway there . We made it . It 's a touch of class that this show needs ,"
600,605,"Aaron . For real . I 'm here for you . You know , we 're keeping things classy here on"
605,610,"Hot Ones . Um , and you let me know when you want more . You know what I mean ? I will do . Um ,"
610,615,"cheers , buddy . Cheers ."
620,625,"works . It works . You saw it here , folks . It works . So , I"
625,630,understand that there are very few visual effects used for the car stunt
630,635,"scenes in Need for Speed . I 'm wondering , did you have a most harrowing moment behind the wheel shooting an"
635,640,"action sequence for that film ? Oh man , there was this one uh"
640,645,"scene that I was practicing , rehearsing for from day one , and we"
645,650,did n't shoot the scene until midway through um the shoot . And the
650,655,"scene is something very traumatic happens . One of his best friends , his car flips"
655,660,over a bridge and it 's very clear that this guy is either
660,665,instantly dead or he 's in danger . And so I have to flip around in my
665,670,car . He wants to do this in one shot . And the shot is flying
670,675,"towards the camera , doing a skid up to the camera , and then I have"
675,680,"to open up the door and then run to my friend . And Scotty goes , "" Do"
680,685,"n't worry about it . I 'm going to act as the camera operator , and if you hit me ,"
685,690,"does n't matter . "" She 's like , "" Got it . "" Okay . Yeah . So , if I hit you , it does n't"
690,695,"matter . Okay . Um , so , uh , the first take out of the gates , I"
695,700,"come up so short , it 's embarrassing . He goes , "" I 'm being serious . If you hit me , do"
700,705,"n't worry about it . "" Um , and then the second take , I come up , I come"
705,710,this far from the guy . And that 's what you see in the movie . But there 's a lot of lot I nailed
710,715,"it . Um , uh , a lot of pressure there , you"
715,720,Let 's
720,725,"go , baby . This is not bad . I was actually I was"
725,730,"hoping I would start to start sweating by now . I mean , I know I know I 'm I 'm going to get"
730,735,"there , but this is this is very manageable . It 's very manageable . It 's"
735,740,"great . I 'm into it . So , listening to a lot of your old"
740,745,"interviews , a throughine that comes through pretty consistently is your proclivity towards what you describe"
745,750,"as gritty indie drama . Outside of your own films , what are the gritty indie dramas"
750,755,that left the biggest impact on you ? Maybe this is picking up on me . You
755,760,maybe I actually You know what ? It 's it 's it 's
760,765,talking . You start talking . Yeah . Yeah . And I 'm I 'm realizing I 'm kind of
765,770,"sweating a little bit . self - fulfilling prophecy on the show , right ? Um ,"
770,775,"indie dramas . I mean , Stand by Me . Beautiful film . Changed my"
775,780,"life when I watched it . Um , wow . It 's It 's hitting my my head sweating , right ?"
780,785,Yeah . And that 's just the beginning . Yeah . And that 's just the beginning . Does your head
785,790,"sweat ? I mean , I do n't see it sweating . I can feel I can feel"
790,795,"it sweating . You know what I 'm saying ? Right . Yeah . Like , I have nothing to cover . I mean , I always have a"
795,800,"shaved head . I love it . Well done . You rock it well . You 're a handsome man , by the way . When you have that"
800,805,"shaved head , when you have that shaved head , you 're a handsome man . Are you I 'm loving this moment we 're having right now . You"
805,810,know what ? Cheers to us .
810,815,Cheers . Yeah . It 's amazing the effect that
815,820,this one is having on me . It actually makes me feel like I 'm on drugs . You 're
820,825,reaching that point in the gauntlet where it starts to happen . It is an interesting thing . Is that
825,830,like um you get some lightadedness ? Yeah . Yeah . There 's something happening . Little even
830,835,"feeling of euphoria you might have , you know ? Yeah . I am tripping out right"
835,840,now . Weightlessness . I 'm with you . Same way of life . Being such a fan
840,845,"of yours . Oh , this does n't feel like reality"
845,850,right now . Um but this is insane . Yeah . I 've never
850,855,experienced anything quite like this . Wow .
855,860,"Apricot . Oh , and they did the apricot . Hot ."
860,865,"Yep . Genius . Um , I 'm I think I 'm going to start"
865,870,"shaking . Let it shake , baby . Wow . Wow . That is That 's great . I love it . I"
870,875,"actually really really love that one . So , your home state of Idaho lays"
875,880,claim to one of the most unique desserts I 've ever come across . Have you ever had the
880,885,pleasure of sampling an ice cream pleasure of sampling an ice cream potato ? Yeah . I do n't know why I 'm
885,890,"telling you this , but I one of my first uh to save up"
890,895,"money to move to LA , I had to dress up as a mascot . Terrible"
895,900,job . Um much respect . Radio station . Yeah . You just This
900,905,"guy knows everything . Um yeah , for a radio station ."
905,910,So I was always dancing around at fairs . um just
910,915,you know being a mascot uh either a giant frog or a
915,920,"tuki bird um where kids would just slam the back of my head and run away . You know , it was"
920,925,awesome . Um but it was directly next to awesome . Um but it was directly next to
925,930,the potato ice cream stand . That 's
930,935,"all I got . That 's It 's not that great of a story ,"
935,940,let 's be honest .
940,945,Should I put some caviar on on the bomb ? Let 's do
945,950,"another caviar , you know . Cheers to us . Cheers to us ."
955,960,"Oh , wow . Yeah . Just the the breath in"
960,965,"from the wind . Yeah . Oh wow . Oh yeah . Ooh ,"
965,970,that is hot . Yeah . That is almost
970,975,"too hot , right ? And like the caviar makes it almost seem like"
975,980,this is going to be a nice bite and then it 's just not . I 'm
980,985,going to finish the bomb because it it respect it
985,990,"deserves to be completed ,"
990,995,know . It 's getting the air is getting It 's
995,1000,growing . Yeah . Inside of my mouth . Yeah . You know
1000,1005,what I 'm talking about . Oh my
1005,1010,god . Holy Yes . My I 've actually never I 'm I 'm
1010,1015,sweating in a good way . Um I 've never I have to be honest . Much respect
1015,1020,to the bomb . I 've never had something so hot inside of
1020,1025,"my mouth . No . I know . So , how would you distill the experience of"
1025,1030,"being a contestant on the Price is Right ? Because when I watch your 2000 appearance , which has millions of"
1030,1035,"views on YouTube , it seems like such an emotional roller coaster . You know , the"
1035,1040,excitement of accurately ballparking an elegant flat top desk and then you
1040,1045,"'re on the show , right ? And then you get a"
1045,1050,"showcase and then you over bid by just a few hundred . You know , how dare"
1050,1055,"you bring that up ? You know , is that something that gives you sleepless nights afterwards or was"
1055,1060,it just cool to be on the show ? It was great to be on . I was
1060,1065,"struggling . Um , I needed money and it was You could have used that sports car . I could"
1065,1070,"have used that car , right ? And I was so depressed"
1070,1075,when I bid $ 132 over and then my buddy
1075,1080,actually stayed . They did two tapings that day and he won the
1080,1085,"showcase showdown . He won a trip to Fiji , New Orleans and"
1085,1090,uh London . Um I went to New Orleans with him so it was fine . With the
1090,1095,"power of the bomb coursing through your veins , I 'm wondering if you"
1095,1100,can make a bid as close to the MSRP actual
1100,1105,price of this 2024 Chevy Camaro without going
1105,1110,over . Oh . without going over
1110,1115,"2024 . Uh $ 34,695 ."
1115,1120,It 's
1120,1125,irresponsible of all of you not to
1125,1130,buy one . Um
1130,1135,cake compared to Don . Yeah . Why is this number
