start_time,stop_time,avg_intensity
0,20,40.800000000000004
20,40,29.65
40,60,24.03333333333333
60,80,21.72
80,100,32.63333333333333
100,120,37.625
120,140,33.325
140,160,21.15
160,180,14.275
180,200,19.425
200,220,41.575
220,240,27.375
240,260,33.699999999999996
260,280,31.1
280,300,19.666666666666668
300,320,22.725
320,340,31.025
340,360,39.7
360,380,74.4
380,400,72.26666666666667
400,420,42.12
420,440,23.833333333333332
440,460,16.525
460,480,23.65
480,500,23.675
500,520,30.975
520,540,33.425000000000004
540,560,21.325
560,580,34.475
580,600,51.1
600,620,47.9
620,640,38.63333333333333
640,660,20.1
660,680,20.35
680,700,19.375
700,720,22.725
720,740,22.96666666666667
740,760,26.4
760,780,34.93333333333333
780,800,39.675
800,820,38.25
820,840,25.775
840,860,19.7
860,880,28.3
880,900,90.875
900,920,59.0
920,940,47.833333333333336
940,960,73.56
960,980,47.333333333333336
980,1000,40.65
1000,1020,40.575
1020,1040,53.275
1040,1060,44.1
1060,1080,26.400000000000002
1080,1100,33.480000000000004
1100,1120,63.73333333333333
1120,1140,61.85
1140,1160,91.75
1160,1180,85.47500000000001
1180,1200,30.425
1200,1220,43.8
1220,1240,60.724999999999994
1240,1260,73.65
1260,1280,57.73333333333333
1280,1300,55.160000000000004
1300,1320,21.400000000000002
1320,1340,30.6
1340,1360,24.5
1360,1380,33.425
1380,1400,27.825
1400,1420,31.7
1420,1440,13.5
1440,1460,10.866666666666667
1460,1480,18.325
1480,1500,13.3
1500,1520,10.0
1520,1540,10.0
1540,1560,7.0
