start_time,stop_time,avg_intensity
0,5,37.53333333333333
5,10,103.7
10,15,50.0
15,20,30.700000000000003
20,25,38.0
25,30,35.7
30,35,28.45
35,40,25.6
40,45,34.6
45,50,45.6
50,55,50.0
55,60,45.8
60,65,35.099999999999994
65,70,23.0
70,75,17.6
75,80,16.1
80,85,14.2
85,90,13.1
90,95,11.65
95,100,10.7
100,105,10.1
105,110,10.05
110,115,9.9
115,120,10.0
120,125,10.0
125,130,9.0
130,135,10.5
135,140,12.6
140,145,16.05
145,150,22.5
150,155,21.5
155,160,16.4
160,165,10.0
165,170,8.85
170,175,10.0
175,180,9.7
180,185,10.0
185,190,11.35
190,195,13.1
195,200,14.649999999999999
200,205,15.2
205,210,14.3
210,215,13.0
215,220,13.2
220,225,13.2
225,230,12.6
230,235,10.3
235,240,9.4
240,245,9.25
245,250,11.5
250,255,11.1
255,260,20.95
260,265,43.8
265,270,42.0
270,275,17.6
275,280,11.5
280,285,8.75
285,290,12.0
290,295,11.65
295,300,11.0
300,305,10.399999999999999
305,310,10.0
310,315,9.9
315,320,10.0
320,325,8.75
325,330,10.0
330,335,16.4
335,340,22.3
340,345,23.25
345,350,19.8
350,355,14.65
355,360,10.0
360,365,8.0
365,370,10.0
370,375,10.0
375,380,10.0
380,385,10.0
385,390,9.8
390,395,10.1
395,400,11.0
400,405,11.0
405,410,10.2
410,415,10.0
415,420,7.45
420,425,10.0
425,430,24.25
430,435,34.4
435,440,26.200000000000003
440,445,13.8
445,450,13.899999999999999
450,455,17.4
455,460,14.9
460,465,13.6
465,470,16.95
470,475,22.9
475,480,28.450000000000003
480,485,32.1
485,490,34.0
490,495,32.3
495,500,31.4
500,505,29.1
505,510,28.8
510,515,31.3
515,520,30.85
520,525,28.4
525,530,26.75
530,535,24.7
535,540,25.3
540,545,28.75
545,550,30.0
550,555,23.549999999999997
555,560,17.0
560,565,18.950000000000003
565,570,21.7
570,575,17.9
575,580,12.7
580,585,9.65
585,590,10.7
590,595,13.6
595,600,22.3
600,605,40.7
605,610,49.1
610,615,46.6
615,620,13.9
620,625,2.2
625,630,10.0
630,635,10.0
635,640,10.0
640,645,10.0
645,650,10.0
650,655,10.0
655,660,8.6
660,665,10.0
665,670,14.149999999999999
670,675,17.1
675,680,14.05
680,685,11.1
685,690,13.65
690,695,18.9
695,700,24.7
700,705,26.4
705,710,21.55
710,715,14.3
715,720,10.95
720,725,10.0
725,730,8.0
730,735,10.0
735,740,13.1
740,745,20.049999999999997
745,750,36.1
750,755,60.75
755,760,69.5
760,765,57.3
765,770,53.1
770,775,55.8
775,780,46.5
780,785,28.7
785,790,23.7
790,795,22.799999999999997
795,800,24.6
800,805,18.95
805,810,12.5
810,815,10.05
815,820,10.0
820,825,9.75
825,830,10.0
830,835,10.0
835,840,10.0
840,845,10.0
845,850,10.0
850,855,10.0
855,860,10.0
860,865,10.0
865,870,10.0
870,875,10.0
875,880,6.5
880,885,17.0
885,890,31.1
890,895,52.3
895,900,84.5
900,905,78.69999999999999
905,910,40.1
910,915,26.1
915,920,11.8
920,925,10.7
925,930,13.9
930,935,22.0
935,940,29.05
940,945,30.6
945,950,23.1
950,955,14.5
955,960,14.350000000000001
960,965,17.6
965,970,19.25
970,975,18.5
975,980,14.35
980,985,10.0
985,990,9.15
990,995,10.0
995,1000,10.0
1000,1005,10.0
1005,1010,10.0
1010,1015,10.0
1015,1020,10.0
1020,1025,7.8
1025,1030,11.15
1030,1035,18.9
1035,1040,23.333333333333332
1040,1045,10.575
