timestamp_sec,intensity
0.000,0.000
1.041,20.000
2.082,92.600
5.205,100.000
8.328,107.400
11.451,50.000
15.614,37.100
19.778,24.300
21.860,38.000
26.024,35.700
30.188,33.300
32.270,23.600
36.434,25.600
40.597,27.600
42.679,41.600
46.843,45.600
51.007,49.700
53.089,50.300
57.253,45.800
61.417,41.300
63.499,28.900
67.662,23.000
71.826,17.100
73.908,18.100
78.072,16.100
82.236,14.200
84.318,14.200
88.482,13.100
92.645,12.000
94.727,11.300
98.891,10.700
103.055,10.100
105.137,10.100
109.301,10.000
113.465,9.900
115.547,10.000
119.710,10.000
123.874,10.000
125.956,9.000
130.120,10.000
134.284,11.000
136.366,12.600
140.530,14.900
144.693,17.200
146.775,22.500
150.939,21.500
155.103,20.500
157.185,12.300
161.349,10.000
165.513,7.700
167.595,10.000
171.758,10.000
175.922,10.000
178.004,9.400
182.168,10.000
186.332,10.600
188.414,12.100
192.578,13.100
196.741,14.100
198.823,15.200
202.987,15.200
207.151,15.200
209.233,13.400
213.397,13.000
217.561,12.600
219.643,13.800
223.806,13.200
227.970,12.600
230.052,10.600
234.216,10.000
238.380,9.400
240.462,8.500
244.626,10.000
248.789,11.500
250.871,11.100
255.035,17.700
259.199,24.200
261.281,43.800
265.445,42.600
269.609,41.400
271.691,17.600
275.854,11.500
280.018,5.400
282.100,12.100
286.264,12.000
290.428,11.900
292.510,11.400
296.674,11.000
300.837,10.600
302.919,10.200
307.083,10.000
311.247,9.800
313.329,10.000
317.493,10.000
321.657,10.000
323.739,7.500
327.902,10.000
332.066,12.500
334.148,20.300
338.312,22.300
342.476,24.200
344.558,22.300
348.722,19.800
352.885,17.300
354.967,12.000
359.131,10.000
363.295,8.000
365.377,10.000
369.541,10.000
373.705,10.000
375.787,10.000
379.950,10.000
384.114,10.000
386.196,9.800
390.360,10.000
394.524,10.200
396.606,11.000
400.770,11.000
404.933,11.000
407.015,10.200
411.179,10.000
415.343,9.800
417.425,5.100
421.589,10.000
425.753,14.900
427.835,33.600
431.998,34.400
436.162,35.200
438.244,17.200
442.408,13.800
446.572,10.400
448.654,17.400
452.818,17.400
456.981,17.300
459.063,12.500
463.227,13.600
467.391,14.700
469.473,19.200
473.637,22.900
477.801,26.600
479.883,30.300
484.046,32.100
488.210,34.000
490.292,32.600
494.456,32.000
498.620,31.400
500.702,29.200
504.866,29.000
509.029,28.800
511.111,31.300
515.275,31.000
519.439,30.700
521.521,28.400
525.685,27.300
529.849,26.200
531.931,24.700
536.094,25.300
540.258,25.800
542.340,31.700
546.504,30.000
550.668,28.400
552.750,18.700
556.914,17.000
561.077,15.300
563.159,22.600
567.323,21.700
571.487,20.900
573.569,14.900
577.733,12.700
581.897,10.500
583.979,8.800
588.142,10.700
592.306,12.600
594.388,14.600
598.552,22.300
602.716,29.900
604.798,51.500
608.962,49.100
613.125,46.600
615.207,17.800
619.371,10.000
623.535,2.200
625.617,10.000
629.781,10.000
633.945,10.000
636.027,10.000
640.190,10.000
644.354,10.000
646.436,10.000
650.600,10.000
654.764,10.000
656.846,8.600
661.010,10.000
665.173,11.400
667.255,16.900
671.419,17.100
675.583,17.300
677.665,10.800
681.829,11.100
685.993,11.500
688.075,15.800
692.238,18.900
696.402,22.000
698.484,27.400
702.648,26.400
706.812,25.500
708.894,17.600
713.058,14.300
717.221,11.000
719.303,10.900
723.467,10.000
727.631,9.100
729.713,6.900
733.877,10.000
738.041,13.100
740.123,14.700
744.286,25.400
748.450,36.100
750.532,57.800
754.696,63.700
758.860,69.500
760.942,57.300
765.106,54.500
769.269,51.700
771.351,55.800
775.515,49.600
779.679,43.400
781.761,28.700
785.925,23.700
790.089,18.700
792.171,26.900
796.334,24.600
800.498,22.400
802.580,15.500
806.744,12.500
810.908,9.600
812.990,10.500
817.154,10.000
821.317,9.500
823.399,10.000
827.563,10.000
831.727,10.000
833.809,10.000
837.973,10.000
842.137,10.000
844.219,10.000
848.382,10.000
852.546,10.000
854.628,10.000
858.792,10.000
862.956,10.000
865.038,10.000
869.202,10.000
873.365,10.000
875.447,3.000
879.611,10.000
883.775,17.000
885.857,31.100
890.021,45.200
894.185,59.400
896.267,84.500
900.430,80.600
904.594,76.800
906.676,40.100
910.840,26.100
915.004,12.100
917.086,11.500
921.250,10.700
925.413,9.800
927.495,18.000
931.659,22.000
935.823,26.000
937.905,32.100
942.069,30.600
946.233,29.100
948.315,17.100
952.478,14.500
956.642,11.900
958.724,16.800
962.888,17.600
967.052,18.400
969.134,20.100
973.298,18.500
977.461,17.000
979.543,11.700
983.707,10.000
987.871,8.300
989.953,10.000
994.117,10.000
998.281,10.000
1000.363,10.000
1004.526,10.000
1008.690,10.000
1010.772,10.000
1014.936,10.000
1019.100,10.000
1021.182,7.800
1025.346,10.000
1029.509,12.300
1032.632,18.900
1035.755,21.200
1038.878,23.400
1039.919,25.400
1040.960,21.200
1042.001,16.900
1040.960,4.200
1040.960,0.000
