start_time,end_time,text
0.0,2.9699999999999998,We're going on some of the most expensive dates in the world.
3.036,8.008,"Like this $500,000 date that includes the entirety of Disneyland, all for ourselves…"
8.075,15.215,"a $100,000 date at this mega complex with a massive waterpark and indoor ski resort…"
15.282,17.918,"a $50,000 private island date…"
17.985,19.319,Best date ever!
19.386,22.456,"a $10,000 date cooked by Gordon Ramsay…"
22.523,25.792,and we even convinced superstar singer Madison Beer
25.859,28.395,to go on a date with my most awkward friend.
28.462,31.632,All starting with this $1 date: a Ferris Wheel!
31.698,32.699,Here's $1. Ok.
32.766,34.201,Ladies first. Thank you.
34.268,35.102,"Take notes, men."
36.303,37.07,Is this safe?
38.438,41.675,I see why it's only $1. The $1 date has now begun.
41.742,43.71,"It's, uh, making a lot of noise."
43.777,45.045,Why is it making that noise?
45.112,46.413,"It's just the wind, right?"
46.68,48.916,"I usually film 20, 25 days a month,"
48.982,50.984,"and I don't really get to spend much time with my fiancee,"
51.051,54.855,so I literally picked this video so me and my fiancee could spend more time together.
54.922,57.758,"I love you, even if you didn't take me to Disneyland."
57.824,58.725,Well… not yet.
58.792,62.496,"But for the final date in this video, for the first time in history,"
62.563,65.199,Disney reserved the whole park just for us.
65.265,66.934,That's it for the $1 date!
67.0,70.437,"Let's head out to the $10,000 dinner date— After you, babe."
70.737,72.84,Turn off the park. I'll see you guys there.
74.107,76.91,"And now, the $10,000 date"
76.977,79.913,where we're gonna be recreating our first-ever date with sushi.
79.98,81.215,After you. Thank you.
81.281,84.685,"She doesn't know this, but Gordon Ramsay's gonna be making us the meal for this date."
84.751,85.586,Thank you.
86.72,88.455,There you go. You look really cute.
88.522,89.756,I picked this just for you.
89.823,93.427,"It's been a long time since my first date with Thea, and now that we're engaged,"
93.493,97.631,I'm really excited to explore the world's most expensive dates with my fiancee.
97.698,100.701,"You're probably wondering, ""Why is this the $10,000 date?"""
100.767,101.568,Why is it?
101.635,105.439,Gordon Ramsay himself is gonna be cooking our meals.
105.506,106.607,The Gordon Ramsay?
106.673,107.574,Yep. Come on in.
107.641,109.076,Welcome to Lucky Cat Miami!
109.142,110.377,It's nice meeting you!
110.444,111.144,How's it going?
111.211,113.38,What an amazing night this is gonna be.
113.447,114.548,"Oh, I'm excited. Yes."
114.615,117.15,We're gonna kick off with some pea guacamole with some delicious crackers.
117.217,118.285,Did you say peacock?
118.352,119.82,I said pea guac!
119.887,121.355,"Oh, pea guac, oh…"
121.421,122.589,"Not peacock, babe."
122.756,127.194,"To celebrate this $10,000 dinner, some seriously exclusive sushi."
127.261,128.262,Ladies first.
128.328,129.096,Cheers.
129.997,130.864,"Yeah, this is good."
131.131,135.469,"We have a delicious gourmet fried chicken, wonderful fried rice, and duck bao buns."
135.536,136.37,Duck tacos?
136.436,137.137,Bao buns!
137.204,137.871,Duck tacos.
138.572,139.239,Bao buns!
139.306,139.973,You can yell at me.
140.04,142.843,"I will do in a minute. You're pushin' my limits, man. Enjoy."
142.91,144.178,I want you to take the first bite.
145.679,146.613,I knew you were gonna do that.
146.68,148.782,"It's only the $10,000 date,"
148.849,152.92,and we already have the world's best chef cooking a romantic dinner for the 2 of us.
152.986,154.922,Nothing could possibly ruin this moment.
154.988,155.422,Chef.
155.489,156.423,What are you guys doin' here?
156.49,157.224,"No, no no, no."
157.291,158.692,"I got you. Come on, man!"
159.626,160.527,Don't rip it!
160.594,162.362,"I'm not ripping it, chef! I'm not ripping it!"
162.429,163.23,"Oh my goodness, mate."
163.297,164.831,Why are you disrespecting his restaurant?
164.898,166.133,This is supposed to be a romantic dinner!
166.2,167.234,"Nolan, mine's burning."
167.301,168.569,That's it. I'm done!
168.635,169.436,What are you?
169.503,170.771,An idiot sandwich!
170.838,171.939,That is worth 10K alone.
172.005,173.473,You guys have turned it to a nightmare!
173.54,177.678,"For $10,000, Gordon had a romantic surprise for our final course."
179.98,182.082,This is nice! This is romantic!
182.149,183.417,This is actually very romantic.
183.483,185.352,Aww. Thank you.
185.919,187.521,This 10K date was amazing.
187.588,190.724,I can't imagine how insane these dates are gonna get later in the video.
190.791,194.094,"The $50,000 date is this entire private island,"
194.161,197.798,so me and Thea brought some friends with us to make this a quadruple date.
198.232,200.0,"Wait, what? What is that?"
200.067,201.602,"This is Tom, the turkey."
201.668,203.203,Please tell me we're not eating Tom.
203.27,204.338,We are not eating Tom.
204.404,207.708,I didn't know if this was like a Say-Hi-To-Your-Dinner thing as you arrive.
207.774,212.012,"We have this entire $50,000 island and everything on it to ourselves."
212.079,215.649,I say the best way to kick off an island date is to go jet skiing!
215.716,217.317,Let's go!
217.718,219.119,Best date ever!
219.186,220.954,You might recognize Grizz and Hase
221.021,224.892,from the video where they spent 74 days in the wilderness together.
224.958,228.295,The day I took that hood off and saw you was the best day of my life!
228.795,232.766,And you saw these two when Josh spent 22 days in solitary confinement.
232.833,234.835,"These three spent weeks away from their wives,"
234.902,237.171,so I thought I'd give them some quality time together.
237.237,239.273,This is the best date we've ever been on!
239.339,240.541,Does the wife approve?
240.607,241.341,I approve!
241.408,244.745,This is how I make good with all the people I put in prolonged places.
246.813,249.149,"Oh my gosh, that was so close!"
249.449,250.784,"Hey, Jimmy!"
251.084,251.885,It’s Nolan!
251.952,252.686,Yo!
254.188,255.255,"Uh-oh, we're bouncin'."
255.322,257.357,"Nolan is flying solo for this date,"
257.424,260.26,"but later on, he'll be going on a date with Madison Beer."
260.861,262.162,"I, uh— the great outfit…"
263.83,266.834,"Everyone, the island is all yours. Go do whatever you want!"
266.9,271.238,"So we all enjoyed the luxuries of this $50,000 island date."
271.305,272.272,"All right everyone, heads up!"
272.339,275.742,Like hitting golf balls that are also fish food right into the ocean.
275.809,278.946,"Thea, you show me how it’s done. I actually don't know how to do this."
281.982,284.384,Now we're getting couples' massages on the beach.
284.918,287.821,There is just a person on my back. Very relaxing.
287.888,290.324,Grizz and Hase were playing some beach volleyball…
291.058,292.626,"against their wives, of course."
292.693,295.329,And Josh and Kenna were having a picnic on the beach.
295.395,298.131,I forgive you for taking him away from me for so long.
298.198,300.701,"Welcome in, guys. Oh wait, there's rose petals."
301.268,303.07,"I mean, I laid those just for you."
304.171,307.14,"For 50 grand, we all get these luxurious bungalows."
307.207,308.141,Where do the petals lead?
308.208,309.91,"I mean, look where the petals lead."
309.977,311.712,Into the lovely master suite.
311.979,313.881,I made a heart just for you.
313.947,316.517,It is so pretty. And you picked them yourself?
316.583,318.352,"Oh, I made this myself. Wow."
318.418,321.522,"And as the sun was setting on this $50,000 date…"
321.588,322.623,To our loved one!
322.689,323.557,Cheers!
323.624,326.226,…Nolan was the only one at dinner without a date.
326.76,328.829,Until Tom the turkey showed up.
329.196,330.964,"Nolan, we found you a partner!"
331.031,332.299,"Uh, I'm all good on Tom."
332.366,334.701,"And after dinner, we did some couples dancing."
334.768,336.203,Rate our dance move.
337.171,338.071,Again. Got it?
339.072,340.073,Come on!
342.876,346.58,"And after dark, we had a beach campfire, and I had a surprise for everyone."
346.647,348.182,Cue the fireworks show!
353.187,354.888,And lightning at the same time!
354.955,357.124,"Nolan, your date showed up! Tom the Turkey!"
357.191,358.825,"Yo, why are you standin' so still?"
359.56,362.963,"That's it for the $50,000 date! I'll see you guys at the next one."
363.263,365.499,"For double the cost of the previous date,"
365.566,369.102,we get this massive indoor metropolis all to ourselves.
369.169,370.637,"There's a giant theme park,"
370.704,372.973,"the largest indoor water park in America,"
373.04,375.042,even its own weather control system
375.108,377.978,so they can have the largest indoor ski slope in America.
378.045,379.079,"Ooh, it's so cool."
379.146,380.38,This is terrifying!
380.447,381.715,And while Thea loves skiing…
382.516,383.684,I haven't told her…
383.984,386.453,I have no idea how to ski.
386.92,388.522,"Babe, this is massive!"
392.159,393.927,You're scared? Don’t be scared.
393.994,395.229,I'm not scared.
395.329,396.363,Nah. You're good.
396.43,397.397,"Hey, what's over there?"
397.464,398.799,What? I'm freakin' terrified.
399.199,400.501,What did you say? I'm excited!
400.567,401.935,"Ok, you got it?"
403.27,404.571,"Babe, grab the straight—"
406.373,407.207,"Babe, stop!"
407.274,408.242,How do I stop?
410.611,412.88,"Babe, I'm starting to think that you don't know how to ski."
412.946,414.181,"No, I— I know how to ski."
414.248,415.816,How do I stand up? I got you.
415.883,417.251,"Ah! Oh, no."
417.518,418.352,"Babe, stop!"
418.418,419.253,"Babe, help!"
419.319,420.554,"Thea, make me stop."
420.621,421.722,Ok. I got you.
425.325,426.293,How do I stop?
426.36,427.327,Legs together!
429.296,430.898,"Legs closed, legs closed!"
430.964,432.266,"What, are they not closed?"
436.036,437.738,"Yeah, skiing is so much fun."
437.804,439.273,"Anyways, let's move on with the date!"
439.339,441.808,"With so much to explore in this shopping metropolis,"
441.875,443.977,it felt like doing ten dates in one!
444.311,446.046,From winning prizes in an arcade…
446.947,448.615,…getting a hole-in-one in mini golf…
448.682,450.017,Look at that! Yeah!
450.083,452.352,…or building each other custom teddy bears.
452.452,453.42,I love it.
453.487,457.157,"And where I normally do these kinds of videos by myself or with my friends,"
457.224,460.994,doing this with the person I love most was kind of magical.
463.797,467.301,Being able to do pretty much anything you could ever want to do on a date—
467.367,470.137,It felt like being a kid in a candy store …literally!
470.871,471.672,"Ooh, chocolate."
472.005,473.807,Whoa. What is this?
474.308,476.51,"Uh. Hey, ma'am? What is this?"
476.743,477.845,They're Hershey's.
482.149,484.585,Can we replace these with Feastables?
484.785,485.519,Sure.
485.586,486.453,Ok. Oh!
487.554,489.623,"Much better! If you haven’t already, try Feastables."
489.69,491.358,It's the best-tasting chocolate on the planet.
491.425,492.359,Let's keep the date going.
492.426,495.095,"We now have an entire waterpark to ourselves,"
495.162,497.397,and we just wanna take a relaxing swim together.
499.566,502.002,Isn't it crazy that we're in the middle of a mall?
502.069,503.604,It's like as big as the ocean.
503.67,506.974,"Up next, we actually got Madison Beer to go on a date with Nolan."
507.04,508.675,Do you think Nolan has a chance with her?
510.811,511.778,We're about to find out.
511.845,515.782,"For the $250,000 date, Madison Beer,"
515.849,519.353,"the two-time Grammy nominee, platinum-selling artist,"
519.419,522.322,"with over 3.5 billion streams worldwide,"
522.389,523.657,is going on a date with…
524.358,526.159,my awkward friend Nolan.
527.761,529.463,Hello! Hey.
529.53,531.031,Great to meet you. How are you?
531.098,532.733,Nice to meet you.
532.799,534.902,"And while Nolan is on his date with Madison Beer,"
534.968,537.104,me and Tareq are currently tucked away in the bathroom
537.171,540.407,with a walkie that communicates directly to a mic in Nolan's ear.
540.474,541.575,Where are you from?
541.642,543.143,I'm from Long Island. New York?
543.21,544.278,Yes. Where are you from?
544.344,546.313,Nebraska. Not much out there besides corn.
548.949,549.75,Cool. Yeah.
549.816,551.585,"No, he's talking about corn!"
551.652,555.322,"In this seven years I've known Nolan, I have never seen him this nervous before."
555.389,560.294,"So to help Nolan out, I spent $250,000 on Madison's dream date."
560.36,564.531,"From driving her favorite car, getting VIP treatment at an MLB game,"
564.598,566.5,"and an over-the-top sushi dinner,"
566.567,569.87,all to give Nolan the best shot of securing a second date.
570.07,571.371,Tell her you like her outfit.
571.438,572.206,A great outfit.
575.442,576.376,Thank you.
576.443,578.212,We told the waiter to help us wingman Nolan.
578.278,579.813,I'll be your server. Welcome to Bar Siesta.
579.88,581.448,You guys look amazing. I like your shoes my man.
581.515,582.149,"Dude, thank you."
582.216,584.484,But it was quickly clear that it wasn't working.
584.551,585.185,How's the weather?
585.252,586.32,How's the weather?
586.954,587.454,Cool.
587.521,588.455,He’s falling apart.
588.522,590.824,Nolan is not used to talking to attractive women.
590.891,592.826,You've watched the videos before? I watch all the videos.
592.893,593.727,What's your favorite video?
593.794,596.096,The one where they were underground for 100 days.
596.163,598.232,Madison Beer watches our videos.
598.298,599.399,I never expected that.
599.466,599.967,Same.
600.033,600.901,I don't really eat meat.
600.968,601.802,Vegan? Vegetarian?
601.869,603.737,"Pescatarian, 'cause I love sushi."
603.804,605.472,"They're getting to know each other, this is nice."
605.806,608.308,"Sorry, I just got lost in your eyes. Aw, that's so sweet."
608.375,609.243,"Ohh, he hit it!"
609.309,610.477,He took the shot!
610.544,612.579,I was staring into the abyss. I don't…
612.646,614.081,"Oh, not my eyes? No."
615.148,618.085,"As they finished eating, I had one last idea to help Nolan."
618.151,621.154,"I want you to tip the waiter $10,000. My card is in your wallet."
621.221,624.258,"That guy was so nice. I think we should tip $10,000."
624.324,626.627,I would love nothing more.
626.693,628.662,Nolan has a gift for you. We left a little something for you.
