start_time,end_time,words
0,5,"We 're going on some of the most expensive dates in the world . Like this $ 500,000 date that"
5,10,"includes the entirety of Disneyland , all for ourselves … a $ 100,000 date at"
10,15,this mega complex with a massive waterpark and indoor ski resort …
15,20,"a $ 50,000 private island date … Best date ever ! a $"
20,25,"10,000 date cooked by Gordon Ramsay … and we even convinced superstar singer"
25,30,Madison Beer to go on a date with my most awkward friend . All starting with
30,35,"this $ 1 date : a Ferris Wheel ! Here 's $ 1 . Ok . Ladies first . Thank you . Take notes ,"
35,40,men . Is this safe ? I see why it 's only $ 1 .
40,45,"The $ 1 date has now begun . It 's , uh , making a lot of noise . Why is it making that"
45,50,"noise ? It 's just the wind , right ? I usually film 20 , 25 days a month , and I do n't really get to"
50,55,"spend much time with my fiancee , so I literally picked this video so me and my fiancee could spend more time together . I"
55,60,"love you , even if you did n't take me to Disneyland . Well … not yet . But for the final"
60,65,"date in this video , for the first time in history , Disney reserved the whole park just"
65,70,"for us . That 's it for the $ 1 date ! Let 's head out to the $ 10,000 dinner date — After"
70,75,"you , babe . Turn off the park . I 'll see you guys there . And now ,"
75,80,"the $ 10,000 date where we 're gon na be recreating our first - ever date with sushi ."
80,85,"After you . Thank you . She does n't know this , but Gordon Ramsay 's gon na be making us the meal for this date ."
85,90,Thank you . There you go . You look really cute . I picked this just for you . It
90,95,"'s been a long time since my first date with Thea , and now that we 're engaged , I 'm really excited to"
95,100,"explore the world 's most expensive dates with my fiancee . You 're probably wondering , "" Why is this the"
100,105,"$ 10,000 date ? "" Why is it ? Gordon Ramsay himself is gon na be cooking our"
105,110,meals . The Gordon Ramsay ? Yep . Come on in . Welcome to Lucky Cat Miami ! It 's nice
110,115,"meeting you ! How 's it going ? What an amazing night this is gon na be . Oh , I 'm excited . Yes . We 're gon"
115,120,na kick off with some pea guacamole with some delicious crackers . Did you say peacock ? I said pea guac !
120,125,"Oh , pea guac , oh … Not peacock , babe . To celebrate this $ 10,000"
125,130,"dinner , some seriously exclusive sushi . Ladies first . Cheers ."
130,135,"Yeah , this is good . We have a delicious gourmet fried chicken , wonderful fried rice , and"
135,140,duck bao buns . Duck tacos ? Bao buns ! Duck tacos . Bao buns ! You can yell at me .
140,145,"I will do in a minute . You 're pushin ' my limits , man . Enjoy . I want you to take the first bite ."
145,150,"I knew you were gon na do that . It 's only the $ 10,000 date , and we already have"
150,155,the world 's best chef cooking a romantic dinner for the 2 of us . Nothing could possibly ruin this moment .
155,160,"Chef . What are you guys doin' here ? No , no no , no . I got you . Come on , man ! Do"
160,165,"n't rip it ! I 'm not ripping it , chef ! I 'm not ripping it ! Oh my goodness , mate . Why are you disrespecting his restaurant ?"
165,170,"This is supposed to be a romantic dinner ! Nolan , mine 's burning . That 's it . I 'm done ! What are you ? An"
170,175,"idiot sandwich ! That is worth 10 K alone . You guys have turned it to a nightmare ! For $ 10,000 , Gordon"
175,180,had a romantic surprise for our final course .
180,185,This is nice ! This is romantic ! This is actually very romantic . Aww . Thank
185,190,you . This 10 K date was amazing . I ca n't imagine how insane these dates are gon na get
190,195,"later in the video . The $ 50,000 date is this entire private island , so me and Thea"
195,200,"brought some friends with us to make this a quadruple date . Wait , what ? What is that ?"
