start_time,end_time,words
0,20,"We 're going on some of the most expensive dates in the world . Like this $ 500,000 date that includes the entirety of Disneyland , all for ourselves … a $ 100,000 date at this mega complex with a massive waterpark and indoor ski resort … a $ 50,000 private island date … Best date ever ! a $"
20,40,"10,000 date cooked by Gordon Ramsay … and we even convinced superstar singer Madison Beer to go on a date with my most awkward friend . All starting with this $ 1 date : a Ferris Wheel ! Here 's $ 1 . Ok . Ladies first . Thank you . Take notes , men . Is this safe ? I see why it 's only $ 1 ."
40,60,"The $ 1 date has now begun . It 's , uh , making a lot of noise . Why is it making that noise ? It 's just the wind , right ? I usually film 20 , 25 days a month , and I do n't really get to spend much time with my fiancee , so I literally picked this video so me and my fiancee could spend more time together . I love you , even if you did n't take me to Disneyland . Well … not yet . But for the final"
60,80,"date in this video , for the first time in history , Disney reserved the whole park just for us . That 's it for the $ 1 date ! Let 's head out to the $ 10,000 dinner date — After you , babe . Turn off the park . I 'll see you guys there . And now , the $ 10,000 date where we 're gon na be recreating our first - ever date with sushi ."
80,100,"After you . Thank you . She does n't know this , but Gordon Ramsay 's gon na be making us the meal for this date . Thank you . There you go . You look really cute . I picked this just for you . It 's been a long time since my first date with Thea , and now that we 're engaged , I 'm really excited to explore the world 's most expensive dates with my fiancee . You 're probably wondering , "" Why is this the"
100,120,"$ 10,000 date ? "" Why is it ? Gordon Ramsay himself is gon na be cooking our meals . The Gordon Ramsay ? Yep . Come on in . Welcome to Lucky Cat Miami ! It 's nice meeting you ! How 's it going ? What an amazing night this is gon na be . Oh , I 'm excited . Yes . We 're gon na kick off with some pea guacamole with some delicious crackers . Did you say peacock ? I said pea guac !"
120,140,"Oh , pea guac , oh … Not peacock , babe . To celebrate this $ 10,000 dinner , some seriously exclusive sushi . Ladies first . Cheers . Yeah , this is good . We have a delicious gourmet fried chicken , wonderful fried rice , and duck bao buns . Duck tacos ? Bao buns ! Duck tacos . Bao buns ! You can yell at me ."
140,160,"I will do in a minute . You 're pushin ' my limits , man . Enjoy . I want you to take the first bite . I knew you were gon na do that . It 's only the $ 10,000 date , and we already have the world 's best chef cooking a romantic dinner for the 2 of us . Nothing could possibly ruin this moment . Chef . What are you guys doin' here ? No , no no , no . I got you . Come on , man ! Do"
160,180,"n't rip it ! I 'm not ripping it , chef ! I 'm not ripping it ! Oh my goodness , mate . Why are you disrespecting his restaurant ? This is supposed to be a romantic dinner ! Nolan , mine 's burning . That 's it . I 'm done ! What are you ? An idiot sandwich ! That is worth 10 K alone . You guys have turned it to a nightmare ! For $ 10,000 , Gordon had a romantic surprise for our final course ."
180,200,"This is nice ! This is romantic ! This is actually very romantic . Aww . Thank you . This 10 K date was amazing . I ca n't imagine how insane these dates are gon na get later in the video . The $ 50,000 date is this entire private island , so me and Thea brought some friends with us to make this a quadruple date . Wait , what ? What is that ?"
