start_time,stop_time,avg_intensity
0,5,39.13333333333333
5,10,100.0
10,15,102.6
15,20,30.9
20,25,12.9
25,30,-5.1
30,35,9.9
35,40,10.0
40,45,10.1
45,50,12.5
50,55,13.2
55,60,13.675
60,65,14.15
65,70,13.7
70,75,12.575
75,80,11.45
80,85,10.0
85,90,11.0
90,95,12.0
95,100,12.95
100,105,13.9
105,110,12.350000000000001
110,115,11.175
115,120,10.0
120,125,9.2
125,130,10.0
130,135,10.0
135,140,10.0
140,145,10.0
145,150,10.0
150,155,10.0
155,160,10.0
160,165,10.0
165,170,10.0
170,175,10.0
175,180,10.0
180,185,10.0
185,190,10.0
190,195,10.0
195,200,10.0
200,205,3.6
205,210,10.0
210,215,16.4
215,220,41.7
220,225,42.0
225,230,36.025
230,235,30.049999999999997
235,240,11.5
240,245,9.65
245,250,7.8
250,255,10.2
255,260,10.075
260,265,9.95
265,270,9.975
270,275,10.0
275,280,10.0
280,285,10.0
285,290,10.0
290,295,10.0
295,300,10.0
300,305,10.0
305,310,10.0
310,315,10.0
315,320,10.0
320,325,10.0
325,330,10.0
330,335,10.0
335,340,10.0
340,345,10.0
345,350,10.0
350,355,10.0
355,360,5.1
360,365,10.0
365,370,14.9
370,375,34.7
375,380,34.7
380,385,34.7
385,390,14.9
390,395,10.0
395,400,5.1
400,405,10.0
405,410,10.0
410,415,10.0
415,420,10.0
420,425,10.0
425,430,10.0
430,435,10.0
435,440,10.0
440,445,10.0
445,450,10.0
450,455,10.0
455,460,10.0
460,465,10.0
465,470,10.0
470,475,10.0
475,480,10.0
480,485,0.1
485,490,10.0
490,495,19.9
495,500,59.3
500,505,59.5
505,510,59.7
510,515,19.9
515,520,11.0
520,525,2.2
525,530,13.2
530,535,15.3
535,540,17.5
540,545,21.8
545,550,21.8
550,555,21.7
555,560,17.6
560,565,15.2
565,570,12.9
570,575,11.0
575,580,10.0
580,585,9.75
585,590,9.5
590,595,10.0
595,600,10.0
600,605,10.0
605,610,10.0
610,615,10.0
615,620,10.0
620,625,10.0
625,630,10.0
630,635,9.65
635,640,9.825
640,645,10.0
645,650,10.7
650,655,11.5
655,660,13.4
660,665,15.2
665,670,9.3
670,675,19.2
675,680,29.1
680,685,63.9
685,690,62.9
690,695,61.8
695,700,24.6
700,705,14.1
705,710,3.6
710,715,10.7
715,720,10.3
720,725,9.9
725,730,11.8
730,735,12.0
735,740,12.2
740,745,11.7
745,750,11.5
750,755,9.075
755,760,6.65
760,765,10.9
765,770,24.525
770,775,38.15
775,780,56.2
780,785,46.900000000000006
785,790,37.6
790,795,23.8
795,800,10.0
800,805,5.4
805,810,7.7
810,815,10.0
815,820,10.0
820,825,10.0
825,830,10.0
830,835,10.0
835,840,9.6
840,845,10.0
845,850,10.4
850,855,11.7
855,860,12.2
860,865,12.6
865,870,12.7
870,875,12.3
875,880,11.8
880,885,10.5
885,890,10.0
890,895,9.5
895,900,9.0
900,905,10.0
905,910,11.0
910,915,15.0
915,920,15.0
920,925,15.0
925,930,11.0
930,935,10.0
935,940,9.75
940,945,9.5
945,950,10.0
950,955,10.0
955,960,10.0
960,965,10.0
965,970,10.0
970,975,8.45
975,980,9.225
980,985,10.0
985,990,13.6
990,995,19.5
995,1000,25.4
1000,1005,36.6
1005,1010,67.6
1010,1015,66.2
1015,1020,64.7
1020,1025,28.6
1025,1030,18.0
1030,1035,7.5
1035,1040,14.9
1040,1045,13.3
1045,1050,11.7
1050,1055,10.7
1055,1060,10.0
1060,1065,9.3
1065,1070,6.7
1070,1075,10.0
1075,1080,13.3
1080,1085,26.3
1085,1090,26.3
1090,1095,26.3
1095,1100,13.3
1100,1105,10.0
1105,1110,9.175
1110,1115,8.35
1115,1120,10.0
1120,1125,10.0
1125,1130,10.0
1130,1135,10.0
1135,1140,10.0
1140,1145,10.0
1145,1150,10.0
1150,1155,10.0
1155,1160,7.55
1160,1165,8.775
1165,1170,10.0
1170,1175,14.9
1175,1180,33.9
1180,1185,34.3
1185,1190,34.7
1190,1195,15.3
1195,1200,12.0
1200,1205,8.7
1205,1210,17.0
1210,1215,17.6
1215,1220,18.2
1220,1225,16.6
1225,1230,15.1
1230,1235,13.5
1235,1240,10.4
1240,1245,10.0
1245,1250,9.6
1250,1255,13.0
1255,1260,13.0
1260,1265,13.0
1265,1270,10.6
1270,1275,10.0
1275,1280,9.85
1280,1285,9.7
1285,1290,10.0
1290,1295,10.0
1295,1300,10.0
1300,1305,10.0
1305,1310,10.0
1310,1315,10.0
1315,1320,10.0
1320,1325,10.0
1325,1330,10.0
1330,1335,10.0
1335,1340,10.0
1340,1345,9.95
1345,1350,9.975
1350,1355,10.0
1355,1360,10.1
1360,1365,3.5
1365,1370,10.3
1370,1375,17.1
1375,1380,40.9
1380,1385,43.9
1385,1390,46.9
1390,1395,29.8
1395,1400,25.3
1400,1405,20.7
1405,1410,24.1
1410,1415,21.1
1415,1420,18.0
1420,1425,12.2
1425,1430,10.0
1430,1435,7.8
1435,1440,10.0
1440,1445,10.0
1445,1450,10.0
1450,1455,10.0
1455,1460,10.0
1460,1465,10.0
1465,1470,10.0
1470,1475,10.0
1475,1480,10.0
1480,1485,10.0
1485,1490,10.0
1490,1495,10.0
1495,1500,10.0
1500,1505,10.0
1505,1510,10.0
1510,1515,10.0
1515,1520,10.0
1520,1525,10.0
1525,1530,10.0
1530,1535,10.0
1535,1540,10.0
1540,1545,6.8
1545,1550,8.0
