start_time,end_time,words
0,5,Luke here with the Out Boys YouTube channel and welcome to the interior of
5,10,Alaska I 'm going to be camping in the Alaska I 'm going to be camping in the snow without a tent for the next 3 days I 'll be
10,15,building survival shelters sleeping under animal hides making Bushcraft projects next to
15,20,the fire and cooking amazing food
45,50,well we 've had a really weird winter here in Alaska and it 's been cold then hot then cold
50,55,again but the good news is the snow 's not too deep and the swamps are all Frozen so I can really get out
55,60,and explore places I otherwise could n't
60,65,I got myself
65,70,pretty wet looks like there 's a little ditch or creek here so I stopped to get out and walk it
70,75,before I tried to take the K truck into it and there 's a booby trap right
75,80,here look at that is just snow floating on
80,85,water then I walked onto it and sunk into mud up to here I
85,90,think I 'll just go around
90,95,been driving around for about 2 and 1/2 hours and I think it 's about time to
95,100,look for a place to
105,110,Camp
110,115,yeah there we
120,125,go look around for some dead
135,140,trees it 's going to be Pitch Black
140,145,by 400 p.m. today I have about an hour and a half before Sunset and it 's really
145,150,hard to find dead trees in the dark
160,165,there 's an invasive Beetle called the Japanese Spruce bark Beetle it 's wiping out a lot of the
165,170,spruce trees in this area so a lot of the trees are sick or dead in the summertime this place is a
170,175,massive forest fire hazard so burning up the dead trees in the winter time can
175,180,actually be a real good thing
180,185,seems like a lot of wood but
185,190,it 's not if you want to keep warm for 18 hours of Darkness Plus have a shelter
190,195,it takes a lot Sun 's setting I got to bust out my lights I use these bicycle lights that
195,200,have a GoPro Mount I got this on a trip to Kyoto when
200,205,Tommy was just little
230,235,got to get a fire going and dry my pants off it 's not a big deal while I
235,240,'m moving around but once I stop to eat dinner it
240,245,'s going to get real cold
250,255,always got to make sure to put your flint and steel away
255,260,so easy to get focused on the fire and then drop it in the snow
260,265,and lose it
265,270,everything 's covered in snow
275,280,everything 's covered in ice and snow so I put the firewood around the fire until it starts to catch
280,285,then I put it out and
285,290,stack it up next to the fire
380,385,I do n't have enough limbs to cover it
385,390,all the way to the top but that 'll make a
390,395,good wind break
415,420,all this wood covered in ice and snow we 're going to prop it up against the
420,425,Heat Flector and dry it
425,430,oh just
430,435,looked at my clock and it 's 7:30 so just about 5 hours to cut
435,440,down all these trees and build this shelter pretty proud of that that 's uh it 's a lot of wood I
440,445,cut shelter is obviously not as good as it could be but it 's good as it 's going to
445,450,be tonight hang up my clothes and let them dry gloves
450,455,are wet boots are wet these logs are frozen and covered in ice
455,460,makes them really cold and it 's going to get me
460,465,wet so we got to dry them
480,485,there you go I brought some Caribou hides to sleep on
485,490,I 'm getting old I need I
490,495,need padding brought along a buffalo hide to
495,500,as a blanket tired need to get some dinner
515,520,tell you what I really like these heat reflectors when
520,525,you build a wall behind your fire it absorbs the heat of the fire and then reflects it back towards
525,530,you but more importantly it acts as a wind break and keeps the wind from blowing the smoke in your face it 's
530,535,nice all right for dinner I 've got moose fajitas I prepped up all
535,540,the meat and Seasonings and vegetables and everything in this little package and froze it now I 'm just going to put it
540,545,in a pot of boiling water to heat it back up not a bad meal when you do n't have time to do
550,555,stuff got a moose vitao with
555,560,a little bit of guacamole oh I 'm hungry it 's about 900
560,565,p.m. I have n't eaten since
570,575,M oh that 's good all right let 's do the
585,590,dishes I have a little bit of firewood but not enough to get me through the rest of the night I
590,595,need to go cut some
595,600,more firewood
