start_time,stop_time,avg_intensity
0,20,58.48333333333333
20,40,6.925000000000001
40,60,11.933333333333332
60,80,12.98
80,100,11.333333333333334
100,120,12.15
120,140,9.8
140,160,10.0
160,180,10.0
180,200,10.0
200,220,17.925
220,240,28.4
240,260,8.6
260,280,9.98
280,300,10.0
300,320,10.0
320,340,10.0
340,360,8.775
360,380,23.575000000000003
380,400,16.175
400,420,10.0
420,440,10.0
440,460,10.0
460,480,10.0
480,500,22.325
500,520,37.525
520,540,12.05
540,560,20.725
560,580,12.275
580,600,9.666666666666666
600,620,10.0
620,640,9.766666666666667
640,660,11.4
660,680,18.2
680,700,53.3
700,720,9.675
720,740,11.475
740,760,9.125
760,780,35.85
780,800,28.400000000000002
800,820,8.16
820,840,9.866666666666667
840,860,11.075
860,880,12.35
880,900,9.75
900,920,12.75
920,940,12.0
940,960,9.8
960,980,8.966666666666667
980,1000,15.649999999999999
1000,1020,58.775
1020,1040,17.25
1040,1060,11.425
1060,1080,9.825
1080,1100,23.05
1100,1120,9.175
1120,1140,10.0
1140,1160,9.02
1160,1180,19.599999999999998
1180,1200,24.075
1200,1220,15.375
1220,1240,13.9
1240,1260,11.4
1260,1280,11.200000000000001
1280,1300,9.879999999999999
1300,1320,10.0
1320,1340,10.0
1340,1360,10.0
1360,1380,17.95
1380,1400,36.475
1400,1420,20.975
1420,1440,10.0
1440,1460,10.0
1460,1480,10.0
1480,1500,10.0
1500,1520,10.0
1520,1540,10.0
1540,1560,7.0
