start_time,end_time,text
0.24,2.149,"Am I okay? Yeah, you're okay. You're"
2.159,3.669,going to be You're going to be okay on
3.6790000000000003,5.03,the other side of this. I'm not going to
5.04,10.15,be okay.
10.16,11.589,"Hey, what's going on everybody for First"
11.599,13.11,We Feast. I'm Sean Evans and you're
13.12,14.549,watching Hot Ones. It's the show with
14.559,16.31,hot questions and even hotter wings. And
16.32,18.15,today we're joined by Dakota Johnson.
18.16,19.429,She's an actress and producer you know
19.439,21.189,"from films like Sesperia, Cha Cha, Real"
21.199,22.55,"Smooth, The Lost Daughter, and many,"
22.56,23.99,many more. You can also catch her
24.0,25.83,"starring in the latest A24 release,"
25.84,27.83,"Materialist, a romantic comedy alongside"
27.84,29.83,"Chris Evans and Pedro Pascal, releasing"
29.84,31.99,"in theaters on June 9th. Dakota Johnson,"
32.0,34.229,welcome to the show. Thanks. How are you
34.239,36.15,around spicy food before we get started?
36.16,40.15,I'm not I'm not I'm not
40.16,44.68,I'm not going to be able to survive.
62.48,66.31,I don't even really like chicken.
66.32,69.19,"I'm scared. This one's fine, right?"
69.2,72.23,"Yeah, no big deal. I won't cry yet. I"
72.24,77.91,don't think so.
82.159,85.18,I like that one. Tasty.
90.32,91.99,Did you learn anything interesting about
92.0,93.91,the world of high-end matchmaking making
93.92,95.109,"this film? You know, it must have been"
95.119,96.87,"really helpful, valuable to have the"
96.88,98.71,perspective of a director like Selene
98.72,100.789,Song who had actual real life experience
100.799,102.63,"in the business. Wow, you're very good"
102.64,104.39,at this.
106.56,109.27,"yes. Well, a lot of her stories were"
109.28,112.71,pretty wild and people really do speak
112.72,114.789,probably more honestly to someone who's
114.799,116.789,their matchmaker than even probably
116.799,119.59,their therapist. The way that Seline
119.6,121.749,approached it was that it is like a
121.759,125.27,business deal and Lucy's like trading
125.28,128.229,and love. It's really interesting. Very
128.239,135.51,opposite to how I think about things.
135.52,137.83,"They're already on the wings. Yeah, we"
137.84,139.83,"cut out the middleman for you, Dakota."
139.84,141.43,Red carpet treatment. I wouldn't
141.44,143.67,be able to do it. I wouldn't be able to
143.68,147.43,dress my own wing.
154.72,158.47,Just winging it.
160.8,163.43,That's spicy. I'm not going to do well.
163.44,165.11,Okay. And I'm not going to lie to you
165.12,166.63,either. That's the trajectory that we're
166.64,169.75,on going forward. Okay.
169.76,174.55,Today Today is going to be my last day.
174.56,177.27,"Growing up on backlots and soundstages,"
177.28,179.11,what stands out as like your earliest
179.12,181.35,core memories of being drawn in by the
181.36,183.75,process of making films?
