start_time,stop_time,avg_intensity
0,20,20.3
20,40,16.84
40,60,13.059999999999999
60,80,20.119999999999997
80,100,66.38
100,120,32.160000000000004
120,140,14.64
140,160,15.5
160,180,20.18
180,200,10.92
200,220,24.2
220,240,59.1
240,260,59.9
260,280,16.3
280,300,9.575
300,320,12.533333333333331
320,340,65.53999999999999
340,360,51.25
360,380,22.55
380,400,29.7
400,420,23.45
420,440,15.1
440,460,10.02
460,480,10.0
480,500,9.76
500,520,13.850000000000001
520,540,20.325000000000003
540,560,28.28
560,580,9.166666666666666
580,600,10.5
600,620,19.78
620,640,15.316666666666668
640,660,19.975
660,680,16.740000000000002
680,700,16.48
700,720,65.76
720,740,99.32000000000001
740,760,79.26
760,780,83.92
780,800,48.56
800,820,39.660000000000004
820,840,39.18
840,860,56.720000000000006
860,880,62.44
880,900,52.36
900,920,46.260000000000005
920,940,31.3
940,960,27.160000000000004
960,980,36.62
980,1000,23.880000000000003
1000,1020,24.52
1020,1040,20.3
1040,1060,26.48
1060,1080,12.559999999999999
1080,1100,25.5
1100,1120,48.760000000000005
1120,1140,56.42
1140,1160,26.52
1160,1180,15.580000000000002
1180,1200,10.0
1200,1220,7.0
