start_time,end_time,words
0,5,"Am I okay ? Yeah , you 're okay . You 're going to be You 're going to be okay on the other side of this . I 'm not going"
5,10,to be
10,15,"okay . Hey , what 's going on everybody for First We Feast . I 'm Sean Evans and you 're watching Hot Ones . It 's the show with hot"
15,20,questions and even hotter wings . And today we 're joined by Dakota Johnson . She 's an actress and producer you know from films
20,25,"like Sesperia , Cha Cha , Real Smooth , The Lost Daughter , and many , many more . You can also catch her starring in the"
25,30,"latest A24 release , Materialist , a romantic comedy alongside Chris Evans and Pedro Pascal , releasing in"
30,35,"theaters on June 9th . Dakota Johnson , welcome to the show . Thanks . How are you around spicy"
35,40,food before we get started ? I 'm not I 'm not I 'm
40,45,not I 'm not going to be able to survive .
60,65,I do n't even really
65,70,"like chicken . I 'm scared . This one 's fine , right ? Yeah , no"
70,75,big deal . I wo n't cry yet . I do n't
75,80,think so .
80,85,I like that one .
85,90,Tasty .
90,95,"Did you learn anything interesting about the world of high - end matchmaking making this film ? You know , it must have"
95,100,"been really helpful , valuable to have the perspective of a director like Selene Song who had actual real"
100,105,"life experience in the business . Wow , you 're very good at this ."
105,110,"yes . Well , a lot of her stories were pretty"
110,115,wild and people really do speak probably more honestly to someone who 's
115,120,their matchmaker than even probably their therapist . The way that Seline
120,125,approached it was that it is like a business deal and Lucy 's like
125,130,trading and love . It 's really interesting . Very
130,135,opposite to how I think about things .
135,140,"They 're already on the wings . Yeah , we cut out the middleman for you , Dakota ."
140,145,Red carpet treatment . I would n't be able to do it . I would n't be able to
145,150,dress my own wing .
155,160,Just winging it .
160,165,That 's spicy . I 'm not going to do well . Okay . And I 'm not going to lie to
165,170,you either . That 's the trajectory that we 're on going forward . Okay .
170,175,Today Today is going to be my last day .
175,180,"Growing up on backlots and soundstages , what stands out as like your earliest core memories"
180,185,of being drawn in by the process of making films ? I
185,190,always felt like um I wanted to be a part like
190,195,when they when they 'd call rolling and everyone got really quiet and I would n't
195,200,see where my mom was or where my dad was and I was like watching the
200,205,monitors . I really wanted to be in the place where they were because it just felt like this magical
205,210,place . I also learned how to drive a golf cart when I was like six . That 's a big deal . And that
210,215,was fun to do on the on the lot
215,220,"on the stages . Oh , you 're giving me a look . Third wing"
220,225,"Yeah , I 'm a This is This is a pickled"
225,230,garlic Disgusting . Oh my
230,235,god . Pickled garlic . The
235,240,Why are some of them skinny and
240,245,"some of them are chunky ? You know , it 's like that in life , you"
245,250,That 's
250,255,life . That 's life . Summer skinny and summer . That 's how it
255,260,goes . How did the 1940s German expressionist
260,265,"dance that you trained for in Sesperia , how did that compare to like the ballet you 'd"
265,270,grown up with ? Um it did
270,275,n't did n't compare . It also was our the choreographer on
275,280,that movie um Damian Jalet . He counts in threes . So it 's one
280,285,and two and three and not an eight count and two and three and not an eight count which is normal . And it also was
285,290,like liberating because ballet is so much
290,295,about defying gravity . And the dance that
295,300,"we learned was about like really giving into it and looking quite , you"
300,305,"know , angular and like"
305,310,uh primal . We 're
310,315,"moving on again . If you 're ready . Only if you 're ready . Okay , let 's just do it . Let 's"
315,320,"just do it . So , up here is a mango srano hops . I"
320,325,like mango . That 's got to
325,330,count for something . Mhm .
330,335,"Seems like you 're struggling a bit . Yeah , I am . I 'm sharing with I 'm sharing in the experience with you and I 'm no superhero ,"
335,340,"you know . I feel it all the I am also not a superhero . Tried ,"
340,345,just
345,350,"like this show . So , I once heard I definitely do n't taste the"
350,355,"mango . Yeah , it 's uh the Serrano hops really kind of dominate . I agree with"
355,360,"you . Am I shaking ? No , you 're good . You 're good . Composed ,"
360,365,"graceful , more ballet , and expressionist dancing . So , I 've heard you"
365,370,"say that one of the things that compelled you to create your own production company , Tea Time , was this impulse to have"
370,375,more control over the final product . How does that shift your perspective as a
375,380,"creative ? Like , I imagine that there are a lot of stressors that you 'd have as a producer that are maybe not even on your"
380,385,radar as an actor . I
385,390,"know . My tongue burns . Um , I"
390,395,really prefer it . It 's hard to be on some jobs
395,400,"where I do n't have input , creative input . How often do you do Um ,"
400,405,"you know , sometimes up to three times a week . You know , we kind of off . I 'm not joking . I"
405,410,'m telling you the truth . Is your stomach okay ? The numbers keep coming back better . I 'm here to
410,415,report a clean bill of health . Yeah . I do n't know if that eases whatever tension you 're feeling coming
415,420,"into the studio today , but But your like"
420,425,gastrointestinal health is solid .
425,430,I 'm really upset . I do n't
430,435,want to eat And you know what ? You do n't have to . I appreciate that . I
435,440,"appreciate All right . If you 're ready to move on , this next one is called"
440,445,spicier sauerkraut and mustard .
445,450,Some
450,455,"of us are , you know . I once did a cameo opposite"
455,460,"Maya Rudolph and found that the hardest thing was not hitting my marks or saying my lines , but"
460,465,"it was to keep from breaking character from laughing . As someone who 's done their fair share of comedies ,"
465,470,have you ever had the experience of struggling to get through a scene simply because your co - star kept
470,475,"cracking you up ? Yes , even in not funny movies , I struggle to get through"
475,480,"scenes . Um , I find actually that even on the more serious"
480,485,"movies is when jokes are a foot . Oh , that 's interest ."
485,490,"That 's interesting . Like maybe if you 're doing like an intense psychological drama , maybe it 's like more"
490,495,"important that you 're laughing in between . Is that Yeah , definitely . Also ,"
495,500,"I mean , for for me at least , I think there 's actors probably that need to"
500,505,"maintain a certain mindset for the whole time , but I"
505,510,do n't do that . I 'm like a very
510,515,unserious person . Do you
515,520,"ever sit at home and be like , "" Oo , I 'd love to have some wings . "" It 's kind of like a telltale heart"
520,525,"that 's always in my life . You know , when I go to a restaurant , I do n't have to order wings for them to"
