start_time,stop_time,avg_intensity
0,5,14.799999999999999
5,10,40.55
10,15,13.4
15,20,13.2
20,25,23.9
25,30,38.2
30,35,36.4
35,40,30.3
40,45,29.95
45,50,33.4
50,55,36.4
55,60,36.4
60,65,49.099999999999994
65,70,64.6
70,75,75.6
75,80,96.2
80,85,100.0
85,90,76.6
90,95,47.4
95,100,40.5
100,105,42.6
105,110,40.2
110,115,38.0
115,120,33.7
120,125,30.2
125,130,28.5
130,135,27.2
135,140,26.5
140,145,24.15
145,150,22.2
150,155,22.299999999999997
155,160,22.3
160,165,21.4
165,170,18.4
170,175,17.200000000000003
175,180,16.0
180,185,18.1
185,190,22.700000000000003
190,195,27.8
195,200,28.6
200,205,30.4
205,210,38.5
210,215,45.5
215,220,47.9
220,225,43.849999999999994
225,230,39.3
230,235,32.8
235,240,30.2
240,245,28.6
245,250,29.0
250,255,24.1
255,260,27.1
260,265,49.599999999999994
265,270,65.8
270,275,66.7
275,280,35.55
280,285,24.5
285,290,29.2
290,295,29.0
295,300,28.9
300,305,30.8
305,310,32.650000000000006
310,315,38.1
315,320,47.15
320,325,57.5
325,330,64.1
330,335,72.25
335,340,68.6
340,345,52.0
345,350,45.3
350,355,39.1
355,360,37.8
360,365,36.8
365,370,36.7
370,375,33.9
375,380,33.2
380,385,34.4
385,390,41.35
390,395,45.4
395,400,44.7
400,405,47.9
405,410,55.2
410,415,53.6
415,420,46.65
420,425,38.5
425,430,37.45
430,435,39.2
435,440,39.150000000000006
440,445,38.5
445,450,38.0
450,455,34.3
455,460,37.55
460,465,49.2
465,470,49.3
470,475,44.9
475,480,36.9
480,485,32.7
485,490,31.5
490,495,31.45
495,500,34.3
500,505,36.6
505,510,42.7
510,515,43.75
515,520,38.5
520,525,37.8
525,530,34.35
530,535,40.1
535,540,62.95
540,545,80.1
545,550,72.35
550,555,53.8
555,560,45.9
560,565,44.2
565,570,38.5
570,575,38.1
575,580,34.7
580,585,27.950000000000003
585,590,23.4
590,595,24.549999999999997
595,600,28.5
600,605,31.0
605,610,31.6
610,615,31.4
615,620,28.6
620,625,26.1
625,630,24.0
630,635,23.4
635,640,22.200000000000003
640,645,24.9
645,650,31.450000000000003
650,655,40.2
655,660,47.75
660,665,53.2
665,670,56.7
670,675,59.0
675,680,56.3
680,685,50.1
685,690,44.2
690,695,34.7
695,700,28.8
700,705,29.25
705,710,33.2
710,715,35.0
715,720,34.9
720,725,34.2
725,730,30.35
730,735,28.2
735,740,26.3
740,745,27.8
745,750,31.05
750,755,37.2
755,760,41.45
760,765,50.4
765,770,70.6
770,775,83.3
775,780,84.9
780,785,63.1
785,790,49.8
790,795,42.9
795,800,37.0
800,805,37.2
805,810,38.8
810,815,39.95
815,820,47.0
820,825,64.35
825,830,76.4
830,835,70.44999999999999
835,840,58.1
840,845,53.9
845,850,55.9
850,855,55.25
855,860,54.6
860,865,56.0
865,870,59.55
870,875,62.5
875,880,62.4
880,885,60.0
885,890,57.95
890,895,54.8
895,900,52.2
900,905,48.2
905,910,46.2
910,915,49.6
915,920,48.1
920,925,43.8
925,930,39.1
930,935,38.400000000000006
935,940,37.9
940,945,33.3
945,950,30.0
950,955,29.4
955,960,33.5
960,965,36.05
965,970,39.1
970,975,38.3
975,980,35.4
980,985,31.2
985,990,28.9
990,995,27.9
995,1000,28.35
1000,1005,27.7
1005,1010,25.8
1010,1015,19.950000000000003
1015,1020,16.6
1020,1025,17.1
1025,1030,16.5
1030,1035,14.4
1035,1040,16.0
1040,1045,22.8
1045,1050,31.7
1050,1055,40.2
1055,1060,41.5
1060,1065,39.3
1065,1070,23.7
1070,1075,15.4
1075,1080,16.1
1080,1085,13.9
1085,1090,11.25
1090,1095,10.0
1095,1100,6.866666666666667
