timestamp_sec,intensity
0.000,0.000
1.097,7.800
2.194,36.600
5.486,39.200
8.778,41.900
12.069,13.400
16.458,13.200
20.847,13.000
23.041,34.800
27.430,38.200
31.819,41.600
34.013,31.200
38.402,30.300
42.791,29.400
44.985,30.500
49.374,33.400
53.763,36.400
55.957,36.400
60.346,44.900
64.735,53.300
66.929,64.600
71.318,75.600
75.707,86.700
77.901,105.700
82.290,100.000
86.679,94.300
88.874,58.900
93.262,47.400
97.651,35.900
99.846,45.100
104.234,42.600
108.623,40.200
110.818,38.000
115.206,35.100
119.595,32.300
121.790,30.200
126.178,28.500
130.567,26.700
132.762,27.700
137.150,26.500
141.539,25.200
143.734,23.100
148.123,22.200
152.511,21.400
154.706,23.200
159.095,22.300
163.483,21.400
165.678,18.400
170.067,17.600
174.455,16.800
176.650,16.000
181.039,18.100
185.427,20.100
187.622,25.300
192.011,27.800
196.399,30.300
198.594,26.900
202.983,30.400
207.372,33.900
209.566,43.100
213.955,45.500
218.344,47.900
220.538,45.400
224.927,42.300
229.316,39.300
231.510,32.800
235.899,30.200
240.288,27.500
242.482,29.700
246.871,29.000
251.260,28.400
253.454,19.800
257.843,27.100
262.232,34.400
264.426,64.800
268.815,65.800
273.204,66.700
275.398,39.200
279.787,31.900
284.176,24.500
286.370,29.200
290.759,29.000
295.148,28.800
297.342,29.000
301.731,30.800
306.120,32.600
308.314,32.700
312.703,38.100
317.092,43.400
319.286,50.900
323.675,57.500
328.064,64.100
330.258,73.500
334.647,71.000
339.036,68.600
341.230,52.000
345.619,45.300
350.008,38.700
352.202,39.500
356.591,37.800
360.980,36.000
363.174,37.600
367.563,36.700
371.952,35.800
374.146,32.000
378.535,33.200
382.924,34.400
385.119,40.000
389.507,42.700
393.896,45.400
396.091,44.700
400.479,46.800
404.868,49.000
407.063,55.200
411.451,53.600
415.840,51.900
418.035,41.400
422.423,38.500
426.812,35.700
429.007,39.200
433.395,39.200
437.784,39.200
439.979,39.100
444.368,38.500
448.756,38.000
450.951,34.300
455.340,36.500
459.728,38.600
461.923,49.200
466.312,49.300
470.700,49.400
472.895,40.400
477.284,36.900
481.672,33.300
483.867,32.100
488.256,31.500
492.645,31.000
494.839,31.900
499.228,34.300
503.617,36.600
505.811,42.700
510.200,43.400
514.589,44.100
516.783,38.500
521.172,37.800
525.561,37.100
527.755,31.600
532.144,40.100
536.533,48.500
538.727,77.400
543.116,80.100
547.505,82.900
549.699,61.800
554.088,53.800
558.477,45.900
560.671,44.200
565.060,40.400
569.449,36.600
571.643,38.100
576.032,34.700
580.421,31.300
582.615,24.600
587.004,23.400
591.393,22.200
593.587,26.900
597.976,28.500
602.365,30.200
604.559,31.800
608.948,31.600
613.337,31.400
615.531,29.400
619.920,27.800
624.309,26.100
626.503,24.000
630.892,23.400
635.281,22.800
637.475,21.600
641.864,24.900
646.253,28.300
648.447,34.600
652.836,40.200
657.225,45.900
659.419,49.600
663.808,53.200
668.197,56.700
670.392,59.900
674.780,58.100
679.169,56.300
681.364,50.100
685.752,44.200
690.141,38.400
692.336,31.000
696.724,28.800
701.113,26.600
703.308,31.900
707.696,33.200
712.085,34.400
714.280,35.600
718.668,34.900
723.057,34.200
725.252,31.100
729.641,29.600
734.029,28.200
736.224,26.300
740.613,27.800
745.001,29.400
747.196,32.700
751.585,37.200
755.973,41.700
758.168,41.200
762.557,50.400
766.945,59.600
769.140,81.600
773.529,83.300
777.917,84.900
780.112,67.500
784.501,58.700
788.890,49.800
791.084,42.900
795.473,39.000
799.862,35.000
802.056,37.200
806.445,38.800
810.834,40.400
813.028,39.500
817.417,47.000
821.806,54.500
824.000,74.200
828.389,76.400
832.778,78.600
834.972,62.300
839.361,58.100
843.750,53.900
845.944,55.900
850.333,55.500
854.722,55.000
856.916,54.600
861.305,56.000
865.694,57.400
867.888,61.700
872.277,62.500
876.666,63.300
878.860,61.500
883.249,60.000
887.638,58.400
889.832,57.500
894.221,54.800
898.610,52.200
900.804,48.200
905.193,46.900
909.582,45.500
911.776,49.600
916.165,48.100
920.554,46.500
922.748,41.100
927.137,39.100
931.526,37.100
933.720,39.700
938.109,37.900
942.498,36.100
944.692,30.500
949.081,30.000
953.470,29.400
955.665,33.500
960.053,35.200
964.442,36.900
966.637,39.100
971.025,38.300
975.414,37.500
977.609,33.300
981.997,31.200
986.386,29.200
988.581,28.600
992.969,27.900
997.358,27.200
999.553,29.500
1003.941,27.700
1008.330,25.800
1010.525,21.100
1014.914,18.800
1019.302,16.600
1021.497,17.100
1025.886,16.500
1030.274,15.900
1032.469,12.900
1036.858,16.000
1041.246,19.000
1043.441,26.600
1047.830,31.700
1052.218,36.800
1054.413,43.600
1058.802,41.500
1063.190,39.300
1065.385,26.500
1069.774,20.900
1074.163,15.400
1076.357,16.100
1080.746,13.900
1085.135,11.700
1088.426,10.800
1091.718,10.000
1095.009,9.200
1096.107,12.000
1097.204,10.000
1098.301,8.000
1097.204,2.000
1097.204,0.000
