start_time,end_time,text
19.756,20.756,I'm angry.
22.916,27.636,And I’m angry because I wish I knew this when I was younger.
28.236,30.596,So I’m a neuroscientist and a lecturer.
30.596,31.756,"And as a neuroscientist,"
31.756,34.716,I study the brain and the nerves that span out into the body.
34.876,39.116,"And as a lecturer, I teach the next generation of healthcare professionals."
39.596,44.276,"And look, I see some students struggle with their learning,"
44.276,47.036,"especially the older ones, but it’s not their fault."
47.196,49.796,"You know, we don't get taught how to learn."
49.876,52.396,We just kind of expect it to happen.
52.956,57.276,And I think the worst curse of all really is it gets harder to learn as we age.
58.436,62.356,But what if I told you that there are things that we can do
62.556,65.556,to learn faster and more effectively?
66.196,68.356,I’m going to take you through the neuroscience
68.356,71.796,behind six critical ingredients that can help you learn faster:
71.996,75.036,"attention, alertness, sleep,"
75.516,79.676,"repetition, breaks, and mistakes."
81.196,83.596,"Now, first things first. How do we actually learn?"
83.596,85.596,We need neuroplasticity to happen.
85.756,89.196,So neuroplasticity is the scientific term that essentially means
89.196,94.156,our brain’s ability to physically change in response to experience.
94.516,98.036,"So when we’re learning something, whether it’s learning information or"
98.636,99.996,"learning a skill,"
100.396,102.636,tiny little connections called synapses
102.636,105.036,form between neighboring neurons in the brain.
105.156,109.156,"And the more we do that thing, whether it’s information or a skill,"
109.156,111.756,the more robust those connections become
111.756,114.476,and the better we get at doing whatever it is.
115.516,117.076,"Now, what you’re looking at here"
117.076,120.676,are two neurons that I filmed in a petri dish connecting.
121.116,124.116,"Actually, this was a petri dish that I was about to throw away,"
124.116,127.276,"but I saw they were about to connect, so I quickly took this video."
127.276,132.076,"Now, these incredible handlike structures here are called “growth cones,”"
132.076,133.756,and every neuron has one.
133.756,136.356,"They actively sense the environment around,"
136.356,141.076,and they help each and every one of the 86 billion neurons in your brain
141.076,143.156,find the correct place to connect to.
143.156,144.876,"So, for example, from here to here,"
144.876,146.396,or here to here.
146.996,149.676,And this isn’t learning. This doesn’t represent learning.
149.676,153.636,What it represents is how our brain wires itself during development.
154.916,157.836,"Now, when things go wrong with that wiring process"
157.836,159.996,"or when it doesn't happen in the usual way,"
159.996,163.276,you can end up with things like issues with learning and memory.
164.076,168.036,"Now, kids are a little bit like sponges, right?"
168.036,170.316,"They just seem to need to be exposed to stuff,"
170.316,172.396,and they seem to remember it.
172.396,176.916,"Languages, skills, sports, whatever it is, the learning just happens really quickly."
177.156,180.516,"Now, have you ever met someone who’s incredibly talented,"
180.516,181.636,"and you just thought,"
181.636,184.196,"“Okay, they must have some magic thing about them"
184.196,185.796,that the rest of us don’t have.”
186.316,189.876,"Well, what if I told you that that's probably not true?"
189.876,193.076,"It mostly comes down to practice, perseverance,"
193.076,196.756,"and when in development, they started learning that skill."
197.556,199.436,"So the earlier, the better."
200.196,202.876,"And people like Serena Williams and Beethoven,"
202.876,205.196,they weren't born with their skills.
205.196,209.036,"They practiced, and they all actually started by age five."
210.436,213.636,"So really, our ability to learn goes downhill after age five,"
216.036,220.116,"but it certainly gets harder through our childhood, through our teens."
220.116,224.516,"And once we hit our mid-twenties, it gets exponentially harder to learn."
226.316,229.836,But the good news is I’m going to tell you what you can do about it
229.836,231.556,because there are things you can do.
231.556,236.956,"You can use attention, alertness, sleep, repetition, breaks, and mistakes"
236.956,238.516,to make your learning better.
239.156,240.556,So first things first.
240.556,243.636,"In order to learn, we need to pay attention, right?"
243.716,246.076,Attention is a really important function.
246.276,249.396,"So, for example, if I were to ask you to close your eyes"
249.396,253.236,"and focus on your contact between your feet and the floor,"
254.276,257.396,"you’ll suddenly be aware of maybe the texture of your socks,"
257.796,262.596,"maybe how tight your shoes are, maybe how firm the floor is."
265.756,269.196,And you weren’t aware of any of that a second ago.
270.236,274.236,And what that means is that we have the ability to choose
274.236,276.716,how much attention we pay to something.
277.036,281.036,"And studies have shown that when we are fully focused on a task,"
281.276,283.436,"we are more likely to retain that information,"
283.436,284.876,especially for the long term.
285.476,288.116,"Now, until the last little blip in human history,"
288.116,290.716,we have never had to work this hard to pay attention.
290.716,293.476,"Like, let’s be honest, how many times do you find yourself"
293.476,297.356,rereading or replaying something because you got a bit distracted?
297.356,298.596,Right? Yeah.
298.876,301.756,We are designed to focus on one thing at a time.
302.476,305.236,There’s no secret that the frequent context switching
305.236,307.276,"that happens when we use social media,"
307.276,311.276,so scrolling through our phones and seeing lots of different bits of
311.756,317.996,"completely unrelated bits of information like news, ads, you know, cat videos."
317.996,323.796,That results in significantly measurable attention deficits.
324.956,327.036,"So I’m not saying it causes ADHD,"
327.356,332.236,"but studies have shown that if you use your phone for more than an hour in teens,"
332.236,334.316,that results in these attention deficits.
336.036,338.156,So try and use your phone a little bit less.
339.756,342.676,"Now, if you wanted to improve your attention in the long term,"
342.676,345.396,there are things like focused attention meditation
345.396,347.076,that you can do to improve that.
347.076,350.796,"And if you wanted to improve your attention in the really short term,"
350.796,353.516,"well, you can actually just exercise."
353.556,354.676,I know you’re thinking:
354.676,357.796,"“Oh, well, my doctor always says I have to exercise and eat well.”"
357.796,359.196,But hear me out for a second.
359.196,363.436,Did you know that exercise can actually increase the size
363.436,366.156,of the part of your brain involved in learning and memory?
366.636,369.036,It also helps you make new brain cells.
369.316,373.636,And studies have shown that regular exercise improves memory.
373.876,378.076,"It improves cognition, so your ability to think."
378.476,381.356,And just 20 minutes of moderate exercise -
381.356,383.996,"so not even, you know, intense exercise -"
384.716,388.636,that will actually improve your attention for about two hours afterwards.
389.156,392.436,"So here’s what you should do: if you’re sitting down to study,"
396.396,397.476,"go for a jog,"
400.396,401.396,do some star jumps.
401.396,403.636,It’s even better if you challenge your balance.
