start_time,end_time,text
19.756,20.756,I'm angry.
22.916,27.636000000000006,And I’m angry because I wish I knew this when I was younger.
28.236,30.596000000000004,So I’m a neuroscientist and a lecturer.
30.596,34.716000000000015,"And as a neuroscientist, I study the brain and the nerves that span out into the body."
34.876,39.116000000000014,"And as a lecturer, I teach the next generation of healthcare professionals."
39.596,47.03600000000001,"And look, I see some students struggle with their learning, especially the older ones, but it’s not their fault."
47.196,49.795999999999985,"You know, we don't get taught how to learn."
49.876,52.395999999999994,We just kind of expect it to happen.
52.956,57.276000000000025,And I think the worst curse of all really is it gets harder to learn as we age.
58.436,65.556,But what if I told you that there are things that we can do to learn faster and more effectively?
66.196,79.67600000000002,"I’m going to take you through the neuroscience behind six critical ingredients that can help you learn faster: attention, alertness, sleep, repetition, breaks, and mistakes."
81.196,82.36523076923076,"Now, first things first."
82.36523076923076,83.59599999999999,How do we actually learn?
83.596,85.596,We need neuroplasticity to happen.
85.756,94.15600000000003,So neuroplasticity is the scientific term that essentially means our brain’s ability to physically change in response to experience.
94.516,105.03599999999999,"So when we’re learning something, whether it’s learning information or learning a skill, tiny little connections called synapses form between neighboring neurons in the brain."
105.156,114.47599999999997,"And the more we do that thing, whether it’s information or a skill, the more robust those connections become and the better we get at doing whatever it is."
115.516,120.67599999999999,"Now, what you’re looking at here are two neurons that I filmed in a petri dish connecting."
121.116,127.276,"Actually, this was a petri dish that I was about to throw away, but I saw they were about to connect, so I quickly took this video."
127.276,133.756,"Now, these incredible handlike structures here are called “growth cones,” and every neuron has one."
133.756,143.15599999999998,"They actively sense the environment around, and they help each and every one of the 86 billion neurons in your brain find the correct place to connect to."
143.156,146.396,"So, for example, from here to here, or here to here."
146.996,148.11266666666666,And this isn’t learning.
148.11266666666666,149.67599999999996,This doesn’t represent learning.
149.676,153.63600000000002,What it represents is how our brain wires itself during development.
154.916,163.27599999999998,"Now, when things go wrong with that wiring process or when it doesn't happen in the usual way, you can end up with things like issues with learning and memory."
164.076,168.03600000000006,"Now, kids are a little bit like sponges, right?"
168.036,172.39600000000002,"They just seem to need to be exposed to stuff, and they seem to remember it."
172.396,176.916,"Languages, skills, sports, whatever it is, the learning just happens really quickly."
177.156,185.79599999999994,"Now, have you ever met someone who’s incredibly talented, and you just thought, “Okay, they must have some magic thing about them that the rest of us don’t have.”"
186.316,189.87599999999998,"Well, what if I told you that that's probably not true?"
189.876,196.756,"It mostly comes down to practice, perseverance, and when in development, they started learning that skill."
197.556,199.436,"So the earlier, the better."
200.196,205.19600000000003,"And people like Serena Williams and Beethoven, they weren't born with their skills."
205.196,209.036,"They practiced, and they all actually started by age five."
210.436,220.11600000000007,"So really, our ability to learn goes downhill after age five, but it certainly gets harder through our childhood, through our teens."
220.116,224.51600000000002,"And once we hit our mid-twenties, it gets exponentially harder to learn."
226.316,231.55599999999998,But the good news is I’m going to tell you what you can do about it because there are things you can do.
231.556,238.51599999999996,"You can use attention, alertness, sleep, repetition, breaks, and mistakes to make your learning better."
239.156,240.556,So first things first.
240.556,243.636,"In order to learn, we need to pay attention, right?"
243.716,246.07599999999996,Attention is a really important function.
246.276,262.59599999999983,"So, for example, if I were to ask you to close your eyes and focus on your contact between your feet and the floor, you’ll suddenly be aware of maybe the texture of your socks, maybe how tight your shoes are, maybe how firm the floor is."
265.756,269.1960000000001,And you weren’t aware of any of that a second ago.
270.236,276.716,And what that means is that we have the ability to choose how much attention we pay to something.
277.036,284.87600000000003,"And studies have shown that when we are fully focused on a task, we are more likely to retain that information, especially for the long term."
285.476,290.716,"Now, until the last little blip in human history, we have never had to work this hard to pay attention."
290.716,297.3560000000001,"Like, let’s be honest, how many times do you find yourself rereading or replaying something because you got a bit distracted?"
297.356,298.04488888888886,Right?
298.04488888888886,298.596,Yeah.
298.876,301.7560000000001,We are designed to focus on one thing at a time.
302.476,317.996,"There’s no secret that the frequent context switching that happens when we use social media, so scrolling through our phones and seeing lots of different bits of completely unrelated bits of information like news, ads, you know, cat videos."
317.996,323.79599999999994,That results in significantly measurable attention deficits.
324.956,334.316,"So I’m not saying it causes ADHD, but studies have shown that if you use your phone for more than an hour in teens, that results in these attention deficits."
336.036,338.156,So try and use your phone a little bit less.
