start_time,stop_time,avg_intensity
0,20,21.728571428571428
20,40,31.516666666666666
40,60,33.22
60,80,71.8
80,100,63.6
100,120,37.64
120,140,27.919999999999998
140,160,22.900000000000002
160,180,18.04
180,200,24.75
200,220,40.160000000000004
220,240,38.0
240,260,26.916666666666668
260,280,50.46666666666667
280,300,28.1
300,320,38.083333333333336
320,340,66.94
340,360,42.660000000000004
360,380,35.21666666666667
380,400,41.44
400,420,49.65
420,440,38.483333333333334
440,460,37.18
460,480,45.04
480,500,32.35
500,520,41.06
520,540,45.416666666666664
540,560,64.9
560,580,38.8
580,600,26.150000000000002
600,620,30.366666666666664
620,640,23.580000000000002
640,660,37.25
660,680,56.839999999999996
680,700,38.5
700,720,32.766666666666666
720,740,29.880000000000003
740,760,35.0
760,780,71.96000000000001
780,800,48.81666666666666
800,820,40.58
820,840,67.35000000000001
840,860,54.98
860,880,60.4
880,900,56.58
900,920,47.660000000000004
920,940,40.233333333333334
940,960,31.9
960,980,36.71666666666667
980,1000,28.933333333333334
1000,1020,22.0
1020,1040,15.680000000000001
1040,1060,33.199999999999996
1060,1080,23.639999999999997
1080,1100,8.76
