start_time,end_time,words
0,20,I
20,40,"'m angry . And I ’m angry because I wish I knew this when I was younger . So I ’m a neuroscientist and a lecturer . And as a neuroscientist , I study the brain and the nerves that span out into the body . And as a lecturer , I teach the next generation of healthcare professionals . And"
40,60,"look , I see some students struggle with their learning , especially the older ones , but it ’s not their fault . You know , we do n't get taught how to learn . We just kind of expect it to happen . And I think the worst curse of all really is it gets harder to learn as we age . But what if I told you"
60,80,"that there are things that we can do to learn faster and more effectively ? I ’m going to take you through the neuroscience behind six critical ingredients that can help you learn faster : attention , alertness , sleep , repetition , breaks , and mistakes ."
80,100,"Now , first things first . How do we actually learn ? We need neuroplasticity to happen . So neuroplasticity is the scientific term that essentially means our brain ’s ability to physically change in response to experience . So when we ’re learning something , whether it ’s learning information or learning a skill ,"
100,120,"tiny little connections called synapses form between neighboring neurons in the brain . And the more we do that thing , whether it ’s information or a skill , the more robust those connections become and the better we get at doing whatever it is . Now , what you ’re looking at here are two neurons that I filmed in a petri dish"
120,140,"connecting . Actually , this was a petri dish that I was about to throw away , but I saw they were about to connect , so I quickly took this video . Now , these incredible handlike structures here are called “ growth cones , ” and every neuron has one . They actively sense the environment around , and they help each and every one of the 86 billion"
140,160,"neurons in your brain find the correct place to connect to . So , for example , from here to here , or here to here . And this is n’t learning . This does n’t represent learning . What it represents is how our brain wires itself during development . Now , when things go wrong with that wiring process or when it does n't happen in the usual way ,"
160,180,"you can end up with things like issues with learning and memory . Now , kids are a little bit like sponges , right ? They just seem to need to be exposed to stuff , and they seem to remember it . Languages , skills , sports , whatever it is , the learning just happens really quickly . Now , have you ever met someone who ’s incredibly"
180,200,"talented , and you just thought , “ Okay , they must have some magic thing about them that the rest of us do n’t have . ” Well , what if I told you that that 's probably not true ? It mostly comes down to practice , perseverance , and when in development , they started learning that skill . So the earlier , the better ."
200,220,"And people like Serena Williams and Beethoven , they were n't born with their skills . They practiced , and they all actually started by age five . So really , our ability to learn goes downhill after age five , but it certainly gets harder through our childhood , through our"
220,240,"teens . And once we hit our mid - twenties , it gets exponentially harder to learn . But the good news is I ’m going to tell you what you can do about it because there are things you can do . You can use attention , alertness , sleep , repetition , breaks , and mistakes to make your learning better . So first"
240,260,"things first . In order to learn , we need to pay attention , right ? Attention is a really important function . So , for example , if I were to ask you to close your eyes and focus on your contact between your feet and the floor , you ’ll suddenly be aware of maybe the texture of your socks , maybe how tight your"
260,280,"shoes are , maybe how firm the floor is . And you were n’t aware of any of that a second ago . And what that means is that we have the ability to choose how much attention we pay to something . And studies have shown that when we are fully"
280,300,"focused on a task , we are more likely to retain that information , especially for the long term . Now , until the last little blip in human history , we have never had to work this hard to pay attention . Like , let ’s be honest , how many times do you find yourself rereading or replaying something because you got a bit distracted ? Right ? Yeah . We are designed"
300,320,"to focus on one thing at a time . There ’s no secret that the frequent context switching that happens when we use social media , so scrolling through our phones and seeing lots of different bits of completely unrelated bits of information like news , ads , you know , cat videos . That results in"
320,340,"significantly measurable attention deficits . So I ’m not saying it causes ADHD , but studies have shown that if you use your phone for more than an hour in teens , that results in these attention deficits . So try and use your phone a little bit less . Now ,"
340,360,"if you wanted to improve your attention in the long term , there are things like focused attention meditation that you can do to improve that . And if you wanted to improve your attention in the really short term , well , you can actually just exercise . I know you ’re thinking : “ Oh , well , my doctor always says I have to exercise and eat well . ” But hear me out for a second . Did you"
360,380,"know that exercise can actually increase the size of the part of your brain involved in learning and memory ? It also helps you make new brain cells . And studies have shown that regular exercise improves memory . It improves cognition , so your ability to think . And just 20 minutes"
380,400,"of moderate exercise - so not even , you know , intense exercise - that will actually improve your attention for about two hours afterwards . So here ’s what you should do : if you ’re sitting down to study , go for a jog ,"
400,420,"do some star jumps . It ’s even better if you challenge your balance . If you ’re at work , run up and down the stairs . There are lots of things that you can do to make this happen . Next , we have ... alertness ."
420,440,"In order to learn , you ’ve got to be alert , right ? It 's not rocket science . But he ’s the thing . If you ’re not fully focused on a task , then you ’re going to have a harder time retaining that information . Activating our body ’s fight - or - flight system or activating our sympathetic"
440,460,"nervous system , as it ’s also known , results in the release of things like adrenaline and noradrenaline , and amongst other things , that will increase our alertness . So what are some other things that we can do to increase our fight - or - flight system ? Because obviously , we ca n’t go around blasting air horns all the time . Well , again ,"
460,480,exercise a bit of a recurring theme here . You can do certain breathing techniques like Wim Hof breathing . You can even end your shower with a bit of a cold blast of water because that will certainly make you feel very alert . And we also know that stress will do the same thing . So we know that if you sit down to learn after a small stressor -
480,500,"like this , for example that will enhance your learning . So what can you do ? You can have too much stress , though , as you can see that I ’m experiencing right now . So when you have been experiencing long - term stress or chronic stress , it physically changes our brain , and it causes issues with learning and"
500,520,"memory . So if you have been experiencing stress for a long period of time , you will have impairments in memory . It is that simple , so do be kind to yourself . But little bits of stress are good . They actually help you reach peak performance . And we know that having a little bit of an increase in adrenaline after a learning task will actually"
520,540,"enhance your learning as well . Now you can also ingest substances to enhance your alertness , things like caffeine . And there ’s a growing body of evidence now that shows that having caffeine before a learning task or actually just being a regular caffeine drinker can enhance your learning and memory through a range of different mechanisms in the"
540,560,"brain . We know that , for example , if you eat , you are less alert because that ’s switching off our fight - or - flight system . So maybe do n’t sit down to study after a big meal . There ’s also a limit to our alertness as well . So it 's still a little bit contentious , but studies have"
560,580,"shown that we are constantly going through what we call an “ ultradian rhythm . ” So about every 90 minutes , we ’re going in and out of peak alertness . So the reality is you ca n’t be 100 % alert all the time , and it ’s going to be a chunk of about 8 to 30 minutes in the middle there we will be most alert ."
580,600,"Now , another thing for alertness is sleep . Yes , if you have n’t been sleeping , then , yes , you wo n’t be as alert . But sleep is really important for learning for another reason . So sleep serves a really important constellation of functions . So , for example , it resets our immune system , it resets our metabolism , it resets our"
