start_time,stop_time,avg_intensity
0,20,26.491666666666664
20,40,12.440000000000001
40,60,14.0
60,80,11.1
80,100,10.0
100,120,10.0
120,140,10.0
140,160,10.0
160,180,58.27
180,200,31.619999999999997
200,220,9.981818181818182
220,240,16.75
240,260,13.66
260,280,12.26
280,300,11.34
300,320,10.054545454545455
320,340,10.0
340,360,10.0
360,380,10.0
380,400,10.0
400,420,10.0
420,440,14.780000000000001
440,460,14.88
460,480,9.945454545454545
480,500,10.0
500,520,10.0
520,540,11.4
540,560,10.0
560,580,15.85
580,600,24.345454545454547
