timestamp_sec,intensity
0.000,0.000
0.677,20.000
1.354,91.400
3.386,100.000
5.417,108.600
7.449,57.700
10.157,42.900
12.866,28.200
14.220,30.100
16.929,26.200
19.637,22.200
20.991,20.600
23.700,23.300
26.409,26.000
27.763,34.200
30.471,39.700
33.180,45.100
34.534,50.200
37.243,50.600
39.951,50.900
41.306,46.200
44.014,41.600
46.723,37.000
48.077,31.200
50.786,27.500
53.494,23.900
54.849,22.800
57.557,23.300
60.266,23.800
61.620,27.300
64.329,30.200
67.037,33.000
68.392,36.600
71.100,37.500
73.809,38.400
75.163,36.500
77.872,34.800
80.580,33.100
81.934,30.100
84.643,29.100
87.352,28.000
88.706,30.900
91.414,29.600
94.123,28.400
95.477,24.300
98.186,22.900
100.894,21.400
102.249,20.200
104.957,22.400
107.666,24.700
109.020,30.100
111.729,34.100
114.437,38.100
115.792,42.300
118.500,42.400
121.209,42.500
122.563,39.900
125.272,34.600
127.980,29.300
129.334,20.000
132.043,15.800
134.752,11.700
136.106,12.700
138.814,13.600
141.523,14.600
142.877,18.500
145.586,20.500
148.295,22.500
149.649,22.100
152.357,23.700
155.066,25.400
156.420,28.400
159.129,28.900
161.837,29.500
163.192,27.500
165.900,26.400
168.609,25.400
169.963,24.600
172.672,23.600
175.380,22.600
176.735,20.600
179.443,21.500
182.152,22.300
183.506,26.400
186.215,27.900
188.923,29.400
190.277,31.800
192.986,29.000
195.695,26.200
197.049,17.600
199.757,13.900
202.466,10.200
203.820,11.200
206.529,10.400
209.237,9.700
210.592,10.100
213.300,10.000
216.009,9.900
217.363,10.000
220.072,10.000
222.780,10.000
224.135,10.000
226.843,10.000
229.552,10.000
230.906,10.000
233.615,10.000
236.323,10.000
237.677,9.800
240.386,10.000
243.095,10.200
244.449,11.000
247.158,11.000
249.866,11.000
251.220,9.700
253.929,10.100
256.638,10.500
257.992,10.700
260.700,12.900
263.409,15.100
264.763,18.700
267.472,21.100
270.180,23.600
271.535,25.600
274.243,25.200
276.952,24.800
278.306,20.700
281.015,19.100
283.723,17.400
285.078,18.300
287.786,17.200
290.495,16.100
291.849,14.700
294.558,13.600
297.266,12.400
298.620,12.000
301.329,11.500
304.038,11.100
305.392,11.000
308.100,11.200
310.809,11.500
312.163,13.100
314.872,12.900
317.580,12.800
318.935,10.900
321.643,10.600
324.352,10.300
325.706,9.800
328.415,11.400
331.123,13.000
332.478,17.400
335.186,18.600
337.895,19.700
339.249,18.700
341.958,17.000
344.666,15.400
346.021,11.500
348.729,10.300
351.438,9.100
352.792,11.000
355.501,11.100
358.209,11.200
359.563,7.000
362.272,10.900
364.981,14.700
366.335,29.200
369.043,30.300
371.752,31.300
373.106,20.100
375.815,16.000
378.523,12.000
379.878,11.200
382.586,10.000
385.295,8.800
386.649,10.000
389.358,10.000
392.066,10.000
393.421,10.000
396.129,10.000
398.838,10.000
400.192,10.000
402.901,10.000
405.609,10.000
406.963,10.000
409.672,10.000
412.381,10.000
413.735,10.000
416.443,10.000
419.152,10.000
420.506,10.000
423.215,10.000
425.923,10.000
427.278,10.000
429.986,10.000
432.695,10.000
434.049,9.400
436.758,10.000
439.466,10.600
440.821,10.800
443.529,13.100
446.238,15.400
447.592,19.200
450.301,21.400
453.009,23.600
454.364,25.800
457.072,24.000
459.781,22.300
461.135,15.500
463.844,12.700
466.552,9.900
467.906,10.500
470.615,10.000
473.324,9.500
474.678,10.000
477.386,10.000
480.095,10.000
481.449,9.600
484.158,10.000
486.866,10.400
488.221,11.700
490.929,11.800
493.638,12.000
494.992,11.100
497.701,10.700
500.409,10.400
501.764,10.100
504.472,10.000
507.181,9.900
508.535,10.000
511.244,10.000
513.952,10.000
515.306,8.900
518.015,10.000
520.724,11.100
522.078,11.700
524.786,15.400
527.495,19.000
528.849,27.500
531.558,28.500
534.267,29.400
535.621,22.100
538.329,20.200
541.038,18.400
542.392,18.900
545.101,19.100
547.809,19.300
549.164,18.600
551.872,21.300
554.581,23.900
555.935,34.600
558.644,32.300
561.352,30.100
562.707,14.500
565.415,10.000
568.124,5.500
569.478,10.000
572.187,10.000
574.895,10.000
576.249,10.000
578.958,10.000
581.667,10.000
583.021,10.000
585.729,10.000
588.438,10.000
589.792,10.000
592.501,10.000
595.209,10.000
596.564,8.700
599.272,10.000
601.981,11.300
603.335,12.700
606.044,16.300
608.752,19.900
610.107,25.200
612.815,28.100
615.524,30.900
616.878,31.300
619.587,30.500
622.295,29.700
623.649,25.200
626.358,24.100
629.067,23.100
630.421,26.000
633.130,25.100
635.838,24.100
637.192,22.200
639.901,19.500
642.610,16.700
643.964,13.400
646.672,11.500
649.381,9.600
650.735,10.300
653.444,10.000
656.152,9.700
657.507,10.000
660.215,10.000
662.924,10.000
664.278,10.000
666.987,10.000
669.695,10.000
671.727,10.000
673.758,10.000
675.790,10.000
676.467,12.000
677.144,10.000
677.821,8.000
677.144,2.000
677.144,0.000
