start_time,end_time,words
0,5,"Hello friends , it 's me and today we are checking out some very unlucky"
5,10,"people . She 's playing the claw machine game . Oh , she got it . Oh , by the foot . No ."
10,15,"Oh , it was so close . This be happen to me all the time . There is"
15,20,"nothing like a claw machine getting your hopes up just to be like , "" Oh , here you go ."
20,25,"Oh , here Mickey for you . Oh , no . No . No . Sorry . No Mickey . No toy . You"
25,30,"know , maybe if you give me $ 20 more dollars and 10 more tries , maybe , just maybe , you 'll be a"
30,35,"winner . Mom , I saw this really cool hack on YouTube where you put a ton of rubber bands on a"
35,40,"watermelon and then it 'll pop in half . Here , I did it . Why is n't it"
40,45,"working ? Yeah , that exploded . All right . You know , that melon was at its breaking point . I can no"
45,50,"longer handle this abuse . As you can see , it does"
50,55,"work , but you just do n't know when it will work . In the"
55,60,"whole entire animal kingdom , seagulls have got to be the rudest and most"
60,65,"unhinged . Like , people will just be at the beach minding their own business , eating , and"
65,70,they will fly down and they will swoop down and steal your snack right out of your
70,75,"mouth . They do n't care . Like , the way he low - key teaagged her too while stealing her"
75,80,"snack . Like , they 've been using their wings for evil . They 're evil thieves . See , I"
80,85,"'m telling you , they are the worst creatures . Look at this guy . He knew . He knew exactly what he"
85,90,was going to do . There was n't even food . She did n't even have any food . He went for the eyeball .
90,95,Watch this in slow motion . He thought there was food in
95,100,there . This is a violation . A molestation of her
100,105,eyeball . Bro went in there . I do n't like seagulls . I am very weary of
105,110,seagulls . Traumatized by the beard . This guy might have had the
110,115,"worst luck ever . This guy threw a basketball in a pipe . Oh , just barely"
115,120,"missed it . It 's going to hit his head . Ah , not the head I was talking about . Now , I 'm"
120,125,not even a guy and I can feel this video . My peanuts .
125,130,POV . When the lifeguard gets too cocky . Did you see him ? I have to
130,135,"go back . You know , when they do that flying kick , give you all that momentum . Bro brought himself"
135,140,"along , too . Like , it hit him a little too hard . Where is he ? Is he okay ? Is he coming down ? Bro"
140,145,'s probably not going to have a good time going down that with no floaty . Raw dog in the water
145,150,slide . I thought he was a professional at this . That was just
150,155,unlucky . A bad day at the job . First time for little Billy
155,160,going down the slide . How does that even happen ? There 's just
160,165,simply not enough traction . How 'd you get a concussion going down a
165,170,slide ? Poor kid probably never went on a slide again . Like what ? It 's supposed to be
