start_time,end_time,text
4.566,5.833,Barbie dream house!
5.833,6.433,"Hi, Barbie."
6.533,7.733,"Hi, Barbie."
13.8,15.0,Barbie.
15.0,16.2,See Barbie.
16.2,17.533,"Barbie. -Hi, Barbie!"
17.633,18.866,Barbieland. -Barbie—
18.9,20.1,Barbie—
27.6,28.8,"Hi, Barbie."
32.366,34.0,"Guess what, Barbie fans—"
34.1,35.3,"Hi, Barbie."
35.6,36.8,"Hi, Barbie. -Hi, Barbie!"
38.266,41.4,"In the summer of 2023, Barbie took over."
41.6,43.166,Barbie!
43.166,45.2,The film was inescapable.
47.2,49.366,Put Barbie isn't the first movie
49.366,51.266,to do a massive summer takeover.
60.0,62.033,“It is as if God created the devil...
63.866,65.066,and gave him...
65.766,66.566,Jaws.”
66.566,67.766,Jaws basically
67.766,70.733,"invented the modern blockbuster, I guess, is the way to put it."
70.766,71.8,I’m Alissa Wilkinson.
71.8,75.1,I’m a senior correspondent at Vox and a critic.
75.366,79.8,"Before Jaws, no movie had made $100 million at the box office."
79.866,81.866,This didn't happen by accident.
81.9,85.7,"It was all a strategy that started long before Jaws, the movie."
85.966,89.5,"And—okay, so I could talk about Jaws for literally hours."
89.5,92.9,"But in the interest of time, here are the highlights:"
96.133,97.333,“From the bestselling novel...
97.566,98.366,Jaws.”
98.366,99.466,Jaws was a book first
99.466,102.333,"which is true of a lot of movies obviously, and always has been."
102.6,105.3,Producers at Universal acquired the film rights to Jaws
105.3,108.1,before Peter Benchley even got the book published.
108.5,111.066,They started pouring money into the book's marketing.
111.266,112.5,They got it into book clubs
112.5,114.033,designating it as Book-of-the-Month.
114.166,117.766,There was skywriting at beaches that said “Read Jaws.”
117.9,120.933,Hype was built and perhaps inevitably
120.933,124.2,"Jaws, the novel, became a blockbuster in its own right."
124.266,127.833,Sitting at the top of the bestsellers lists for 44 weeks straight.
128.233,131.2,The intellectual property was effectively leveraged.
133.766,136.033,"Then, just one year after the book release..."
136.333,139.466,the film came out and it was... good.
140.033,142.5,"A giant shark, beautiful cinematography"
142.5,145.533,and an innovative score that kept you on the edge of your seat.
147.5,149.6,It couldn't really be more appealing.
149.766,152.133,When the studio showed it to test audiences
152.133,154.233,they realized they had a massive hit on their hands.
154.233,157.366,And so they started sinking money early into marketing.
157.4,159.266,So I believe the number they spent on marketing
159.266,162.133,was somewhere in the $1.8 million range.
162.3,165.066,Or about $11 million in 2023 dollars.
165.566,168.033,That's not anything compared to the amount
168.033,171.7,"that movies are marketed for now, but it was a lot at the time."
171.9,175.566,A large chunk of that cash was spent on television ads.
175.666,179.333,"In the days before its opening weekend, they saturated the market"
179.333,183.233,buying 30 second spots on every prime time television show
183.233,185.3,on all the major networks...
185.533,187.2,or at least the ones that would let them
187.2,189.1,which was about 80 to 85%.
189.333,191.966,Time magazine featured Jaws on its front cover...
192.0,195.666,and for a while it seemed like you couldn't escape the film.
195.7,197.233,It's not just the idea
197.233,198.533,that you know the movie's coming out
198.533,201.0,but also that it's an event you need to be part of
201.0,204.5,and that you'll be missing out if you don't take part in it.
207.366,209.733,The main reason that say
209.733,211.6,"I don't know, like a Citizen Kane"
211.6,215.033,or 2001: A Space Odyssey are not considered blockbusters
215.033,216.566,is in that time
216.566,219.333,you would release a movie in maybe like one or two cities
219.333,220.933,and then it would roll out slowly.
221.0,223.266,Jaws didn't follow that strategy.
223.433,226.166,It opened in 409 theaters in the US
226.2,230.533,"and 55 more in Canada on June 20th, 1975"
230.533,232.4,squarely in the middle of summer
232.4,236.033,which makes sense as Jaws was all about warm weather and beaches.
236.033,239.433,"But back then, big movies didn't often release in the summer."
239.433,241.233,Why would summer be a good time?
241.233,244.133,"You know, you want to be outside where it's nice"
244.133,247.0,and this is sort of pre-air-conditioning for a lot of people.
247.0,248.733,So maybe it's very uncomfortable.
249.0,251.2,"All these factors, the book promo"
251.2,254.0,"the intense movie promo, the timing..."
254.233,258.5,it all led Jaws to become the highest grossing movie ever made at that point
258.5,260.433,crossing the $100 million mark
260.433,263.066,just 61 days after its release.
263.7,266.5,When something is successful in Hollywood
266.5,269.0,what we immediately see are repeats.
269.0,271.966,"Over and over, derivations, copies"
271.966,275.633,but also just attempts to capture lightning in a bottle. Again.
275.633,278.2,We have blockbusters every year since then...
278.633,281.366,that are using essentially the Jaws formula.
281.366,285.433,"The Star Wars movies, Indiana Jones movies, Mission Impossible movies."
285.433,286.966,All of these different films
286.966,289.2,"really count as blockbusters, in part because"
289.2,290.5,they replicated that formula.
291.3,293.966,"Now, a lot changes between Jaws and Barbie..."
294.133,296.833,but when you look at the overlying blockbuster strategy
296.833,299.233,they're almost formulaicly identical.
299.4,302.666,"They both leverage preexisting IP, though with Barbie..."
302.666,304.4,It's much bigger than the Jaws thing.
304.4,308.733,"You know, we're talking about decades of toys, decades of commercials."
308.766,312.333,They were both released in the summer on every screen possible...
312.433,315.933,and they both set market saturation to the extreme.
316.266,318.066,But what separates Barbie from
318.066,320.433,all the blockbusters that came before
320.433,323.033,is that it had a much steeper uphill battle.
323.2,325.4,There has always been the perception
325.4,330.4,among the predominantly male executives of Hollywood
330.4,333.633,that women will go see a movie starring a man
333.633,337.133,but men won't go see movies starring women.
337.9,339.333,And whether or not that's
339.333,342.233,a cultural product of just not having movies
342.233,344.566,"starring women is a big, big question."
344.633,347.433,So making Barbie is obviously a gamble.
348.1,349.2,To mitigate that gamble
349.2,351.8,the Barbie team needed to act strategically.
352.066,353.633,The first step was elevating
353.633,355.966,the idea of what a Barbie movie could be.
356.333,359.666,"They brought in someone with, I would say, a defined style"
359.666,363.766,or at least a defined idea of what kinds of stories she tells.
364.133,366.366,Greta Gerwig has generally made smaller
366.366,368.533,thoughtful films about the human condition...
368.9,371.766,making her an unconventional choice for something of this scale.
372.3,374.333,It sent the message that Hollywood wasn't
374.333,376.766,just making a Barbie cash grab movie.
376.9,380.333,The movie would be more elevated and subversive than you might expect.
380.466,382.433,"I mean, the first trailer references"
382.433,385.933,the evolution of man scene from 2001: A Space Odyssey...
386.1,389.5,a movie that came out in 1968 that's like 3 hours long
389.5,394.033,"and literally about all of human life, which is very cool..."
394.3,396.7,but also very film bro.
396.833,400.366,"Which I can say because, you know, I mean, look at me."
402.133,405.0,That trailer was dropped before The Way of Water...
405.2,407.966,a blockbuster that was poised to be a big hit...
408.233,410.2,meaning you could get maximum exposure.
410.2,412.3,But it's not a typical pairing.
412.7,415.7,Horror movies usually have horror trailers preceding them.
416.1,417.966,Action movies have action trailers.
418.066,421.0,To put Barbie before Avatar was a clear signal
421.0,422.666,that they were trying to reach across
422.666,426.166,to an audience that wouldn't immediately be into Barbie.
428.666,429.7,For a long time
429.7,431.6,this is what Barbie looked like.
431.9,434.966,But the movie and the marketing took a different approach
434.966,436.8,representing more types of people
436.8,439.1,and allowing anybody to become Barbie.
439.366,442.166,Either by using the selfie generator or...
442.166,444.166,You can make a Barbie figure of yourself.
444.166,445.633,You can stand in the pink box
445.633,448.033,and take a picture and put it on Instagram.
448.033,450.433,"You know, I think I'm the only person who hasn't done that"
450.433,452.133,like in the world at this point.
452.3,454.933,"You could say in Barbie's dream house, thanks to Airbnb"
454.966,457.7,or watch your favorite interior designers
457.7,459.166,build the Barbie dreamhouse...
459.366,460.7,thanks to HGTV.
461.0,463.966,You could live the Barbie lifestyle in the real world.
464.6,467.266,This isn't something you can do with other blockbusters.
467.9,470.1,Like you could buy the Flash’s sneakers...
470.233,473.766,but one: They never wears those sneakers in the movie.
473.766,475.566,"Two, more importantly:"
475.633,479.266,They don't really let you embody the character fully.
479.6,482.866,But you could be Barbie in one simple way.
484.333,485.466,It's pink.
485.466,486.466,It's just pink.
486.466,488.3,So you could walk around in pink clothing.
488.3,489.4,And it was a Barbie thing.
489.4,491.766,Or there's a cafe that popped up.
491.966,493.366,That was the Barbie Cafe.
493.6,496.366,It's hard to overstate the power of simplicity
496.366,497.733,with brand tie ins.
497.933,500.066,"Like, I'd love to be Spider-Man..."
500.266,502.333,but finding something with graphic design
502.333,505.233,that I like is... challenging.
505.433,507.366,But you want a Barbie burger?
507.366,508.466,Give it some pink ooze
508.466,510.833,and you got yourself a brand tie-in.
510.833,511.7,Barbie outfits?
511.733,513.466,It's as easy as this.
514.1,516.9,"According to Josh Goldstein, the Head of Marketing at WB..."
517.166,520.566,it stopped being a marketing campaign and became a movement.
520.966,523.1,They didn't have to reach out to every brand
523.1,526.7,because every brand wanted a bite of the Barbie apple.
528.966,530.466,Can I talk about Barbenheimer now?
530.466,531.4,Please! -Okay!
531.4,535.233,Barbenheimer jokes started where it was like:
535.233,537.966,Isn't it funny that these two are coming out on the same day?
537.966,538.533,And it is.
538.733,539.666,One is dark.
540.666,541.433,It's just dark.
541.433,542.633,The other one is pink.
542.7,544.366,"Thematically, one is about death"
544.366,546.733,and the other one is maybe also about death.
546.8,549.066,You ever think about dying?
549.066,550.633,Like that would be weird and funny.
550.633,551.966,And then people thought:
551.966,553.233,"Well, wouldn't it be funnier if you went"
553.233,555.2,and saw both movies on the same day?
555.5,558.8,"And the result of this, I think, is that Barbie..."
559.033,563.0,got a boost because men who might have felt weird about
563.0,565.533,just buying a ticket for a Barbie movie...
565.733,567.766,now they're going to see it as part of a double feature.
567.766,568.6,So it's kind of a bit.
568.6,571.5,And Oppenheimer definitely got a boost from the same.
