start_time,end_time,words
5,10,"Barbie dream house ! Hi , Barbie . Hi , Barbie ."
10,15,Barbie .
15,20,"See Barbie . See Barbie . Barbie . -Hi , Barbie ! Barbieland . -Barbie —"
20,25,Barbie —
25,30,"Hi , Barbie ."
30,35,"Guess what , Barbie fans — Hi ,"
35,40,"Barbie . Hi , Barbie . -Hi , Barbie ! In the summer of 2023 ,"
40,45,Barbie took over . Barbie ! The film was
45,50,inescapable . Put Barbie is n't the first movie to do a
50,55,massive summer takeover .
55,60,“
60,65,It is as if God created the devil ... “ It is as if God created the devil ... and gave
65,70,"him ... Jaws . ” Jaws basically invented the modern blockbuster , I guess , is"
70,75,the way to put it . I ’m Alissa Wilkinson . I ’m a senior correspondent at Vox and a
75,80,"critic . Before Jaws , no movie had made $ 100 million at the box office ."
80,85,This did n't happen by accident . It was all a strategy that started long before
85,90,"Jaws , the movie . And — okay , so I could talk about Jaws for literally hours . But in"
90,95,"the interest of time , here are the highlights :"
95,100,“ From the bestselling novel ... Jaws . ” Jaws was a book first which is
100,105,"true of a lot of movies obviously , and always has been . Producers at Universal acquired the film rights"
105,110,to Jaws before Peter Benchley even got the book published . They started pouring money
110,115,into the book 's marketing . They got it into book clubs designating it as Book - of - the - Month . There was
115,120,skywriting at beaches that said “ Read Jaws . ” Hype was built and perhaps
120,125,"inevitably Jaws , the novel , became a blockbuster in its own right . Sitting at"
125,130,the top of the bestsellers lists for 44 weeks straight . The intellectual property was
130,135,"effectively leveraged . Then , just one year"
135,140,after the book release ... the film came out and it was ... good .
140,145,"A giant shark , beautiful cinematography and an innovative score that kept you on the edge"
145,150,of your seat . It could n't really be more appealing .
150,155,When the studio showed it to test audiences they realized they had a massive hit on their hands . And so they
155,160,started sinking money early into marketing . So I believe the number they spent on marketing was
160,165,somewhere in the $ 1.8 million range . Or about $ 11 million in 2023
165,170,dollars . That 's not anything compared to the amount that movies are marketed for
170,175,"now , but it was a lot at the time . A large chunk of that cash was spent on"
175,180,"television ads . In the days before its opening weekend , they saturated the market buying 30"
180,185,second spots on every prime time television show on all the major
185,190,networks ... or at least the ones that would let them which was about 80 to 85 % . Time
190,195,magazine featured Jaws on its front cover ... and for a while it seemed like you could n't
195,200,escape the film . It 's not just the idea that you know the movie 's coming out but also that it 's an event
200,205,you need to be part of and that you 'll be missing out if you do n't take part in it .
205,210,The main reason that say I do
210,215,"n't know , like a Citizen Kane or 2001 : A Space Odyssey are not considered"
