start_time,stop_time,avg_intensity
0,5,39.275
5,10,53.349999999999994
10,15,11.350000000000001
15,20,11.25
20,25,9.25
25,30,10.25
30,35,11.9
35,40,15.149999999999999
40,45,19.3
45,50,28.133333333333336
50,55,28.15
55,60,22.2
60,65,19.549999999999997
65,70,17.833333333333332
70,75,17.3
75,80,16.75
80,85,15.95
85,90,12.05
90,95,29.0
95,100,46.8
100,105,47.45
105,110,33.25
110,115,16.9
115,120,14.6
120,125,12.8
125,130,14.25
130,135,17.6
135,140,20.200000000000003
140,145,21.1
145,150,21.233333333333334
150,155,20.25
155,160,19.4
160,165,18.75
165,170,16.599999999999998
170,175,14.4
175,180,13.3
180,185,12.85
185,190,13.600000000000001
190,195,11.75
195,200,9.65
200,205,9.6
205,210,12.05
210,215,14.4
215,220,13.5
220,225,13.95
225,230,15.950000000000001
230,235,19.85
235,240,20.5
240,245,17.85
245,250,13.0
250,255,9.899999999999999
255,260,10.7
260,265,16.0
265,270,24.65
270,275,27.6
275,280,28.549999999999997
280,285,23.633333333333336
285,290,17.8
290,295,14.85
295,300,12.45
300,305,11.1
305,310,11.2
310,315,12.9
315,320,15.55
320,325,16.5
325,330,15.65
330,335,13.75
335,340,13.95
340,345,14.6
345,350,13.4
350,355,13.5
355,360,15.8
360,365,22.96666666666667
365,370,29.049999999999997
370,375,30.9
375,380,34.099999999999994
380,385,41.46666666666667
385,390,51.1
390,395,66.25
395,400,87.4
400,405,104.55
405,410,70.85
410,415,29.799999999999997
415,420,31.1
420,425,27.85
425,430,25.1
430,435,21.9
435,440,18.049999999999997
440,445,15.25
445,450,14.45
450,455,14.15
455,460,14.350000000000001
460,465,14.5
465,470,14.3
470,475,13.9
475,480,13.066666666666668
480,485,14.25
485,490,14.9
490,495,12.600000000000001
495,500,9.9
500,505,10.8
505,510,11.149999999999999
510,515,11.65
515,520,11.3
520,525,16.35
525,530,21.4
530,535,21.549999999999997
535,540,17.7
540,545,17.65
545,550,27.95
550,555,36.75
555,560,36.1
560,565,19.95
565,570,21.450000000000003
570,575,27.6
575,580,29.400000000000002
580,585,21.0
585,590,15.7
590,595,17.35
595,600,33.766666666666666
600,605,46.6
605,610,47.7
610,615,37.65
615,620,20.65
620,625,20.549999999999997
625,630,26.1
630,635,24.549999999999997
635,640,17.45
640,645,10.65
645,650,10.649999999999999
650,655,10.9
655,660,11.25
660,665,10.15
665,670,9.85
670,675,10.0
675,680,10.0
680,685,10.0
685,690,10.0
690,695,10.0
695,700,10.0
700,705,10.0
705,710,10.0
710,715,10.0
715,720,10.0
720,725,10.0
725,730,10.0
730,735,10.0
735,740,10.0
740,745,10.0
745,750,10.0
750,755,10.0
755,760,10.0
760,765,10.0
765,770,7.0
