start_time,stop_time,avg_intensity
0,5,52.175
5,10,79.55
10,15,32.55
15,20,32.099999999999994
20,25,28.85
25,30,26.25
30,35,21.05
35,40,19.9
40,45,27.5
45,50,51.26666666666667
50,55,87.4
55,60,100.0
60,65,103.6
65,70,85.60000000000001
70,75,61.9
75,80,38.0
80,85,19.5
85,90,26.2
90,95,34.0
95,100,37.900000000000006
100,105,26.450000000000003
105,110,18.6
110,115,13.4
115,120,10.5
120,125,9.5
125,130,10.0
130,135,10.0
135,140,9.65
140,145,10.35
145,150,13.3
150,155,13.75
155,160,12.7
160,165,10.799999999999999
165,170,9.75
170,175,10.0
175,180,10.0
180,185,10.0
185,190,10.0
190,195,9.7
195,200,10.666666666666666
200,205,13.2
205,210,14.65
210,215,21.15
215,220,34.6
220,225,35.65
225,230,26.15
230,235,11.8
235,240,7.15
240,245,12.25
245,250,24.65
250,255,18.65
255,260,8.55
260,265,10.0
265,270,10.0
270,275,10.0
275,280,10.0
280,285,9.95
285,290,10.0
290,295,10.433333333333332
295,300,10.35
300,305,10.1
305,310,9.3
310,315,9.466666666666667
315,320,19.6
320,325,49.25
325,330,87.85
330,335,101.15
335,340,65.7
340,345,23.700000000000003
345,350,24.95
350,355,29.75
355,360,33.5
360,365,26.05
365,370,21.35
370,375,16.85
375,380,10.85
380,385,9.15
385,390,10.0
390,395,10.0
395,400,10.0
400,405,10.0
405,410,9.666666666666666
410,415,11.85
415,420,15.1
420,425,20.433333333333334
425,430,21.1
430,435,18.7
435,440,18.950000000000003
440,445,18.333333333333332
445,450,21.2
450,455,42.3
455,460,53.25
460,465,14.45
465,470,5.55
470,475,10.0
475,480,10.0
480,485,10.0
485,490,10.0
490,495,10.0
495,500,9.5
500,505,10.5
505,510,12.95
510,515,22.65
515,520,31.450000000000003
520,525,33.150000000000006
525,530,23.6
530,535,14.4
535,540,10.299999999999999
540,545,9.55
545,550,10.0
550,555,10.0
555,560,10.0
560,565,10.0
565,570,10.0
570,575,10.0
575,580,10.0
580,585,10.0
585,590,10.0
590,595,10.0
595,600,10.0
600,605,10.0
605,610,10.0
610,615,10.0
615,620,10.0
620,625,8.7
625,630,17.85
630,635,23.1
635,640,10.75
640,645,11.45
645,650,15.7
650,655,16.966666666666665
655,660,14.2
660,665,11.4
665,670,10.2
670,675,9.9
675,680,10.0
680,685,10.0
685,690,10.0
690,695,10.0
695,700,10.0
700,705,10.0
705,710,10.0
710,715,10.0
715,720,10.0
720,725,10.0
725,730,10.0
730,735,10.0
735,740,10.0
740,745,10.0
745,750,10.0
750,755,10.0
755,760,10.0
760,765,10.666666666666666
765,770,5.0
