start_time,end_time,text
2.08,4.23,I am afraid I have purchased more things
4.24,7.39,from Teemu to brush my
7.4,10.35,kernels some corny
10.36,12.95,ASMR I don't even know where to begin
12.96,15.03,well my feet are cold good thing we have
15.04,17.349,some beer mug socks to keep them warm
17.359,21.87,man these look nothing like the
21.88,24.71,picture get a load of these I like the
24.72,26.55,handle for added grip I'm not going to
26.56,28.07,lie they're kind of cute I don't even
28.08,29.63,remember what this is kind of looks like
30.679,32.79,leggings oh this is something you blow
32.8,35.03,up I remember what I purchased but I
35.04,36.35,don't think you guys realize what this
36.36,37.59,is but am I going to have to blow up
37.6,43.91,this entire
43.92,48.6,thing well that barely made a dent in
50.64,52.95,this this is going to take a lot of
52.96,55.27,blowing I wasn't expecting it to be this
55.28,57.51,big that's what she said baby can you be
57.52,61.47,favor P this St a few moments
61.48,65.189,later after 3 minutes of blowing we've
65.199,68.31,now accumulated this much air all that
68.32,70.63,blowing has got me real tired for some
70.64,73.55,Italian red meat flavored
73.56,76.149,lays I still can't believe teimo sells
76.159,78.83,food and it's all been quite delicious
78.84,81.109,unfortunately including this Italian red
81.119,82.39,meat flavored
82.4,84.55,Lae doesn't really tastes like meat it
84.56,85.99,just tastes like a very good chip it's
86.0,89.109,Smoky and I'm hungry these are actually
89.119,90.91,delicious I work they be putting in
90.92,92.749,these they have way less ingredients
92.759,94.429,than the American chips
94.439,98.91,too W I have no idea what's in here oh
98.92,101.55,wait what is this it's
101.56,106.469,corn a corn shaped tissue box
106.479,109.709,ew why does that smell so bad it's like
109.719,111.429,you walk into a room when there's like
111.439,113.749,fresh paint that's what this smells like
113.759,115.59,it's like as soon as they painted it and
115.6,117.67,the second it dried they packaged it and
117.68,119.63,sent it to me with the paint smell oh
119.64,121.83,it's the spray paint on the sides that's
121.84,123.35,what it smells like spray paint this
123.36,125.63,thing reeks I know this thing is covered
125.64,127.029,in chemicals I don't know what kind of
127.039,129.749,tissue box like fits in here
129.759,132.83,but to wipe your tears a tissue box of
132.84,135.19,your corniest dreams it honestly looks
135.2,137.39,bad this part looks nice but the side
137.4,140.03,they just spray paint on the side I'm
140.04,142.15,not impressed but wait this is part of
142.16,145.03,my cosplay you guys have to bear with me
145.04,146.869,because I got some other corn
146.879,150.35,accessories including a corn shirt bro
150.36,152.47,this is like my favorite band I love
152.48,155.19,corn I'm such a big
155.2,159.35,fan but wait also to complete the look
159.36,162.43,is a hand knitted corn mask this thing
162.44,164.91,is huge this thing is probably the best
164.92,168.35,quality thing I've ever bought from
168.36,172.27,Teemu let me put the hair
172.28,175.43,away ew it's smells so
175.44,177.67,bad I don't want to have something from
177.68,181.19,Teo on my head
181.2,183.43,I think there's more this may or may not
183.44,184.949,be another corn
184.959,187.789,accessory oh wait what is this oh it's a
191.64,193.75,toothbrush like one of those like back
193.76,195.55,brushes and then they just advertise it
195.56,197.309,as a giant toothbrush like that's so
197.319,198.949,stupid I can buy this at the dollar
198.959,201.11,store so brush my
201.12,205.949,kernels some corny
205.959,210.03,ASMR oh while I was doing this corn show
210.04,212.19,this has been inflated I feel like this
212.2,215.11,is the episode of I
215.12,218.35,Carly this sucks I wasn't even close it
218.36,225.789,was like Drake throwing the shoe at the
225.799,228.63,Drone what can I do with this I wish I
228.64,230.83,had somebody to hit I will take out all
230.84,236.19,my anger and frustration on the
236.2,238.71,countertop okay this is not as fun as I
238.72,240.429,thought it would be
240.439,243.47,I don't want to be a corn on the cob
243.48,246.03,anymore this is definitely a very high
246.04,248.39,quality mask 10 out of
248.4,251.949,10 okay do you guys know what this is
251.959,254.19,because I've reacted to this before and
254.2,256.03,then I actually bought
256.04,258.43,one this looks like some kind of torture
258.44,260.469,device yes where are her
260.479,263.749,arms unbox a mannequin this comes with a
263.759,266.39,lot of moving Parts free it's not what
266.4,267.909,it looks like y'all are going to make me
267.919,271.27,assemble this
271.28,276.99,I got that dual wiel the
277.0,279.189,Kimbo okay it's not what it looks like I
279.199,281.59,promise all I know is that your butt
281.6,283.87,cheek goes here and then we have to
283.88,285.909,figure out the rest if you still don't
285.919,287.71,know what this is It's like a portable
287.72,292.44,sitting device where you could sit
294.52,297.71,anywhere very cool I know basically but
297.72,300.31,cheek goes here and then you sit I may
300.32,302.51,need directions for this you clip these
302.52,304.31,two pieces together if you got big
304.32,306.23,cheeks you can make it extra wide if not
