start_time,stop_time,avg_intensity
0,20,49.709999999999994
20,40,24.0125
40,60,65.15714285714286
60,80,75.2375
80,100,28.5625
100,120,17.2375
120,140,9.7875
140,160,12.5
160,180,10.211111111111112
180,200,10.175
200,220,22.0
220,240,20.1875
240,260,16.025
260,280,10.0
280,300,10.2375
300,320,10.957142857142857
320,340,75.9875
340,360,27.975
360,380,18.775
380,400,9.7875
400,420,11.114285714285714
420,440,20.0125
440,460,33.4125
460,480,10.0
480,500,9.875
500,520,19.3875
520,540,19.85
540,560,9.8875
560,580,10.0
580,600,10.0
600,620,10.0
620,640,15.100000000000001
640,660,14.7375
660,680,10.214285714285714
680,700,10.0
700,720,10.0
720,740,10.0
740,760,10.0
760,780,7.428571428571429
