start_time,stop_time,avg_intensity
0,5,18.625
5,10,37.300000000000004
10,15,31.15
15,20,31.0
20,25,30.15
25,30,19.45
30,35,12.799999999999999
35,40,10.3
40,45,9.833333333333334
45,50,10.1
50,55,10.1
55,60,16.900000000000002
60,65,23.15
65,70,22.85
70,75,17.25
75,80,15.700000000000001
80,85,20.05
85,90,24.333333333333332
90,95,22.15
95,100,15.399999999999999
100,105,10.766666666666666
105,110,9.6
110,115,10.0
115,120,10.0
120,125,10.0
125,130,10.0
130,135,10.0
135,140,10.0
140,145,10.0
145,150,10.0
150,155,10.0
155,160,9.85
160,165,10.533333333333333
165,170,11.3
170,175,10.15
175,180,9.9
180,185,10.0
185,190,10.0
190,195,10.0
195,200,10.0
200,205,10.0
205,210,10.0
210,215,10.0
215,220,10.0
220,225,10.0
225,230,10.0
230,235,10.0
235,240,10.0
240,245,10.0
245,250,9.700000000000001
250,255,11.25
255,260,17.933333333333334
260,265,24.95
265,270,25.1
270,275,14.533333333333331
275,280,8.65
280,285,9.566666666666666
285,290,10.65
290,295,14.3
295,300,24.46666666666667
300,305,64.75
305,310,100.30000000000001
310,315,105.15
315,320,62.4
320,325,28.85
325,330,38.86666666666667
330,335,63.3
335,340,84.55000000000001
340,345,56.70000000000001
345,350,25.700000000000003
350,355,22.433333333333334
355,360,29.55
360,365,33.95
365,370,32.766666666666666
370,375,22.35
375,380,13.1
380,385,13.649999999999999
385,390,18.0
390,395,27.566666666666666
395,400,35.95
400,405,28.0
405,410,11.600000000000001
410,415,11.25
415,420,11.9
420,425,12.45
425,430,11.45
430,435,10.15
435,440,9.9
440,445,10.0
445,450,10.0
450,455,10.0
455,460,10.0
460,465,10.0
465,470,10.0
470,475,10.0
475,480,10.0
480,485,10.0
485,490,10.0
490,495,10.0
495,500,9.5
500,505,10.75
505,510,16.1
510,515,22.566666666666666
515,520,30.3
520,525,32.43333333333333
525,530,25.65
530,535,17.55
535,540,11.166666666666666
540,545,9.05
545,550,11.066666666666668
550,555,13.4
555,560,13.766666666666666
560,565,17.95
565,570,25.5
570,575,26.3
575,580,14.0
580,585,8.866666666666667
585,590,15.2
590,595,28.099999999999998
595,600,37.5
600,605,40.95
605,610,33.166666666666664
610,615,23.5
615,620,15.533333333333333
620,625,9.1
625,630,10.0
630,635,7.0
