timestamp_sec,intensity
0.000,0.000
0.631,7.400
1.263,30.200
3.157,36.900
5.052,43.600
6.946,34.900
9.472,33.400
11.998,32.000
13.260,30.300
15.786,29.800
18.312,29.400
19.575,33.800
22.101,31.400
24.627,28.900
25.889,21.400
28.415,17.500
30.941,13.500
32.204,13.200
34.730,11.700
37.256,10.300
38.518,10.300
41.044,10.000
43.570,9.700
44.833,9.800
47.359,10.000
49.885,10.200
51.147,9.100
53.673,11.100
56.199,13.100
57.462,17.600
59.988,20.000
62.514,22.400
63.776,23.900
66.302,23.200
68.828,22.500
70.091,17.900
72.617,16.600
75.142,15.300
76.405,15.200
78.931,16.600
81.457,18.000
82.720,22.100
85.246,23.400
87.771,24.700
89.034,24.900
91.560,23.100
94.086,21.200
95.349,16.700
97.875,14.100
100.400,11.500
101.663,10.800
104.189,10.000
106.715,9.200
107.978,10.000
110.504,10.000
113.029,10.000
114.292,10.000
116.818,10.000
119.344,10.000
120.607,10.000
123.133,10.000
125.658,10.000
126.921,10.000
129.447,10.000
131.973,10.000
133.236,10.000
135.762,10.000
138.287,10.000
139.550,10.000
142.076,10.000
144.602,10.000
145.865,10.000
148.391,10.000
150.916,10.000
152.179,10.000
154.705,10.000
157.231,10.000
158.494,9.700
161.020,10.000
163.545,10.300
164.808,11.300
167.334,11.300
169.860,11.300
171.123,10.300
173.649,10.000
176.174,9.700
177.437,10.000
179.963,10.000
182.489,10.000
183.752,10.000
186.278,10.000
188.803,10.000
190.066,10.000
192.592,10.000
195.118,10.000
196.381,10.000
198.907,10.000
201.432,10.000
202.695,10.000
205.221,10.000
207.747,10.000
209.010,10.000
211.536,10.000
214.061,10.000
215.324,10.000
217.850,10.000
220.376,10.000
221.639,10.000
224.165,10.000
226.690,10.000
227.953,10.000
230.479,10.000
233.005,10.000
234.268,10.000
236.794,10.000
239.319,10.000
240.582,10.000
243.108,10.000
245.634,10.000
246.897,9.100
249.423,10.000
251.948,10.900
253.211,11.600
255.737,14.400
258.263,17.200
259.526,22.200
262.052,24.000
264.577,25.900
265.840,26.500
268.366,23.700
270.892,20.900
272.155,12.700
274.681,10.000
277.206,7.300
278.469,10.000
280.995,10.000
283.521,10.000
284.784,8.700
287.310,10.000
289.835,11.300
291.098,11.900
293.624,16.700
296.150,21.400
297.413,18.300
299.939,33.700
302.464,49.100
303.727,80.400
306.253,93.700
308.779,106.900
310.042,110.300
312.568,100.000
315.093,89.700
316.356,55.500
318.882,42.000
321.408,28.500
322.671,29.200
325.197,32.500
327.722,35.800
328.985,48.300
331.511,58.300
334.037,68.300
335.300,86.400
337.826,82.700
340.351,78.900
341.614,51.700
344.140,39.500
346.666,27.300
347.929,24.100
350.455,21.800
352.980,19.600
354.243,25.900
356.769,28.300
359.295,30.800
360.558,33.800
363.083,34.100
365.609,34.500
366.872,33.800
369.398,30.000
371.924,26.200
373.187,18.500
375.712,15.200
378.238,11.800
379.501,12.300
382.027,13.200
384.553,14.100
385.816,16.200
388.341,19.800
390.867,23.400
392.130,28.200
394.656,31.100
397.182,34.000
398.445,37.900
400.970,34.400
403.496,31.000
404.759,18.600
407.285,13.900
409.811,9.300
411.074,11.400
413.599,11.100
416.125,10.800
417.388,12.400
419.914,12.500
422.440,12.700
423.703,12.200
426.228,11.700
428.754,11.200
430.017,10.300
432.543,10.000
435.069,9.700
436.332,10.000
438.857,10.000
441.383,10.000
442.646,10.000
445.172,10.000
447.698,10.000
448.961,10.000
451.486,10.000
454.012,10.000
455.275,10.000
457.801,10.000
460.327,10.000
461.590,10.000
464.115,10.000
466.641,10.000
467.904,10.000
470.430,10.000
472.956,10.000
474.219,10.000
476.744,10.000
479.270,10.000
480.533,10.000
483.059,10.000
485.585,10.000
486.848,10.000
489.373,10.000
491.899,10.000
493.162,10.000
495.688,10.000
498.214,10.000
499.477,8.500
502.002,10.000
504.528,11.500
505.791,14.600
508.317,17.600
510.843,20.600
512.106,22.000
514.631,25.100
517.157,28.100
518.420,32.500
520.946,33.000
523.472,33.500
524.735,30.800
527.260,27.400
529.786,23.900
531.049,19.300
533.575,15.800
536.101,12.300
537.364,11.200
539.889,10.000
542.415,8.800
543.678,9.300
546.204,10.000
548.730,10.700
549.993,12.500
552.518,13.400
555.044,14.300
556.307,12.600
558.833,14.400
561.359,16.200
562.622,19.700
565.147,22.300
567.673,24.900
568.936,29.300
571.462,27.300
573.988,25.300
575.251,15.700
577.776,12.300
580.302,8.800
581.565,7.800
584.091,10.000
586.617,12.200
587.880,18.200
590.405,23.400
592.931,28.500
594.194,32.400
596.720,35.800
599.246,39.200
600.509,41.700
603.034,40.200
605.560,38.700
606.823,32.500
609.349,28.300
611.875,24.100
613.138,22.900
615.663,19.200
618.189,15.600
619.452,11.800
621.978,10.000
624.504,8.200
626.398,10.000
628.292,10.000
630.187,10.000
630.818,12.000
631.450,10.000
632.081,8.000
631.450,2.000
631.450,0.000
