start_time,end_time,text
0.12,1.67,Do you interact with people a lot?
1.67,2.503,Every day.
2.503,3.9699999999999998,Do you have crying people at work?
3.9699999999999998,5.29,Sometimes people cry.
5.29,6.77,"That could be hair salon receptionist, though,"
6.77,9.248,because I've cried at the hair salon before too.
13.06,14.06,Hello.
15.333,16.384,Hello!
16.384,18.0,What's your name? Lauren.
18.0,19.73,Dae. I'm Curtis.
19.73,21.053,What do you do for a living?
21.053,22.6,I bartend right now. I am a YouTuber.
22.6,23.58,I'm a YouTuber.
23.58,26.12,That means I make YouTube videos and get paid for it.
26.953,27.96,So today you're gonna play
27.96,30.646,match job to person. Great.
30.646,32.41,I feel like I'm gonna be really bad at this.
32.41,33.861,Will you just kinda go through those
33.861,34.83,and read those jobs out loud?
34.83,37.51,"Scientist, hair salon receptionist,"
37.51,39.43,teacher. A dean of students.
39.43,41.72,"It's gonna be a woman with a stick up her ass,"
41.72,43.18,"like, just very bitchy."
43.18,45.318,Stimulated patient.
45.318,47.57,"Oh, simulated patient."
47.57,48.69,That's very different.
48.69,51.978,I feel terrible guessing an exterminator.
51.978,52.811,Why?
52.811,53.644,"Because then you'd be like oh,"
53.644,56.011,you look like an exterminator?
56.011,59.333,"Oh, teacher vibes, right off the bat, right off the bat!"
62.1,64.769,This guy comes into my bar all the time.
64.769,65.602,I know you.
65.602,67.16,I have no idea what you do.
67.16,68.6,Hello. Hi.
68.6,69.433,What's your name?
69.433,71.193,"Abby. Abby, nice to meet you."
75.098,75.931,What was that?
75.931,76.764,What'd you just do?
76.764,78.1,"I just looked, because I was about to say"
78.1,79.87,"she's, like, something sad, but there are"
79.87,82.049,a lot of sad looking people in this.
82.95,84.9,Do you like children? I like my kids.
84.9,85.93,I don't like all children.
85.93,87.0,Sounds like a teacher.
87.0,88.06,"Do you have a lot of free time,"
88.06,89.33,like you like do fun things?
89.33,91.373,"Yeah, I really like to read."
91.373,92.744,Ew!
92.744,95.72,That is a teacher.
95.72,97.13,Hi. Corky.
97.13,97.963,Corky? Yeah.
97.963,99.35,"Oh, great name. Thanks."
99.35,101.11,"I mean, you seem, like, super warm,"
101.11,103.19,"friendly, do you have family or kids?"
103.19,104.11,Not that I know.
104.11,105.36,"Not that you know of, okay!"
105.36,107.401,Are you high? What?
107.401,109.503,Why would you say that?
109.503,110.636,"Well, you look like the teacher"
110.636,112.12,that would like confiscate your students' weed
112.12,113.941,but like smoke it after school.
114.774,117.603,I don't know if it's a longshoreman or a longshoreman.
117.603,118.436,Do you know what they do?
118.436,121.274,"Uh, they deal with boats, containers."
121.274,122.48,"You know, the container ships that come in?"
122.48,124.52,"Yeah, that looks like you, for sure."
124.52,125.79,I'm confident on that.
125.79,127.16,I'm gonna go exterminator.
127.16,129.21,You seem like you could kill a good bug
129.21,131.17,forcefully without any fear.
131.17,132.003,Thank you.
132.003,132.836,You're welcome.
132.836,134.186,You're the best. Go tug those boats.
134.186,135.63,Hello. Hello.
135.63,136.88,I'm Dae. I'm Nora.
136.88,138.54,"Oh my gosh, you give me like teacher vibes."
138.54,139.804,I kinda feel like I'm in trouble.
139.804,141.8,Feel like I didn't do my homework or something.
141.8,143.35,Do you like kids?
143.35,144.7,I have a kid.
144.7,145.841,"Okay, do you like-- I like him."
145.841,147.69,"You like him. Are you pretty strict with him,"
147.69,149.36,on like what he can and can't do?
149.36,151.412,"A little bit. He's a rule follower, so it's helpful."
151.412,152.68,Because you enforce rules.
152.68,154.11,We manage expectations.
154.11,156.28,That's a dean.
156.28,158.3,That's a dean for sure.
158.3,159.93,You seem like you're hiding something.
159.93,161.47,"You're putting up a wall right now, you know?"
161.47,163.576,I know where the bodies are buried.
165.4,167.574,"Well, funeral director it is."
168.407,169.25,Hello. Hello.
169.25,170.84,"How are you? Good, how are you doing?"
170.84,172.0,I'm good. Nice handshake.
172.0,173.6,What were you like growing up?
173.6,174.55,Troublemaker.
174.55,176.75,Not the like school type?
176.75,177.82,I was smart.
177.82,180.056,"I just didn't-- Didn't apply yourself, okay."
180.93,183.119,I'm gonna say teacher.
183.119,183.952,Why do you think I'm a teacher?
183.952,186.51,"Okay, because I feel like I'm being tricked in this video."
186.51,188.57,How many teachers do you know that have tattoos?
188.57,190.35,That's exactly why I'm guessing.
190.35,191.183,I'm gonna say teacher.
