start_time,end_time,text
0.12,1.6699999999999997,Do you interact with people a lot?
1.67,2.503,Every day.
2.503,3.97,Do you have crying people at work?
3.97,5.29,Sometimes people cry.
5.29,9.247999999999998,"That could be hair salon receptionist, though, because I've cried at the hair salon before too."
13.06,14.06,Hello.
15.333,16.384,Hello!
16.384,17.5152,What's your name?
17.5152,18.0,Lauren.
18.0,18.4325,Dae.
18.4325,19.730000000000004,I'm Curtis.
19.73,21.053,What do you do for a living?
21.053,21.937,I bartend right now.
21.937,22.6,I am a YouTuber.
22.6,23.580000000000002,I'm a YouTuber.
23.58,26.120000000000008,That means I make YouTube videos and get paid for it.
26.953,30.006476190476192,So today you're gonna play match job to person.
30.006476190476192,30.646,Great.
30.646,32.41,I feel like I'm gonna be really bad at this.
32.41,34.83,Will you just kinda go through those and read those jobs out loud?
34.83,38.12090909090909,"Scientist, hair salon receptionist, teacher."
38.12090909090909,39.42999999999999,A dean of students.
39.43,43.18,"It's gonna be a woman with a stick up her ass, like, just very bitchy."
43.18,45.318,Stimulated patient.
45.318,47.57,"Oh, simulated patient."
47.57,48.68999999999999,That's very different.
48.69,51.977999999999994,I feel terrible guessing an exterminator.
51.978,52.811,Why?
52.811,56.011,"Because then you'd be like oh, you look like an exterminator?"
56.011,59.33299999999998,"Oh, teacher vibes, right off the bat, right off the bat!"
62.1,64.76900000000002,This guy comes into my bar all the time.
64.769,65.602,I know you.
65.602,67.16,I have no idea what you do.
67.16,68.18857142857142,Hello.
68.18857142857142,68.6,Hi.
68.6,69.43299999999999,What's your name?
69.433,69.7682380952381,Abby.
69.7682380952381,71.19300000000001,"Abby, nice to meet you."
75.098,75.93100000000001,What was that?
75.931,76.76400000000001,What'd you just do?
76.764,82.049,"I just looked, because I was about to say she's, like, something sad, but there are a lot of sad looking people in this."
82.95,84.13392857142858,Do you like children?
84.13392857142858,84.9,I like my kids.
84.9,85.92999999999999,I don't like all children.
85.93,87.0,Sounds like a teacher.
87.0,89.33,"Do you have a lot of free time, like you like do fun things?"
89.33,91.37300000000002,"Yeah, I really like to read."
91.373,92.744,Ew!
92.744,95.72,That is a teacher.
95.72,97.13,Hi. Corky.
97.13,97.59277777777777,Corky?
97.59277777777777,97.963,Yeah.
97.963,98.86047058823529,"Oh, great name."
98.86047058823529,99.35,Thanks.
99.35,103.19000000000001,"I mean, you seem, like, super warm, friendly, do you have family or kids?"
103.19,104.11000000000001,Not that I know.
104.11,105.36,"Not that you know of, okay!"
105.36,106.81785714285714,Are you high?
106.81785714285714,107.401,What?
107.401,109.50300000000001,Why would you say that?
109.503,113.94099999999999,"Well, you look like the teacher that would like confiscate your students' weed but like smoke it after school."
114.774,117.60299999999997,I don't know if it's a longshoreman or a longshoreman.
117.603,118.43600000000002,Do you know what they do?
118.436,121.27400000000003,"Uh, they deal with boats, containers."
121.274,122.48,"You know, the container ships that come in?"
122.48,124.52000000000001,"Yeah, that looks like you, for sure."
124.52,125.79000000000002,I'm confident on that.
125.79,127.16,I'm gonna go exterminator.
127.16,131.17,You seem like you could kill a good bug forcefully without any fear.
131.17,132.003,Thank you.
132.003,132.836,You're welcome.
132.836,133.46278571428573,You're the best.
133.46278571428573,134.18599999999998,Go tug those boats.
134.186,134.90800000000002,Hello.
134.90800000000002,135.63,Hello.
135.63,136.20692307692306,I'm Dae.
136.20692307692306,136.87999999999997,I'm Nora.
136.88,138.53999999999994,"Oh my gosh, you give me like teacher vibes."
138.54,139.80400000000003,I kinda feel like I'm in trouble.
139.804,141.8,Feel like I didn't do my homework or something.
141.8,143.35,Do you like kids?
143.35,144.7,I have a kid.
144.7,145.84099999999998,"Okay, do you like-- I like him."
145.841,146.36928571428572,You like him.
146.36928571428572,149.36,"Are you pretty strict with him, on like what he can and can't do?"
149.36,149.873,A little bit.
149.873,151.41199999999998,"He's a rule follower, so it's helpful."
151.412,152.67999999999998,Because you enforce rules.
152.68,154.11,We manage expectations.
154.11,156.28,That's a dean.
156.28,158.3,That's a dean for sure.
158.3,159.93000000000004,You seem like you're hiding something.
159.93,161.47,"You're putting up a wall right now, you know?"
161.47,163.576,I know where the bodies are buried.
165.4,167.57399999999998,"Well, funeral director it is."
168.407,168.82850000000002,Hello.
168.82850000000002,169.25,Hello.
169.25,169.78000000000003,How are you?
169.78000000000003,170.84000000000006,"Good, how are you doing?"
170.84,171.246,I'm good.
171.246,172.0,Nice handshake.
172.0,173.59999999999994,What were you like growing up?
173.6,174.55,Troublemaker.
174.55,176.74999999999997,Not the like school type?
176.75,177.81999999999996,I was smart.
177.82,180.056,"I just didn't-- Didn't apply yourself, okay."
180.93,183.119,I'm gonna say teacher.
183.119,183.95199999999997,Why do you think I'm a teacher?
