start_time,stop_time,avg_intensity
0,20,28.474999999999998
20,40,17.577777777777776
40,60,12.059999999999999
60,80,19.288888888888888
80,100,20.91111111111111
100,120,10.15
120,140,10.0
140,160,9.966666666666667
160,180,10.42
180,200,10.0
200,220,10.0
220,240,10.0
240,260,12.540000000000001
260,280,17.88888888888889
280,300,15.2
300,320,80.84444444444445
320,340,52.22222222222222
340,360,34.790000000000006
360,380,25.02
380,400,24.211111111111112
400,420,16.54
420,440,10.866666666666667
440,460,10.0
460,480,10.0
480,500,9.85
500,520,20.22222222222222
520,540,21.72
540,560,11.777777777777779
560,580,21.444444444444443
580,600,21.630000000000003
600,620,27.5
620,640,8.02
