start_time,end_time,words
0,20,"Do you interact with people a lot ? Every day . Do you have crying people at work ? Sometimes people cry . That could be hair salon receptionist , though , because I 've cried at the hair salon before too . Hello . Hello ! What 's your name ? Lauren . Dae . I 'm Curtis . What"
20,40,"do you do for a living ? I bartend right now . I am a YouTuber . I 'm a YouTuber . That means I make YouTube videos and get paid for it . So today you 're gon na play match job to person . Great . I feel like I 'm gon na be really bad at this . Will you just kinda go through those and read those jobs out loud ? Scientist , hair salon receptionist , teacher . A dean of students . It 's gon"
40,60,"na be a woman with a stick up her ass , like , just very bitchy . Stimulated patient . Oh , simulated patient . That 's very different . I feel terrible guessing an exterminator . Why ? Because then you 'd be like oh , you look like an exterminator ? Oh , teacher vibes , right off the bat , right off the bat !"
60,80,"This guy comes into my bar all the time . I know you . I have no idea what you do . Hello . Hi . What 's your name ? Abby . Abby , nice to meet you . What was that ? What 'd you just do ? I just looked , because I was about to say she 's , like , something sad , but there are a"
80,100,"lot of sad looking people in this . Do you like children ? I like my kids . I do n't like all children . Sounds like a teacher . Do you have a lot of free time , like you like do fun things ? Yeah , I really like to read . Ew ! That is a teacher . Hi . Corky . Corky ? Yeah . Oh , great name . Thanks . I mean , you"
100,120,"seem , like , super warm , friendly , do you have family or kids ? Not that I know . Not that you know of , okay ! Are you high ? What ? Why would you say that ? Well , you look like the teacher that would like confiscate your students ' weed but like smoke it after school . I do n't know if it 's a longshoreman or a longshoreman . Do you know what they do ? Uh , they deal with"
120,140,"boats , containers . You know , the container ships that come in ? Yeah , that looks like you , for sure . I 'm confident on that . I 'm gon na go exterminator . You seem like you could kill a good bug forcefully without any fear . Thank you . You 're welcome . You 're the best . Go tug those boats . Hello . Hello . I 'm Dae . I 'm Nora . Oh my gosh , you give me like teacher vibes . I kinda feel like I 'm in trouble ."
140,160,"Feel like I did n't do my homework or something . Do you like kids ? I have a kid . Okay , do you like-- I like him . You like him . Are you pretty strict with him , on like what he can and ca n't do ? A little bit . He 's a rule follower , so it 's helpful . Because you enforce rules . We manage expectations . That 's a dean . That 's a dean for sure . You seem like you 're hiding something ."
160,180,"You 're putting up a wall right now , you know ? I know where the bodies are buried . Well , funeral director it is . Hello . Hello . How are you ? Good , how are you doing ? I 'm good . Nice handshake . What were you like growing up ? Troublemaker . Not the like school type ? I was smart . I just didn't-- Did n't apply yourself ,"
180,200,"okay . I 'm gon na say teacher . Why do you think I 'm a teacher ? Okay , because I feel like I 'm being tricked in this video . How many teachers do you know that have tattoos ? That 's exactly why I 'm guessing . I 'm gon na say teacher . Do you work a 9 - 5 ? Most days . How much vacation do you get ? A lot . Vacation is why I have the job . Okay , we 're going teacher , we 're going teacher . Thank you ."
