start_time,stop_time,avg_intensity
0,20,40.94285714285714
20,40,12.540000000000001
40,60,17.380000000000003
60,80,10.0
80,100,13.36
100,120,25.56
120,140,11.4
140,160,18.740000000000002
160,180,50.46
180,200,10.6
200,220,21.7
220,240,12.24
240,260,11.559999999999999
260,280,20.96
280,300,15.0
300,320,10.0
320,340,10.0
340,360,10.12
360,380,10.48
380,400,22.84
400,420,50.62
420,440,19.240000000000002
440,460,14.440000000000001
460,480,12.940000000000001
480,500,10.18
500,520,11.28
520,540,9.940000000000001
540,560,9.959999999999999
560,580,14.36
580,600,25.54
600,620,9.9
620,640,11.959999999999999
640,660,10.275
660,680,14.416666666666666
680,700,11.940000000000001
700,720,10.0
720,740,10.0
740,760,11.76
760,780,26.9
780,800,16.166666666666668
800,820,20.56
820,840,68.025
840,860,78.01666666666667
860,880,9.6
880,900,9.375
900,920,21.633333333333336
920,940,26.7
940,960,42.55
960,980,14.533333333333333
980,1000,11.559999999999999
1000,1020,9.85
1020,1040,14.25
1040,1060,11.52
1060,1080,18.775
1080,1100,12.580000000000002
1100,1120,10.15
1120,1140,10.05
1140,1160,19.240000000000002
1160,1180,18.55
1180,1200,9.7
1200,1220,6.4
