start_time,end_time,words
0,20,The hottest level they have on the menu Oh my God Oh Yeah . Yes . Pain really does release those endorphins Euphoria !
20,40,"Try Guys and Food Babies are here at Tsujita Killer Noodle . On Sawtelle in Los Angeles . To try the killer noodle challenge . These are some of the spiciest noodles in LA . Nay the country . We 're gon na start out with level zero , quite not killer . And move our way all the way up to six , very killer . So killer in fact it has"
40,60,"ghost in it . So like every spice video on this channel , I ca n't wait for you to see YB and me eat all of it . While the rest of them cry and fail . Like cowards . Hi my name is Peter . And we 're here at Killer Noodle Tsujita . Are you guys excited to try a killer noodle challenge today ? Yeah . So"
60,80,excited . Hell yeah . The killer noodle was originally founded by Mr. Tsujita back in 2011 and from that success he wanted to bring some more concepts into the LA areas . So the killer noodle challenge is really just eating a level six . So today we 're gon na work our way up to six . We 're gon na be in two teams of three . And at any point we have to drop out . That team loses that member . A lot of our customers come in
80,100,"and go "" Is it really spicy ? "" Because a lot of cases when they say it 's spicy , it 's really not . But here we 're spicy and we mean it . So we each have waters here . Water is the only thing you 'd really supposed to be drinking . Unless you 're gon na tap out . So for all of our different styles of soup there 's actually two ways you can get it . With soup and without soup . Today we 're gon na be eating the without soups . Just to give you a heads up , It is"
100,120,gon na be a lot more spicy than with the soup . So Alexandria is going up against Keith . Zack is going up against Ned . And I 'm going up against YB . So whatever happens try to beat your partner . Level zero . So this is mild . So we have the Tokyo style no soup level zero . Just to give you guys a visualization of our
120,140,"numbing pepper . This is gon na be our sansho pepper right here . It 's gon na be before you ground it up and this is what it 's gon na look like when it goes into the soup . Wow . You got this peanuts , you got some scallions , you got some minced onion it looks like or maybe it 's minced garlic . Alright , number one restaurant item is actually the Tokyo style . It 's more of a creamy nutty taste because of that peanut butter flavor ."
140,160,"Cheers . Little cheers . Cheers , cheers . Oh yeah . Oh my goodness . That peanut butter is really good . Oh it 's incredible I love the peanut butter taste . And it 's thick noodles . I 've never had any noodle that has such a like peanutty sweetness to it . Yeah . And the noodles"
160,180,"itself are just perfect ratio . Perfectly cooked . You guys it reminds me of a Jajangmyeon . That Korean dish . YB you 're gon na flip over this . Did you say Jojo meow ? Yes , Jojo meow . Jojo meow . Thick and creamy . And the peanut butter really shines through . Really reminds me a lot of Jojo meow . So Jajangmyeon is a Korean - Chinese dish that"
180,200,has like a Black bean Black bean paste . And that black bean is to this pork mixed with the peanut butter . Gives it a similar like umami umptious flavor . Thick Pad Thai mix with ramen . Yeah . I like this but I am seeing why you need that spice . It 's missing the chili oil . This reminds me that there 's just a world of cuisines between Asian cuisines . There 's
200,220,Korean - Chinese food . and this is like kind of somewhere between Japanese and Chinese . When cultures meet they make beautiful food babies . Level one . Beautiful . Different color . It 's getting orangey . I already taste the spice just on the No
220,240,"way . On the chopstick . Yeah . So good . That 's delicious . Oh incredible . Okay . It brings it up . I see you chili oil . And on our spiciness side we do use cayenne pepper and some of our own homemade chili oil . That 's gon na be only up to level three . We actually have up until level six . Now , how do we get that high . It 's gon na be ghost pepper . Oh no ."
240,260,"Eugene , I know that your spice tolerance is impenetrable . Well , ghost peppers are tough for anybody . It 's more just me being Stubborn . Stubborn , yeah . I do think it need more spice . I agree . Even as a little spice baby myself . I know that the flavor will only get better with more chili oil . I have been eating a lot of spicy Chinese noodles in the last couple"
260,280,"years . So I think I can at least get in to the ghost pepper round . Level four . Four . The thing is I love the spice flavor but I got this weak Jewish belly . My people did not eat spice for many , many years . That 's why we 're bringing the Food Babies , YB and Alexandria to come join us . Mainly YB . I believe in you Alexandria . Alex can not handle spice . I"
280,300,"do n't do well . I think hot Cheetos are really hot . Oh geez . But I enjoy 'em I like spice but I ca n't handle it . What is she doing here ? Lady Keith , you 're lady Keith I jut wanted me included I just wanted me included . This is n't about friendship . The flavor and the spice I good but there 's no heat . Lots of flavor . The tiniest bit of heat . Zero heat . I can feel it in my throat . I usually eat a lot of spicy Korean food in general . But I"
300,320,do n't think I 'm technically good at spice . I think I 'm just better at hiding it . So hopefully I can make it ' til six . I maybe bad at Mukbangs but I really like spicy food . Even when it hurts me . You may remember me dousing wasabi in the sushi video . Level one is perfect . Everyone can be able to handle it . There 's zero spice for me in this . This is my
320,340,"ideal spice level . I ca n't handle anymore . This is your ideal spice level ? We 'll see how the rest goes ? You 're nuts . You are , you are . Ideal is like if I do n't have to take a sip of water between every bite then the next one might get me there . Level two . This one looks spicier . Some dusting . I see the dust now . I think I 'm gon na start feeling it here . I 'm trying into"
340,360,level four . Yeah . I 'm just being honest . I think you can do it . Well I know I 'm supposed to beat Keith . But I really wanna beat YB . Good luck . You are delusional . That 's my one goal . I appreciate you shooting for the moon but you 're gon na land in like Toledo . Here we go . Cheers . Cheers . Alright .
360,380,"I feel the heat on this one . Yeah . It 's still really good . You can like taste it before it even reaches your tongue . The flavor is starting to equal out between peanut butter and chili oil . I agree . Oh yeah , the numb . Here 's comes the numb . We do have a numbness and the spiciness side . The numbness comes from our sansho peppers . Do n't get that confused with sichuan pepper . It does create a very numbing effect"
380,400,but the key difference is that when you drink water it 's gon na have a much more citrusy after taste . Rather than kind of metallic after taste . Yes . We get with some of this . That sounds nice . Yeah . You have like a tingling on your tongue . I kind of taste the peppercorness through my nose . It 's more of how it breathes than how I taste it itself . I do taste the citrus a little bit . Oh it is
400,420,citrusy . Yeah . I ' trying to compare it to something that people can relate to . Numbing Just tingles . It 's like an epidural for your mouth . Alexandria has never had an epidural . You do n't know that . I will say that the nose blowing has begun . Uh oh . Oh yes . I 'm feeling good . I 'm starting to feel like
420,440,like I 've got some energy . Kinda like I have fiver hour energy or a Red Bull . This is where I would want to eat my dinner . I 'm feeling a nice thin layer of perspiration . A lingering heat . Where I feel like if I breath I can light a candle . It 's honestly about at the same spice as the Keith 's chicken sauce . And now we are
440,460,"going to level three which is the most popular spice level that 's ordered at this restaurant . Hey guys , I 've got level three right here . This gon na be our house standard level . House standard . House standard . Meaning if you ca n't handle this you 're weak . Oh wow . It smells more intense . I 'm really smelling the floral notes of the peppercorn now . I feel like we 're like pre - gaming . And we 're taking more and more shots and we 're"
460,480,"getting drunker It does feel like we 're gon na go out to a party where we have noodles later . By the time we get to the party we 'll be pretty bust . We 'll be spicied out . Ah so good . That 's spicy . Alright , this is the last round before ghost peppers . Let 's enjoy . Let 's enjoy this final moment . Let 's try to enjoy it . Cheers . In the eye of"
480,500,the hurricane . It 's still delicious . A lot of times spice reaches a place where you no longer can taste or feel . This still has tremendous flavor . My nose is starting to run a little bit . Which is great . I 've been a little congested . I feel like I 'm in an Uber right now
500,520,"going to a party and you know when you are kinda like tipsy and you 're talking a lot . How long have you lived in LA ? What part of LA are you in ? Oh cool yeah , I do n't know where that is . Yeah this makes me excited to talk to strangers . Got ta tell you right now , It taste the most delicious . It taste really good . I 'm starting to feel a little bit of the a little bit of the "" Hey . "" I 'm starting to be "" Woo "" over"
520,540,"here . Starting to sweat a little bit . Starting to sweat , feeling good . I feel a bit of heat building in my body . Behind my skin but I do n't feel my mouth . Behind your skin ? Yeah , you know when you 're like ingesting really spicy food . The ghost behind him . So very warm . My body 's getting warm ."
540,560,"Yeah , we 're getting some water works over here . Can I get a water works checked ? That was n't as bad as I thought it was gon na be . Easy buckets . Maybe I 'll beat YB . But I think after this is when it really takes off . Right ? Yeah , we 're about to enter ghost pepper town . Yeah , we 're ready for the next one . Alright guys , we got level four right here . This is"
560,580,"gon na be where our spicy challenge starts to begin . It 's from here that we started adding our ghost peppers . So be very careful . Oh wow . It 's smells . Smell it . Can you smell it ? Oh yeah , I can smell it . Oh wow . It 's gon na be a linear progression from zero to three . But from four , five and six it 's gon na be an exponential growth . So be ready . So it does it like this and then like that . Yeah , It"
580,600,just goes straight up . They say this is a religious experience . I can feel it in my temples . Okay should we do this ? Did you guys get it ? Oh I get it . I just got it . Did you get it Ned ? Oh yeah I got it earlier But you did n't laugh . But I did n't like it . Thank you . Cheers . Cheers . I might only get one bite here so I 'm just gon na go for it .
600,620,"Whoa . Oh yeah . Oh yeah . There she is . Okay , I taste it . Oh wow . Oh . This got shivers . You described your food as"
620,640,"painful , spicy and delicious . Why painful ? Well that pain really does release those endorphins . And that creates that euphoric effect , Right ? Okay , so we might experience euphoria today . You are . Zendaya , that 's where we 're gon na be at . Is is Zendaya ? I thought it 's Zandaya ? Zendaya ? I thought it was Zendaya ? Zendaya ? Zendaya ,"
640,660,"right ? It 's Zendaya , right ? From the big foot movie ? I see like I see like the end of Zendaya 's dress . Like I see her turning a corner . This is when it 's hard to breath out . It 's not like just "" Oh that 's hot . "" . It 's like "" Oh it hurts . "" . But I do want more . It 's really good . Oh my god this is sending me places . Wow this is a trip . And it lingers"
660,680,"a lot . It 's not going away . It 's like in my gums . Oh the water taste crazy . My tongue is like vibrating from the water . I 'm sweaty . You 're sweaty . I 'm sweating but it feels good like I 'm kinda turned on . Well of course , I think it 's fair to say we 're all kind of turned on . It 's like an Asian proverb . I do n't think it 's fair to say that ."
680,700,"You guys know the old Asian proverb that says like "" The most fun you can have outside the bedroom is the spice challenge . "" . That 's probably where I would stop . Yeah , this would be optimum spice level if I 'm like looking to have a good time . I feel like a pop star . You look crazy right now . What 's happening ? I feel like a pop star who 's taking her solo . I wanna feel like what You 're starting to cry . I"
700,720,"wanna feel what five feels like but I do n't think I can go past five . Even now my mouth is hot . I feel like very euphoric . I feel like Hey , let 's go to a party . Which party should we go to ? I do n't know . Let 's talk about it . Let 's think about . Let 's talk about it . What 's really cute for me right now is I have simultaneous tears . And they 're like at the same place in each eye . They 're like "" Yes . "" . Let 's"
720,740,"move up . Really ? Let 's go . Ready ? Let 's go for it . Level five . Level five . So I got level five right here for you guys . As you can see , It 's gon na be a lot more of a dense red color . All that peppering is the sansho . It 's the sansho and the ghost pepper . Wow . Fantastic . I got ta say I 'm starting to"
740,760,get a little nervous about this one . If that one 's a four and this one 's a five . And they said it gets exponentially crazier . Oh that 's true . This one you can actually smell the spice wafting off of this dish . Which is incredible . Cheers . Cheers . Clingky - clingk . Cheers . Here we go .
760,780,Oh my god . Oh my god . Oh yeah .
780,800,There 's a deep under current in this one . We got a round house kick . A tongue slap and then You 're getting a little moist on the face . Yeah . I 'm feeling it . It 's good . It 's tasty . Oh that 's real good spice . Oh my god . Freaking good . The
800,820,taste is still very good . Yeah it 's a different experience now . It 's painful now . Swirling around . You know those spinners that you put the salad in and you press the button . Feels like someone is doing that to my brain . Salad spinner . Salad spinner ? That 's what they call it ? How 'bout that ? What a straight forward name . I
820,840,"'m ascending . I 'm a ghost . Oh wow , oh wow . Are you okay ? His face is so close to me . That 's like the right type of painful , you know ?"
840,860,"No . You 're wet . There 's an old Asian proverb that says "" You 're food is n't good if you 're not sweating buckets . "" . There 's an old Jewish proverb that goes "" Oy . "" . That 's yeah , I 'm gon na have to tap out here . Proud of you Keith . I want a popsicle please ."
860,880,Cool down that brain fire . Yeah . It 's so good though wish I could eat more . It is really good . I want to keep going . I fear that it is personally irresponsible and reckless for me to even attempt another bite . I ca n't believe I made it this far . This is spectacular but this is all I can handle . Wow . The
880,900,"heats starting to travel to the outside of my mouth . Like on my face . Are you okay ? I think I got the noodles on my face . Oh no . I 'm very proud of you Alexandria . I 'm like truly wildly impress with how well you are doing Thank you , just got ta beat YB . Oh yeah . Are you guys gon na go to six ? You gon na go for it ? Oh yeah , let 's go . Let 's do this . Aw ."
900,920,"Alright guys , got the level six right here . As you can see it 's gon na be a much more black color . The hottest level they have on the menu . And we are going to try to finish our full bowl of level six , otherwise you tap out . And I brought some ghost peppers just in case you wanna do it . Wow . Wow . Yes . ' Bout to"
920,940,"off - road it . My scalp is sweating . You know when you work out and just your head is really wet . That 's where I am right now . Wow , look at that . That looks so scary . Alexandria , someone who has failed almost exclusively for the past six years . You can still get really far in life . I own a company , I make videos , I 'm arguably equally as popular as the other guys . You know ?"
940,960,You could fail all the way to the top . I do agree . This is the one thing I needed to do . And then I 'm quitting my job . Cheers . Cheers . Cheers . Keep going Do n't give up .
