start_time,stop_time,avg_intensity
0,5,30.733333333333334
5,10,79.80000000000001
10,15,23.8
15,20,11.0
20,25,-1.8
25,30,12.9
30,35,15.700000000000001
35,40,20.2
40,45,20.3
45,50,18.95
50,55,15.4
55,60,13.3
60,65,11.1
65,70,10.0
70,75,9.45
75,80,10.0
80,85,10.0
85,90,6.1
90,95,11.95
95,100,26.8
100,105,29.3
105,110,28.9
110,115,22.3
115,120,18.4
120,125,11.7
125,130,10.0
130,135,10.8
135,140,13.7
140,145,14.1
145,150,4.6
150,155,12.0
155,160,31.5
160,165,50.7
165,170,56.95
170,175,47.9
175,180,39.8
180,185,17.1
185,190,10.1
190,195,6.3999999999999995
195,200,13.0
200,205,16.3
205,210,27.2
210,215,26.6
215,220,19.2
220,225,10.0
225,230,10.75
230,235,14.5
235,240,15.2
240,245,14.1
245,250,13.2
250,255,10.25
255,260,10.0
260,265,11.8
265,270,19.5
270,275,22.3
275,280,25.6
280,285,23.7
285,290,17.0
290,295,10.0
295,300,7.3
300,305,10.0
305,310,10.0
310,315,10.0
315,320,10.0
320,325,10.0
325,330,10.0
330,335,10.0
335,340,10.0
340,345,10.0
345,350,10.1
350,355,10.2
355,360,10.2
360,365,9.8
365,370,10.0
370,375,10.7
375,380,11.2
380,385,11.2
385,390,-3.2
390,395,10.0
395,400,48.1
400,405,77.3
405,410,63.25
410,415,31.4
415,420,17.9
420,425,9.7
425,430,10.0
430,435,21.700000000000003
435,440,33.1
440,445,33.1
445,450,14.6
450,455,10.0
455,460,7.25
460,465,10.0
465,470,10.9
470,475,14.6
475,480,14.6
480,485,10.8
485,490,10.0
490,495,9.75
495,500,10.6
500,505,11.0
505,510,11.8
510,515,11.7
515,520,10.95
520,525,10.0
525,530,9.7
530,535,10.0
535,540,10.0
540,545,10.0
545,550,10.0
550,555,9.9
555,560,10.0
560,565,10.2
565,570,6.9
570,575,11.0
575,580,21.85
580,585,30.6
585,590,32.7
590,595,25.6
595,600,19.4
600,605,12.3
605,610,10.0
610,615,8.6
615,620,10.0
620,625,10.5
625,630,12.5
630,635,12.6
635,640,12.100000000000001
640,645,10.9
645,650,10.4
650,655,9.8
655,660,10.0
660,665,10.05
665,670,11.9
670,675,17.2
675,680,20.1
680,685,19.7
685,690,12.0
690,695,10.0
695,700,9.0
700,705,10.0
705,710,10.0
710,715,10.0
715,720,10.0
720,725,10.0
725,730,10.0
730,735,10.0
735,740,10.0
740,745,10.0
745,750,7.5
750,755,10.0
755,760,15.65
760,765,22.5
765,770,26.3
770,775,30.2
775,780,28.6
780,785,22.049999999999997
785,790,14.3
790,795,12.3
795,800,14.0
800,805,14.8
805,810,11.7
810,815,18.3
815,820,29.0
820,825,46.9
825,830,60.8
830,835,76.9
835,840,87.5
840,845,105.19999999999999
845,850,100.0
850,855,65.85
855,860,26.0
860,865,8.0
865,870,13.2
870,875,10.0
875,880,8.4
880,885,10.0
885,890,10.0
890,895,7.5
895,900,10.0
900,905,16.0
905,910,22.4
910,915,25.4
915,920,24.6
920,925,23.7
925,930,12.0
930,935,18.3
935,940,39.75
940,945,56.1
945,950,57.2
950,955,32.9
955,960,24.0
960,965,14.1
965,970,11.8
970,975,10.6
975,980,18.3
980,985,17.8
985,990,11.6
990,995,10.0
995,1000,9.2
1000,1005,10.0
1005,1010,10.0
1010,1015,9.4
1015,1020,10.0
1020,1025,11.149999999999999
1025,1030,13.2
1030,1035,14.7
1035,1040,17.65
1040,1045,16.7
1045,1050,10.8
1050,1055,10.0
1055,1060,10.05
1060,1065,13.4
1065,1070,15.9
1070,1075,23.2
1075,1080,22.6
1080,1085,17.4
1085,1090,10.3
1090,1095,7.7
1095,1100,10.1
1100,1105,9.95
1105,1110,9.8
1110,1115,10.0
1115,1120,10.6
1120,1125,11.0
1125,1130,11.0
1130,1135,8.2
1135,1140,10.0
1140,1145,14.55
1145,1150,20.1
1150,1155,22.8
1155,1160,24.2
1160,1165,23.45
1165,1170,20.4
1170,1175,17.6
1175,1180,13.2
1180,1185,10.0
1185,1190,8.5
1190,1195,10.0
1195,1200,10.0
1200,1205,6.4
