timestamp_sec,intensity
0.000,0.000
1.202,15.700
2.404,76.500
6.011,78.700
9.618,80.900
13.225,23.800
18.034,11.000
22.843,-1.800
25.247,12.900
30.056,14.800
34.865,16.600
37.269,20.200
42.078,20.300
46.887,20.400
49.292,17.500
54.101,15.400
58.910,13.300
61.314,11.100
66.123,10.000
70.932,8.900
73.337,10.000
78.146,10.000
82.954,10.000
85.359,6.100
90.168,10.000
94.977,13.900
97.381,26.800
102.190,29.300
106.999,31.700
109.404,26.100
114.213,22.300
119.022,18.400
121.426,11.700
126.235,10.000
131.044,8.300
133.449,13.300
138.257,13.700
143.066,14.100
145.471,4.600
150.280,12.000
155.089,19.400
157.493,43.600
162.302,50.700
167.111,57.900
169.516,56.000
174.325,47.900
179.134,39.800
181.538,17.100
186.347,10.100
191.156,3.100
193.560,9.700
198.369,13.000
203.178,16.300
205.583,27.200
210.392,26.600
215.201,26.000
217.605,12.400
222.414,10.000
227.223,7.600
229.628,13.900
234.437,14.500
239.246,15.200
241.650,14.100
246.459,13.200
251.268,12.300
253.672,8.200
258.481,10.000
263.290,11.800
265.695,19.500
270.504,22.300
275.313,25.000
277.717,26.200
282.526,23.700
287.335,21.300
289.740,12.700
294.548,10.000
299.357,7.300
301.762,10.000
306.571,10.000
311.380,10.000
313.784,10.000
318.593,10.000
323.402,10.000
325.807,10.000
330.616,10.000
335.425,10.000
337.829,10.000
342.638,10.000
347.447,10.000
349.851,10.200
354.660,10.200
359.469,10.200
361.874,9.800
366.683,10.000
371.492,10.200
373.896,11.200
378.705,11.200
383.514,11.200
385.919,-3.200
390.728,10.000
395.537,23.200
397.941,73.000
402.750,77.300
407.559,81.600
409.963,44.900
414.772,31.400
419.581,17.900
421.986,9.700
426.795,10.000
431.604,10.300
434.008,33.100
438.817,33.100
443.626,33.100
446.031,14.600
450.840,10.000
455.648,5.400
458.053,9.100
462.862,10.000
467.671,10.900
470.075,14.600
474.884,14.600
479.693,14.600
482.098,10.800
486.907,10.000
491.716,9.200
494.120,10.300
498.929,10.600
503.738,11.000
506.143,11.800
510.951,11.700
515.760,11.600
518.165,10.300
522.974,10.000
527.783,9.700
530.187,10.000
534.996,10.000
539.805,10.000
542.210,10.000
547.019,10.000
551.828,10.000
554.232,9.800
559.041,10.000
563.850,10.200
566.254,6.900
571.063,11.000
575.872,15.200
578.277,28.500
583.086,30.600
587.895,32.700
590.299,25.600
595.108,21.500
599.917,17.300
602.322,12.300
607.131,10.000
611.940,7.700
614.344,9.500
619.153,10.000
623.962,10.500
626.366,12.500
631.175,12.600
635.984,12.800
638.389,11.400
643.198,10.900
648.007,10.400
650.411,9.800
655.220,10.000
660.029,10.200
662.434,9.900
667.243,11.900
672.051,13.900
674.456,20.500
679.265,20.100
684.074,19.700
686.478,12.000
691.287,10.000
696.096,8.000
698.501,10.000
703.310,10.000
708.119,10.000
710.523,10.000
715.332,10.000
720.141,10.000
722.545,10.000
727.354,10.000
732.163,10.000
734.568,10.000
739.377,10.000
744.186,10.000
746.590,7.500
751.399,10.000
756.208,12.500
758.613,18.800
763.422,22.500
768.231,26.300
770.635,30.200
775.444,28.600
780.253,26.900
782.657,17.200
787.466,14.300
792.275,11.400
794.680,13.200
799.489,14.000
804.298,14.800
806.702,11.700
811.511,18.300
816.320,24.900
818.725,33.100
823.534,46.900
828.343,60.800
830.747,76.900
835.556,87.500
840.365,98.100
842.769,112.300
847.578,100.000
852.387,87.700
854.792,44.000
859.601,26.000
864.410,8.000
866.814,13.200
871.623,10.000
876.432,6.800
878.837,10.000
883.645,10.000
888.454,10.000
890.859,7.500
895.668,10.000
900.477,12.500
902.881,19.500
907.690,22.400
912.499,25.400
914.904,25.400
919.713,24.600
924.522,23.700
926.926,12.000
931.735,18.300
936.544,24.600
938.948,54.900
943.757,56.100
948.566,57.200
950.971,32.900
955.780,24.000
960.589,15.200
962.993,13.000
967.802,11.800
972.611,10.600
975.016,18.500
979.825,18.100
984.634,17.800
987.038,11.600
991.847,10.000
996.656,8.400
999.060,10.000
1003.869,10.000
1008.678,10.000
1011.083,9.400
1015.892,10.000
1020.701,10.600
1023.105,11.700
1027.914,13.200
1032.723,14.700
1035.128,18.000
1039.937,17.300
1044.745,16.700
1047.150,10.800
1051.959,10.000
1056.768,9.200
1059.172,10.900
1063.981,13.400
1068.790,15.900
1071.195,23.200
1076.004,22.600
1080.813,22.000
1083.217,12.800
1088.026,10.300
1092.835,7.700
1095.240,10.100
1100.048,10.000
1104.857,9.900
1107.262,9.800
1112.071,10.000
1116.880,10.200
1119.284,11.000
1124.093,11.000
1128.902,11.000
1131.307,8.200
1136.116,10.000
1140.925,11.800
1143.329,17.300
1148.138,20.100
1152.947,22.800
1155.351,24.200
1160.160,23.700
1164.969,23.200
1167.374,20.400
1172.183,17.600
1176.992,14.900
1179.396,11.500
1184.205,10.000
1189.014,8.500
1192.621,10.000
1196.228,10.000
1199.834,10.000
1201.037,12.000
1202.239,10.000
1203.441,8.000
1202.239,2.000
1202.239,0.000
