start_time,end_time,text
0.0,2.799,The hottest level they have on the menu
4.319,5.152,Oh my God
5.152,5.985,Oh Yeah.
6.818,7.651,Yes.
11.024,13.012,Pain really does release those endorphins
13.012,14.317,Euphoria!
21.345,22.68,Try Guys and Food Babies are here at
22.68,23.951999999999998,Tsujita Killer Noodle.
23.951999999999998,25.922,On Sawtelle in Los Angeles.
25.922,27.788,To try the killer noodle challenge.
27.788,31.113,These are some of the spiciest noodles in LA.
31.113,32.73,Nay the country.
32.73,33.563,We're gonna start out with
33.563,35.299,"level zero, quite not killer."
35.299,36.221,And move our way all the
36.221,38.107,"way up to six, very killer."
38.107,40.412,So killer in fact it has ghost in it.
40.412,42.441,"So like every spice video on this channel,"
42.441,45.003,I can't wait for you to see YB and me eat
45.003,45.945,all of it.
45.945,48.502,While the rest of them cry and fail.
48.502,50.123,Like cowards.
53.754,54.587,Hi my name is Peter.
54.587,56.25,And we're here at Killer Noodle Tsujita.
56.25,58.452,Are you guys excited to try a killer noodle challenge today?
58.452,59.719,Yeah.
59.719,60.552,So excited.
60.552,61.385,Hell yeah.
61.385,62.218,The killer noodle was originally
62.218,63.61,founded by Mr. Tsujita back in
63.61,66.127,2011 and from that success he wanted to
66.127,68.43,bring some more concepts into the LA areas.
68.43,70.181,So the killer noodle challenge is really just
70.181,71.277,eating a level six.
71.277,72.634,So today we're gonna work our
72.634,73.586,way up to six.
73.586,75.564,We're gonna be in two teams of three.
75.564,77.032,And at any point we have to drop out.
77.032,78.605,That team loses that member.
78.605,79.966,A lot of our customers come in
79.966,81.417,"and go ""Is it really spicy?"""
81.417,82.42,Because a lot of cases
82.42,83.298,"when they say it's spicy,"
83.298,84.336,it's really not.
84.336,86.529,But here we're spicy and we mean it.
86.529,87.849,So we each have waters here.
87.849,89.213,Water is the only thing you'd really
89.213,90.499,supposed to be drinking.
90.499,91.799,Unless you're gonna tap out.
91.799,93.096,So for all of our different styles of
93.096,95.328,soup there's actually two ways you can get it.
95.328,96.623,With soup and without soup.
96.623,97.808,Today we're gonna be eating the
97.808,99.62,"without soups. Just to give you a heads up,"
99.62,100.708,It is gonna be a lot more
100.708,102.223,spicy than with the soup.
104.699,106.058,So Alexandria is going up
106.058,106.891,against Keith.
106.891,108.062,Zack is going up against Ned.
108.062,109.732,And I'm going up against YB.
109.732,111.465,So whatever happens try to beat
111.465,112.475,your partner.
112.475,114.636,Level zero.
114.636,115.726,So this is mild.
115.726,118.148,So we have the Tokyo style no soup level zero.
118.148,119.442,Just to give you guys a visualization of
119.442,120.727,our numbing pepper.
120.727,122.187,This is gonna be our sansho pepper
122.187,123.024,right here.
123.024,125.032,It's gonna be before you ground it up
125.032,125.972,and this is what it's gonna look like
125.972,127.513,when it goes into the soup.
127.513,128.346,Wow.
128.346,130.387,"You got this peanuts, you got some scallions, you got some"
130.387,132.025,minced onion it looks like or
132.025,133.043,maybe it's minced garlic.
133.043,134.85,"Alright, number one restaurant item is"
134.85,136.005,actually the Tokyo style.
136.005,138.019,It's more of a creamy nutty taste
138.019,139.472,because of that peanut butter flavor.
139.472,140.357,Cheers.
140.357,141.19,Little cheers.
141.19,142.607,"Cheers, cheers."
147.929,148.812,Oh yeah.
148.812,149.645,Oh my goodness.
149.645,150.772,That peanut butter is really good.
150.772,151.649,Oh it's incredible
151.649,152.889,I love the peanut butter taste.
152.889,153.899,And it's thick noodles.
153.899,155.49,I've never had any noodle that
155.49,157.977,has such a like peanutty sweetness to it.
157.977,158.81,Yeah.
158.81,161.974,And the noodles itself are just perfect ratio.
161.974,162.949,Perfectly cooked.
162.949,164.805,You guys it reminds me of a Jajangmyeon.
164.805,165.727,That Korean dish.
165.727,166.978,YB you're gonna flip over this.
166.978,169.053,Did you say Jojo meow?
169.053,170.828,"Yes, Jojo meow."
170.828,171.878,Jojo meow.
171.878,172.711,Thick and creamy.
172.711,174.067,And the peanut butter really shines through.
174.067,177.15,Really reminds me a lot of Jojo meow.
177.995,179.83,So Jajangmyeon is a Korean-Chinese dish that
179.83,180.663,has like a
180.663,181.546,Black bean
181.546,182.379,Black bean paste.
182.379,184.045,And that black bean is to this pork mixed
184.045,184.878,with the peanut butter.
184.878,185.764,Gives it a similar like
185.764,187.804,umami umptious flavor.
187.804,189.944,Thick Pad Thai mix with ramen.
189.944,190.777,Yeah.
190.777,192.306,I like this but I am seeing
192.306,193.668,why you need that spice.
193.668,194.774,It's missing the chili oil.
194.774,196.163,This reminds me that there's just
196.163,198.293,a world of cuisines between
198.293,199.345,Asian cuisines.
199.345,201.523,There's Korean-Chinese food.
201.523,202.37,and this is like kind of somewhere
202.37,203.812,between Japanese and Chinese.
203.812,204.937,When cultures meet they make
204.937,206.632,beautiful food babies.
212.1,213.767,Level one.
214.99,215.823,Beautiful.
215.823,216.656,Different color.
216.656,217.982,It's getting orangey.
217.982,219.648,I already taste the spice just on the
219.648,220.481,No way.
220.481,222.781,On the chopstick. Yeah.
222.781,223.614,So good.
223.614,224.447,That's delicious.
224.447,225.28,Oh incredible.
225.28,226.113,Okay.
226.113,226.946,It brings it up.
226.946,228.219,I see you chili oil.
228.219,229.221,And on our spiciness side
229.221,230.77,we do use cayenne pepper and some of
230.77,232.802,our own homemade chili oil.
232.802,234.458,That's gonna be only up to level three.
234.458,236.17,We actually have up until level six.
236.17,237.397,"Now, how do we get that high."
237.397,238.717,It's gonna be ghost pepper.
238.717,239.55,Oh no.
240.771,241.717,"Eugene, I know that your spice"
241.717,243.41,tolerance is impenetrable.
243.41,245.902,"Well, ghost peppers are tough for anybody."
245.902,247.206,It's more just me being
247.206,248.198,Stubborn.
248.198,249.205,"Stubborn, yeah."
249.205,250.699,I do think it need more spice.
250.699,251.532,I agree.
251.532,253.011,Even as a little spice baby myself.
253.011,254.064,I know that the flavor
254.064,255.714,will only get better
255.714,256.684,with more chili oil.
256.684,257.782,I have been eating a lot
257.782,259.428,of spicy Chinese noodles in the last
259.428,260.261,couple years.
260.261,261.894,So I think I can at least get in
261.894,263.356,to the ghost pepper round.
263.356,264.189,Level four.
264.189,265.022,Four.
265.022,266.81,The thing is I love the spice flavor but
266.81,268.231,I got this weak Jewish belly.
268.231,269.557,My people did not eat spice for
269.557,270.763,"many, many years."
270.763,271.996,That's why we're bringing the
271.996,273.76,"Food Babies, YB and Alexandria to"
273.76,274.716,come join us.
274.716,275.828,Mainly YB.
275.828,278.356,I believe in you Alexandria.
278.356,279.86,Alex can not handle spice.
279.86,280.693,I don't do well.
280.693,282.103,I think hot Cheetos are really hot.
282.103,282.936,Oh geez.
282.936,283.769,But I enjoy 'em
283.769,284.713,I like spice but I can't handle it.
284.713,285.688,What is she doing here?
285.688,287.165,"Lady Keith, you're lady Keith"
287.165,288.178,I jut wanted me included
288.178,290.004,I just wanted me included.
290.004,291.541,This isn't about friendship.
291.541,293.361,The flavor and the spice I good but there's no heat.
293.361,294.194,Lots of flavor.
