start_time,end_time,text
0.0,2.799,The hottest level they have on the menu
4.319,5.152000000000001,Oh my God
5.152,5.985,Oh Yeah.
6.818,7.651,Yes.
11.024,14.317,Pain really does release those endorphins Euphoria!
21.345,23.952,Try Guys and Food Babies are here at Tsujita Killer Noodle.
23.952,25.922,On Sawtelle in Los Angeles.
25.922,27.788000000000004,To try the killer noodle challenge.
27.788,31.113000000000003,These are some of the spiciest noodles in LA.
31.113,32.73,Nay the country.
32.73,35.29899999999999,"We're gonna start out with level zero, quite not killer."
35.299,38.107,"And move our way all the way up to six, very killer."
38.107,40.412000000000006,So killer in fact it has ghost in it.
40.412,45.94500000000001,"So like every spice video on this channel, I can't wait for you to see YB and me eat all of it."
45.945,48.501999999999995,While the rest of them cry and fail.
48.502,50.123,Like cowards.
53.754,54.586999999999996,Hi my name is Peter.
54.587,56.25,And we're here at Killer Noodle Tsujita.
56.25,58.451999999999984,Are you guys excited to try a killer noodle challenge today?
58.452,59.719,Yeah.
59.719,60.552,So excited.
60.552,60.9685,Hell
60.9685,61.385,yeah.
61.385,68.43000000000002,The killer noodle was originally founded by Mr. Tsujita back in 2011 and from that success he wanted to bring some more concepts into the LA areas.
68.43,71.277,So the killer noodle challenge is really just eating a level six.
71.277,73.586,So today we're gonna work our way up to six.
73.586,75.56399999999996,We're gonna be in two teams of three.
75.564,77.03200000000001,And at any point we have to drop out.
77.032,78.60500000000002,That team loses that member.
78.605,81.417,"A lot of our customers come in and go ""Is it really spicy?"""
81.417,84.336,"Because a lot of cases when they say it's spicy, it's really not."
84.336,86.52899999999998,But here we're spicy and we mean it.
86.529,87.84899999999999,So we each have waters here.
87.849,90.499,Water is the only thing you'd really supposed to be drinking.
90.499,91.79900000000004,Unless you're gonna tap out.
91.799,95.32799999999997,So for all of our different styles of soup there's actually two ways you can get it.
95.328,96.62299999999999,With soup and without soup.
96.623,98.4669090909091,Today we're gonna be eating the without soups.
98.4669090909091,102.22299999999998,"Just to give you a heads up, It is gonna be a lot more spicy than with the soup."
104.699,106.891,So Alexandria is going up against Keith.
106.891,108.062,Zack is going up against Ned.
108.062,109.73200000000001,And I'm going up against YB.
109.732,112.475,So whatever happens try to beat your partner.
112.475,114.636,Level zero.
114.636,115.726,So this is mild.
115.726,118.14800000000001,So we have the Tokyo style no soup level zero.
118.148,120.727,Just to give you guys a visualization of our numbing pepper.
120.727,123.024,This is gonna be our sansho pepper right here.
123.024,127.51299999999998,It's gonna be before you ground it up and this is what it's gonna look like when it goes into the soup.
127.513,128.346,Wow.
128.346,133.043,"You got this peanuts, you got some scallions, you got some minced onion it looks like or maybe it's minced garlic."
133.043,136.005,"Alright, number one restaurant item is actually the Tokyo style."
136.005,139.47199999999998,It's more of a creamy nutty taste because of that peanut butter flavor.
139.472,140.357,Cheers.
140.357,141.19,Little cheers.
141.19,142.60700000000003,"Cheers, cheers."
147.929,148.812,Oh yeah.
148.812,149.645,Oh my goodness.
149.645,150.77200000000002,That peanut butter is really good.
150.772,151.64899999999997,Oh it's incredible
151.649,152.88899999999995,I love the peanut butter taste.
152.889,153.899,And it's thick noodles.
153.899,157.97699999999998,I've never had any noodle that has such a like peanutty sweetness to it.
157.977,158.81,Yeah.
158.81,161.974,And the noodles itself are just perfect ratio.
161.974,162.949,Perfectly cooked.
162.949,164.80499999999998,You guys it reminds me of a Jajangmyeon.
164.805,165.72699999999998,That Korean dish.
165.727,166.97799999999998,YB you're gonna flip over this.
166.978,169.05300000000005,Did you say Jojo meow?
169.053,170.82800000000003,"Yes, Jojo meow."
170.828,171.878,Jojo meow.
171.878,172.711,Thick and creamy.
