start_time,end_time,words
0,5,The hottest level they have on the menu Oh my
5,10,God Oh Yeah . Yes .
10,15,Pain really does release those endorphins Euphoria !
20,25,Try Guys and Food Babies are here at Tsujita Killer Noodle . On Sawtelle
25,30,in Los Angeles . To try the killer noodle challenge . These are some of the
30,35,"spiciest noodles in LA . Nay the country . We 're gon na start out with level zero , quite not"
35,40,"killer . And move our way all the way up to six , very killer . So killer in fact it has"
40,45,"ghost in it . So like every spice video on this channel , I ca n't wait for you to see YB and me"
45,50,eat all of it . While the rest of them cry and fail . Like
50,55,cowards . Hi my name is Peter . And we 're
55,60,here at Killer Noodle Tsujita . Are you guys excited to try a killer noodle challenge today ? Yeah . So
60,65,excited . Hell yeah . The killer noodle was originally founded by Mr. Tsujita back in 2011 and from that
65,70,success he wanted to bring some more concepts into the LA areas . So the killer noodle challenge is really
70,75,just eating a level six . So today we 're gon na work our way up to six . We 're gon na be in two
75,80,teams of three . And at any point we have to drop out . That team loses that member . A lot of our customers come in
80,85,"and go "" Is it really spicy ? "" Because a lot of cases when they say it 's spicy , it 's really not . But here"
85,90,we 're spicy and we mean it . So we each have waters here . Water is the only thing you 'd really supposed to be
90,95,drinking . Unless you 're gon na tap out . So for all of our different styles of soup there 's actually two ways you
95,100,"can get it . With soup and without soup . Today we 're gon na be eating the without soups . Just to give you a heads up , It is"
100,105,gon na be a lot more spicy than with the soup . So
105,110,Alexandria is going up against Keith . Zack is going up against Ned . And I 'm going up against YB . So
110,115,whatever happens try to beat your partner . Level zero . So
115,120,this is mild . So we have the Tokyo style no soup level zero . Just to give you guys a visualization of our
120,125,numbing pepper . This is gon na be our sansho pepper right here . It 's gon na be before you ground it
125,130,"up and this is what it 's gon na look like when it goes into the soup . Wow . You got this peanuts , you got some scallions ,"
130,135,"you got some minced onion it looks like or maybe it 's minced garlic . Alright , number one restaurant item is"
135,140,actually the Tokyo style . It 's more of a creamy nutty taste because of that peanut butter flavor .
140,145,"Cheers . Little cheers . Cheers , cheers ."
145,150,Oh yeah . Oh my goodness . That
150,155,peanut butter is really good . Oh it 's incredible I love the peanut butter taste . And it 's thick noodles . I 've never had any
155,160,noodle that has such a like peanutty sweetness to it . Yeah . And the noodles
160,165,itself are just perfect ratio . Perfectly cooked . You guys it reminds me of a Jajangmyeon .
165,170,"That Korean dish . YB you 're gon na flip over this . Did you say Jojo meow ? Yes ,"
170,175,Jojo meow . Jojo meow . Thick and creamy . And the peanut butter really shines through . Really
175,180,reminds me a lot of Jojo meow . So Jajangmyeon is a Korean - Chinese dish that
180,185,has like a Black bean Black bean paste . And that black bean is to this pork mixed with the peanut butter .
185,190,Gives it a similar like umami umptious flavor . Thick Pad Thai mix with ramen .
190,195,Yeah . I like this but I am seeing why you need that spice . It 's missing the chili oil . This
195,200,reminds me that there 's just a world of cuisines between Asian cuisines . There 's
200,205,Korean - Chinese food . and this is like kind of somewhere between Japanese and Chinese . When cultures meet they make
205,210,beautiful food babies .
210,215,Level one .
215,220,Beautiful . Different color . It 's getting orangey . I already taste the spice just on the No
220,225,way . On the chopstick . Yeah . So good . That 's delicious . Oh
225,230,incredible . Okay . It brings it up . I see you chili oil . And on our spiciness side we do use cayenne
230,235,pepper and some of our own homemade chili oil . That 's gon na be only up to level three . We
235,240,"actually have up until level six . Now , how do we get that high . It 's gon na be ghost pepper . Oh no ."
240,245,"Eugene , I know that your spice tolerance is impenetrable . Well , ghost peppers are"
245,250,"tough for anybody . It 's more just me being Stubborn . Stubborn , yeah . I do think it"
250,255,need more spice . I agree . Even as a little spice baby myself . I know that the flavor will only
255,260,get better with more chili oil . I have been eating a lot of spicy Chinese noodles in the last couple
260,265,years . So I think I can at least get in to the ghost pepper round . Level four .
265,270,"Four . The thing is I love the spice flavor but I got this weak Jewish belly . My people did not eat spice for many ,"
270,275,"many years . That 's why we 're bringing the Food Babies , YB and Alexandria to come join us ."
275,280,Mainly YB . I believe in you Alexandria . Alex can not handle spice . I
280,285,do n't do well . I think hot Cheetos are really hot . Oh geez . But I enjoy 'em I like spice but I ca n't handle it . What
285,290,"is she doing here ? Lady Keith , you 're lady Keith I jut wanted me included I just wanted me"
290,295,included . This is n't about friendship . The flavor and the spice I good but there 's no heat . Lots of flavor . The tiniest
295,300,bit of heat . Zero heat . I can feel it in my throat . I usually eat a lot of spicy Korean food in general . But I
300,305,do n't think I 'm technically good at spice . I think I 'm just better at hiding it . So
305,310,hopefully I can make it ' til six . I maybe bad at Mukbangs but I really like spicy food .
310,315,Even when it hurts me . You may remember me dousing wasabi in the
315,320,sushi video . Level one is perfect . Everyone can be able to handle it . There 's zero spice for me in this . This is my
320,325,"ideal spice level . I ca n't handle anymore . This is your ideal spice level ? We 'll see how the rest goes ? You 're nuts . You are ,"
325,330,you are . Ideal is like if I do n't have to take a sip of water between every bite then the next one might
330,335,get me there . Level two . This one looks
