start_time,stop_time,avg_intensity
0,20,36.019999999999996
20,40,23.366666666666667
40,60,11.68888888888889
60,80,28.3625
80,100,14.944444444444445
100,120,9.88888888888889
120,140,13.6
140,160,13.925
160,180,11.155555555555557
180,200,11.31111111111111
200,220,42.275
220,240,47.52222222222222
240,260,11.5
260,280,10.0
280,300,19.1
300,320,11.9875
320,340,11.544444444444444
340,360,30.2625
360,380,12.955555555555556
380,400,12.088888888888889
400,420,9.925
420,440,10.0
440,460,80.7625
460,480,21.5
480,500,11.222222222222221
500,520,10.3
520,540,23.477777777777778
540,560,14.4875
560,580,10.0
580,600,25.975
600,620,12.088888888888889
620,640,15.555555555555555
640,660,21.4375
660,680,37.577777777777776
680,700,13.276923076923076
