start_time,end_time,words
0,5,"I know that the other guys do not like my photos very much , so I 'm not looking"
5,10,"forward to this . Your Instagram does look like that of most teenage girls . Yeah , that 's all I wanna be . You know , you 're"
10,15,crushing it . Can i just get one photo of you without having your shirt off ? See even now ? Even now
15,20,you 're doing it . He uses Instagram as if he has three followers and they
20,25,'re all his mom . * laughing * I do n't understand Welcome to another episode of Try Guys
25,30,Game Time . Today the Try Guys are roasting each other with all the social media they 've been Posting on the internet .
30,35,"Why do you talk like that ? I like it do it again , yay . Posts . These are things from our"
35,40,"Instagrams , from our Twitters Anywhere on the internet that we 've posted , we can comment on it and we can roast it . Try"
40,45,"Guys Game Time , roast your soc ' Roast your soc ' ! Roast your soc ' ! Try Guys"
45,50,Game Time ! We have n't nailed it once .
50,55,"I 'm starting out in the hot seat , and"
55,60,"let me tell ya , this butt is hawt . What do you guys have for me ? * laughter * Keith"
60,65,"is so unabashedly bad at social media . Like , I think it 's like , kind of something"
65,70,something he enjoys how shitty he is . For someone who 's job * is * social
70,75,"media . Everyone 's always posting ' oh look at me next to this pool , ' ' oh look how hot I am , ' ' oh"
75,80,"look at these cool clothes i 'm wearing . ' Keith , every single photo- * disturbing growl noise *"
80,85,"Every single photo ! Like , he never hands the phone to someone else to , like , just take an actual photo , It"
85,90,'s always just weird angle selfie . Whereas the three of us are exclusively pains in the ass making each other
90,95,"take photos . So- And by the three of us You mean you . Awh ,"
95,100,girl no . So many of your photos are just you smashing
100,105,"shit in your face . Here 's a Danish , here 's a piece of fried chicken , here 's"
105,110,two hotdogs ! ! This one does n't even have you in it ! It 's just a plate of your food ! Maybe that 's
110,115,something you put on your story .. maybe . He is a relentless self - promoter . Half of
115,120,the reason Keith has Instagram is to tell you about some fucking show that is going on . It 's always
120,125,"the derpiest nut , like , what - wh - who What ! In what world is this photo gon na make someone wanna come"
125,130,see your show ? What is this ? ! This was on Instagram.com/KeithHabs ! You
130,135,"have over 800 , 000 followers , SIR . And they come for"
135,140,"the content I deliver . Oh , my god . Euuugene . You think you 're so hot . Well i"
140,145,'ve pulled up some of the ugliest photos Eugene has ever taken . Like
145,150,this one . What 's hot about this ? He 's standing shirtless in front of a
150,155,waterfall . Uglyy ! It 's always you with your shirt off and a weird object . W -
155,160,what is this ? Me with my shirt off next to a cute animal . This dog is n't even
160,165,"yours ! Oh yeah that was a photo shoot for a magazine and I , uh , found that dog in the lobby . Ew ! In"
165,170,front of an exploded volcano ? * nasty throwing up noise * yuck yuck yuck . There
170,175,'s a hilarious sub - section of Eugene 's Instagram that 's like ' Oh I 'm ugly ' and it 's just him doing faces
175,180,like * making weird noises * * imitating Eugene * Look at me I''m ugly even though you know me to be
180,185,"very beautiful I 'm not hot , I 'm approachable ! And they 're all still really hot . And they 're still super hot ."
185,190,"Eugene , you have an inability to let yourself not look hot in any photo . Let"
190,195,me show you one of the photos that 's hot that you have taken . Boom . That 's right .
195,200,Got a little Keith in the waist . Got a little smile on the face :) Eugene
200,205,"takes and steals my clothes and posts hot photos in them all the time . My socks . Top comment ? "" Cool"
205,210,"socks . "" My shirt , my jacket . * to Eugene * They do look better on you . Yeah they do look better on Eugene . I do n't"
210,215,"have enough photos with dumb shit . I 'd say good luck , I have a pretty good social"
215,220,media presence . I think I 'm killing the game . I only have one photo . It 's the photo I hate more
220,225,than any photo ever . It 's the one where you just finished having sex with your dog . It 's very
225,230,clear . You guys just had rockin ' sex . You might have sex right again
230,235,"after this photo . The way he 's looking at you , the way you look , like , you have that"
235,240,post - coital glow . Did you roll on the fucking ? Or was it just after the fucking was done ?
240,245,"You do have a tendency to pose , and pretend like you 're not posing ."
245,250,It 's a very particular skill . Uh - huh . * Imitating Zach * I 'm posing to make it look
250,255,"effortless , yet it 's very staged . Does it look effortless ? No . Like this . It 's like ' I 'm not"
255,260,"posing i 'm just hanging out on top of a table , like a normal person . My legs are everywhere . I 'm"
260,265,casually sitting against an open refrigerator in a junkyard . Yeah usually it takes
265,270,"about 30 frames before you 're happy . It takes a lot of photos to make this look good . I 'm Zach , you 're you . Okay . Frame"
270,275,"it this way , let me see that , okay ? Now everyone stop what you 're doing , just one second . Okay , okay . I do n't make them stop what they 're doing Guys"
275,280,"can we go ? Zach 's go - to cuff adjustment . Zach 's go - to down on the knee , tie the"
280,285,"shoe . Yuup . Here . I never use that one . Yeah , I 've seen it a couple times . I saw you do it last weekend at Palm Springs ! No , I know , I do"
285,290,it but I never post it cuz it looks dumb . The fucking ankles . It 's all about his ankles .
290,295,"Yeahhh . If you got 'em , flaunt 'em . Your photos bore me . They just look like LaurDIY 's shitty photos that"
295,300,she would n't put up . Ya know ? It looks like a real Instagrammer second choice
300,305,"photo . Ya know ? You 're just doing it for the ' Gram , I get it . Bring on the"
305,310,"roasting ! I definitely had the most fun doing Ned 's . If I might encapsulate Ned 's social media ,"
310,315,in one sentence . Dad . Just . Discovers . Teen stuff . That 's giving me
315,320,"more credit than I think I deserve . Like , for example , there 's this great Instagram"
320,325,"photo of you . Oh my god , what the hell is going on there ? And the caption is ; ' When your friend is dating a fuckboy ' It 's like a"
325,330,"little late . It 's referencing something that's- Slightly late . It 's funny that Eugene mentioned fuckboy , because"
330,335,"this is the most fuckboy photo of all time . The caption is ' snows out , bows out ' . I"
335,340,"guess you 're referring to your elbows ? Yeah . Big love for Quinta , who wrote , ' What 's"
340,345,"happening here Ned ' . I do n't know if you notice Ned 's style , I like to call it ' what Eugene was"
345,350,"doing recently . ' * laughter * Uh , this is Ned in a pair of shorts overalls , because"
350,355,"Eugene wears shorts overalls . This is him in front of a waterfall with a straw hat ,"
355,360,"because Eugene * can * do this . And looks amazing when he does it . Ned , even in the picture , is"
360,365,aware it 's not working out . * all laughing * Keith tweets like no one
365,370,"'s watching . The most Keith tweet of all time is : ' Blah , blah , blah . Joke ,"
370,375,"joke , joke . Commentary ' . That 's what everyone 's tweeting . They 're trying to be so original with"
375,380,their fucking garbage joke with some commentary . All of these photos also have the worst captions . ' Eating a
380,385,"hotdog in a Chicago suburb ' . Like , you just describe exactly what 's in"
385,390,the photo . ' When you 're waiting for your burrito . # burrito . '
390,395,"The actual caption is , ' This is my"
395,400,mouth ' . You wanna know what the hashtag is? .. Mouth . * laughter * '
400,405,"This is my mouth , # mouth ' . That 's Keith 's idea of content on his"
405,410,"social media . Wow . I feel like all these insults needs the caveat that no matter what I do , and no matter"
410,415,"what he does Keith still has way more followers than me . It makes no sense , he 's so bad . Follow @korndiddy I 'm"
415,420,"giving you good content . You have more than me on Twitter . On Twitter . Yeah . That 's true . Cuz of your blah , blah"
420,425,"blah . Joke , joke joke . Commentary . There is a tweet that Mr. '' eUgEnE"
425,430,LeE yAnG '' sent out one time And it 's one of these tweets that he does every
430,435,"so often that it 's just w - ww - what ? ' Every single person believes , that one"
435,440,"time while they were walking outside , they could talk to birds ' . This is n't even blah , blah ,"
440,445,"blah . Joke , joke , joke . Commentary . This is just blah , blah , blah . It 's true . You guys do"
445,450,"n't try to talk to birds sometimes ? No ! Most of your tweets , and most of your"
450,455,"successful tweets , are just about family dynamics . ' What it 's like to have a sister ' . ' My mom 's"
455,460,"crazy ' . ' My grandma says crazy stuff ' . Like , it is the most ' slice - of - life ' content #"
460,465,"SiblingProblems ! ! ! ! ! ! Also , in my little array , you have saw several outfits that Ned has tried to accomplish ."
465,470,-in his Instagram I need
470,475,to put my foot down and defend those of us in the world who are vision impaired because this . is not . a. fashion . accessory .
475,480,"all of your photos is * imitating Eugene * ' Oh look I ca n't see , I have glasses ,"
480,485,"look how hot I am "" GET THESE FUCKING THINGS OFF YOUR FACE EUGENE ! ! This is not here to make ya hot , it"
485,490,'s here to help me and Keith not bump into shit when we 're walking ! For all of those people out there who
490,495,"want to wear glasses cuz you look cool , then you better start wearing glasses everyday from the age of 5 . Then you 're"
495,500,allowed to do it . You have n't felt the struggle Eugene ! Ya ca n't just use it to look
500,505,"hot . Aight Zach , you 're making fun of me for hopping on bandwagon . You are the *"
505,510,"most * guilty of hopping on the bandwagon of things . PUBG , Fortnite ,"
510,515,"Musical.ly , do you remember your musical.ly phase ? ! Oh , I 'm"
515,520,bringing it up . Oh yeahh . Where- you just realized Musical.ly was
520,525,"popular , and tried to make ... * generic teen pop * * over"
525,530,music * This is worse than Instagram photos because this actually took real time out of our day because he would
530,535,ruin things . It took you two hours to do . You ca n't even monetize this content ! This
535,540,is probably the tweet I hate the most from Zach . It 's this picture of
540,545,you fucking your dog . Cuz it was n't enough to just put
545,550,it on Instagram . You needed to make sure that your smaller audience also saw it . So I better put it
550,555,"here too because I really want people to know that I fuck my dog . Have you , uh , been to Bowie 's Instagram ,"
555,560,"uh , recently ? Why would I * ever * spend time on Bowie 's Instagram ? Woww . I could n't"
560,565,"care less about a dog 's social media presence . I would say in general , Ned is"
565,570,occasionally guilty of wanting to tweet some things zeitgeist - y but having literally nothing to add to it
570,575,Sometimes I introduce my friends to some things . I taught them about a K - Pop
575,580,"group that I love , called Black Pink . Ned , immediately sensed that Black Pink could be"
580,585,cool amongst the youngsters and tweets out ' BLACKPINK ' . Gets a lot of upvotes of
585,590,"people saying ' wowowowow Ned knows BLACKPINK ' and then over the course of four days , tweets-"
590,595,"' I just want to run into a Starbucks , throw coloured dust into the air , and scream BLACKPINK ' . Here 's the"
595,600,"thing people are talking about , I can talk about it too . Oh ! Blah , blah , blah . Joke , joke , joke . Commentary ."
600,605,"You have a tweet , this is the most basic white girl . You just wrote '"
605,610,Why ca n't I drink pumpkin spice lattes year - round ? ' That 's how everyone
610,615,"makes * fun * of basic white girls . It 's not even a * true * stereotype , and you actually * are * the stereotype ."
615,620,Every reply is a young mom . * laughter * I legit
620,625,"love my PSL 's year - round . Ah , see well that - that 's bad . * all Try"
625,630,"Guys oofing * I think he just is a young mom , and he 's always"
630,635,"been a young mom . Every now and then , you get a real gem that 's real steamy . Like this photo ,"
635,640,"that I believe I took . Yeah that 's where we were playing a game This one turns me on , I like it . It 's"
640,645,"a g-- its a Hot photo . Yeah , it 's a hot pic . For how little you care , when you do care , you really"
645,650,"deliver . This is probably the best of all of ours . Props to you Ned , because you 've never had to double"
650,655,"explain yourself , you never backtrack a joke . You post with confidence . Just go for it . You just go for"
655,660,"it . BLACKPINK ! Exactly . You know , you maintain an aesthetic that sometimes has an irony that"
660,665,"I appreciate . Like , I like this one . I think it 's super dope . That was good . It 's funny . It 's"
665,670,"beautiful and it 's also funny . We 're jealous of your hotness , we 're jealous of your aesthetic , we 're jealous of your love , and you"
670,675,"'re jealous of my indifference . * laughter * Yeah . That 's true . Together , we would be .. Chris"
675,680,Pratt .
680,685,YEAH *
685,690,Outro music plays *
690,695,I will say you have a very distinct aesthetic . But when you 're nailing your dog I 'm not behind it . No .
695,700,He 's behind it tho ! AYY
