start_time,stop_time,avg_intensity
0,5,34.6
5,10,56.1
10,15,27.866666666666664
15,20,26.0
20,25,24.866666666666664
25,30,27.549999999999997
30,35,26.0
35,40,14.3
40,45,10.9
45,50,12.9
50,55,13.7
55,60,10.333333333333334
60,65,16.200000000000003
65,70,28.049999999999997
70,75,36.7
75,80,32.5
80,85,20.099999999999998
85,90,14.1
90,95,12.6
95,100,11.15
100,105,9.75
105,110,10.0
110,115,10.0
115,120,9.833333333333334
120,125,10.0
125,130,11.533333333333333
130,135,15.05
135,140,17.049999999999997
140,145,16.700000000000003
145,150,14.6
150,155,12.333333333333334
155,160,11.8
160,165,10.366666666666667
165,170,11.05
170,175,12.35
175,180,11.25
180,185,10.35
185,190,9.533333333333333
190,195,10.3
195,200,14.066666666666668
200,205,28.25
205,210,41.45
210,215,43.95
215,220,55.45
220,225,67.16666666666667
225,230,64.4
230,235,40.5
235,240,20.15
240,245,16.75
245,250,10.85
250,255,9.15
255,260,10.0
260,265,10.0
265,270,10.0
270,275,10.0
275,280,10.0
280,285,8.85
285,290,15.4
290,295,24.433333333333334
295,300,25.049999999999997
300,305,16.85
305,310,11.649999999999999
310,315,9.45
315,320,10.0
320,325,10.0
325,330,9.4
330,335,10.9
335,340,16.95
340,345,25.3
345,350,31.65
350,355,33.05
355,360,31.049999999999997
360,365,20.133333333333333
365,370,8.4
370,375,10.0
375,380,9.7
380,385,10.3
385,390,12.5
390,395,13.5
395,400,12.066666666666668
400,405,9.7
405,410,10.0
410,415,10.0
415,420,10.0
420,425,10.0
425,430,10.0
430,435,5.85
435,440,14.15
440,445,42.3
445,450,81.0
450,455,103.65
455,460,96.1
460,465,42.333333333333336
465,470,9.75
470,475,12.05
475,480,11.45
480,485,12.45
485,490,13.05
490,495,10.3
495,500,9.799999999999999
500,505,10.0
505,510,10.0
510,515,9.6
515,520,11.600000000000001
520,525,14.45
525,530,14.9
530,535,27.599999999999998
535,540,34.900000000000006
540,545,27.95
545,550,12.0
550,555,8.0
555,560,10.0
560,565,10.0
565,570,10.0
570,575,10.0
575,580,10.0
580,585,7.5
585,590,22.65
590,595,37.9
595,600,33.8
600,605,17.866666666666667
605,610,7.6
610,615,10.0
615,620,10.0
620,625,9.95
625,630,8.4
630,635,10.3
635,640,28.2
640,645,33.35
645,650,21.799999999999997
650,655,15.100000000000001
655,660,15.5
660,665,25.233333333333334
665,670,35.0
670,675,43.06666666666666
675,680,49.15
680,685,40.3
685,690,13.4
690,695,6.6
695,700,7.428571428571429
