timestamp_sec,intensity
0.000,0.000
0.699,13.200
1.398,59.400
3.496,65.800
5.593,72.200
7.691,40.000
10.487,32.100
13.284,24.100
14.682,27.400
17.479,26.000
20.275,24.600
21.673,24.900
24.470,25.100
27.267,25.400
28.665,29.700
31.461,27.200
34.258,24.800
35.656,15.800
38.453,12.800
41.249,9.800
42.648,12.000
45.444,12.200
48.241,12.400
49.639,14.100
52.436,13.700
55.232,13.300
56.630,7.700
59.427,10.000
62.224,12.300
63.622,20.100
66.418,25.400
69.215,30.700
70.613,36.800
73.410,36.600
76.206,36.300
77.605,28.700
80.401,24.200
83.198,19.700
84.596,16.400
87.393,14.100
90.189,11.800
91.588,13.400
94.384,12.600
97.181,11.800
98.579,10.500
101.376,10.000
104.172,9.500
105.570,10.000
108.367,10.000
111.164,10.000
112.562,10.000
115.358,10.000
118.155,10.000
119.553,9.500
122.350,10.000
125.146,10.500
126.545,11.400
129.341,12.700
132.138,14.100
133.536,16.000
136.333,16.700
139.129,17.400
140.528,17.100
143.324,16.300
146.121,15.500
147.519,13.700
150.315,12.800
153.112,11.900
154.510,12.300
157.307,11.800
160.103,11.200
161.502,9.900
164.298,10.000
167.095,10.100
168.493,12.000
171.290,12.200
174.086,12.500
175.485,11.500
178.281,11.000
181.078,10.600
182.476,10.100
185.273,10.000
188.069,9.900
189.467,8.700
192.264,10.300
195.061,11.900
196.459,12.300
199.255,18.000
202.052,23.600
203.450,32.900
206.247,38.600
209.043,44.300
210.442,41.500
213.238,46.400
216.035,51.300
217.433,59.600
220.230,63.200
223.026,66.800
224.425,71.500
227.221,64.400
230.018,57.300
231.416,36.700
234.213,27.500
237.009,18.300
238.407,22.000
241.204,18.500
244.001,15.000
245.399,11.700
248.195,10.000
250.992,8.300
252.390,10.000
255.187,10.000
257.983,10.000
259.382,10.000
262.178,10.000
264.975,10.000
266.373,10.000
269.170,10.000
271.966,10.000
273.364,10.000
276.161,10.000
278.958,10.000
280.356,7.700
283.152,10.000
285.949,12.300
287.347,18.500
290.144,21.600
292.940,24.800
294.339,26.900
297.135,25.700
299.932,24.400
301.330,18.400
304.127,15.300
306.923,12.200
308.322,11.100
311.118,10.000
313.915,8.900
315.313,10.000
318.110,10.000
320.906,10.000
322.304,10.000
325.101,10.000
327.898,10.000
329.296,8.200
332.092,10.000
334.889,11.800
336.287,14.900
339.084,19.000
341.880,23.000
343.279,27.600
346.075,30.300
348.872,33.000
350.270,33.500
353.067,32.600
355.863,31.700
357.261,30.400
360.058,25.900
362.855,21.300
364.253,13.200
367.049,10.000
369.846,6.800
371.244,10.000
374.041,10.000
376.837,10.000
378.236,9.400
381.032,10.000
383.829,10.600
385.227,12.200
388.024,12.800
390.820,13.400
392.219,13.600
395.015,13.100
397.812,12.500
399.210,10.600
402.007,10.000
404.803,9.400
406.201,10.000
408.998,10.000
411.795,10.000
413.193,10.000
415.989,10.000
418.786,10.000
420.184,10.000
422.981,10.000
425.777,10.000
427.176,10.000
429.972,10.000
432.769,10.000
434.167,1.700
436.964,10.000
439.760,18.300
441.159,33.300
443.955,51.300
446.752,69.300
448.150,92.700
450.946,100.000
453.743,107.300
455.141,104.100
457.938,88.100
460.734,72.000
462.133,35.000
464.929,20.000
467.726,4.900
469.124,14.600
471.921,12.900
474.717,11.200
476.116,11.400
478.912,11.500
481.709,11.500
483.107,13.400
485.904,13.200
488.700,12.900
490.098,10.600
492.895,10.000
495.692,9.400
497.090,10.000
499.886,10.000
502.683,10.000
504.081,10.000
506.878,10.000
509.674,10.000
511.073,9.200
513.869,10.000
516.666,10.800
518.064,12.400
520.861,13.800
523.657,15.100
525.056,13.000
527.852,16.800
530.649,20.500
532.047,29.800
534.844,32.500
537.640,35.100
539.038,34.700
541.835,30.200
544.632,25.700
546.030,14.000
548.826,10.000
551.623,6.000
553.021,10.000
555.818,10.000
558.614,10.000
560.013,10.000
562.809,10.000
565.606,10.000
567.004,10.000
569.801,10.000
572.597,10.000
573.995,10.000
576.792,10.000
579.589,10.000
580.987,5.000
583.783,10.000
586.580,15.000
587.978,30.300
590.775,35.100
593.571,39.800
594.970,38.800
597.766,33.800
600.563,28.800
601.961,14.800
604.758,10.000
607.554,5.200
608.953,10.000
611.749,10.000
614.546,10.000
615.944,10.000
618.741,10.000
621.537,10.000
622.935,9.900
625.732,10.000
628.529,10.100
629.927,5.100
632.723,10.300
635.520,15.500
636.918,33.200
639.715,35.900
642.511,38.600
643.910,28.100
646.706,23.900
649.503,19.700
650.901,15.400
653.698,14.800
656.494,14.200
657.892,16.800
660.689,20.800
663.486,24.900
664.884,30.000
667.680,35.000
670.477,39.900
671.875,43.800
674.672,45.500
677.468,47.300
678.867,51.000
681.663,43.900
684.460,36.700
685.858,16.800
688.655,10.000
691.451,3.200
693.549,10.000
695.646,10.000
697.744,10.000
698.443,12.000
699.142,10.000
699.841,8.000
699.142,2.000
699.142,0.000
