start_time,end_time,text
0.0,5.48,"I know that the other guys do not like my photos very much, so I'm not looking forward to this."
5.48,8.44,Your Instagram does look like that of most teenage girls.
8.44,10.34,"Yeah, that's all I wanna be. You know, you're crushing it."
10.34,13.5,Can i just get one photo of you without having your shirt off?
13.5,15.98,See even now? Even now you're doing it.
15.98,20.76,He uses Instagram as if he has three followers and they're all his mom.
20.76,23.18,*laughing* I don't understand
23.18,25.22,Welcome to another episode of Try Guys Game Time.
25.22,29.82,Today the Try Guys are roasting each other with all the social media they've been Posting on the internet.
29.82,32.7,"Why do you talk like that? I like it do it again, yay."
32.7,33.66,Posts.
33.66,36.38,"These are things from our Instagrams, from our Twitters"
36.38,39.72,"Anywhere on the internet that we've posted, we can comment on it and we can roast it."
39.72,41.78,"Try Guys Game Time, roast your soc'"
41.78,43.08,Roast your soc'!
43.08,45.7,Roast your soc'! Try Guys Game Time!
45.7,46.78,We haven't nailed it once.
52.28,56.92,"I'm starting out in the hot seat, and let me tell ya, this butt is hawt."
56.92,59.34,What do you guys have for me? *laughter*
59.34,62.78,Keith is so unabashedly bad at social media.
62.78,66.66,"Like, I think it's like, kind of something something he enjoys how shitty he is."
66.66,70.36,For someone who's job *is* social media.
70.36,74.64,"Everyone's always posting 'oh look at me next to this pool,' 'oh look how hot I am,'"
74.64,79.84,"'oh look at these cool clothes i'm wearing.' Keith, every single photo- *disturbing growl noise*"
79.84,84.86,"Every single photo! Like, he never hands the phone to someone else to, like, just take an actual photo,"
84.86,86.86,It's always just weird angle selfie.
86.86,90.42,Whereas the three of us are exclusively pains in the ass making each other take photos.
90.42,93.5,So- And by the three of us You mean you.
93.5,95.56,"Awh, girl no."
95.6,101.36,So many of your photos are just you smashing shit in your face.
101.36,105.54,"Here's a Danish, here's a piece of fried chicken, here's two hotdogs!!"
105.54,109.02,This one doesn't even have you in it! It's just a plate of your food!
109.02,111.62,Maybe that's something you put on your story..maybe.
111.72,114.48,He is a relentless self-promoter.
114.48,119.14,Half of the reason Keith has Instagram is to tell you about some fucking show that is going on.
119.14,121.68,"It's always the derpiest nut, like, what-wh-who"
121.68,125.64,What! In what world is this photo gonna make someone wanna come see your show?
125.64,129.46,What is this?! This was on Instagram.com/KeithHabs!
129.46,133.66,"You have over 800, 000 followers, SIR."
