start_time,end_time,text
0.0,5.4799999999999995,"I know that the other guys do not like my photos very much, so I'm not looking forward to this."
5.48,8.440000000000001,Your Instagram does look like that of most teenage girls.
8.44,9.346818181818179,"Yeah, that's all I wanna be."
9.346818181818179,10.339999999999995,"You know, you're crushing it."
10.34,13.499999999999996,Can i just get one photo of you without having your shirt off?
13.5,14.326666666666666,See even now?
14.326666666666666,15.979999999999999,Even now you're doing it.
15.98,20.760000000000012,He uses Instagram as if he has three followers and they're all his mom.
20.76,21.566666666666666,*laughing*
21.566666666666666,25.22,I don't understand Welcome to another episode of Try Guys Game Time.
25.22,29.820000000000014,Today the Try Guys are roasting each other with all the social media they've been Posting on the internet.
29.82,31.29692307692308,Why do you talk like that?
31.29692307692308,32.7,"I like it do it again, yay."
32.7,33.66,Posts.
33.66,39.719999999999985,"These are things from our Instagrams, from our Twitters Anywhere on the internet that we've posted, we can comment on it and we can roast it."
39.72,43.08,"Try Guys Game Time, roast your soc' Roast your soc'!"
43.08,44.24444444444445,Roast your soc'!
44.24444444444445,45.7,Try Guys Game Time!
45.7,46.779999999999994,We haven't nailed it once.
52.28,56.92,"I'm starting out in the hot seat, and let me tell ya, this butt is hawt."
56.92,58.69466666666667,What do you guys have for me?
58.69466666666667,59.34,*laughter*
59.34,62.78,Keith is so unabashedly bad at social media.
62.78,66.66000000000001,"Like, I think it's like, kind of something something he enjoys how shitty he is."
66.66,70.36,For someone who's job *is* social media.
70.36,76.96631578947365,"Everyone's always posting 'oh look at me next to this pool,' 'oh look how hot I am,' 'oh look at these cool clothes i'm wearing.'"
76.96631578947365,79.83999999999995,"Keith, every single photo- *disturbing growl noise*"
79.84,80.844,Every single photo!
80.844,86.86000000000001,"Like, he never hands the phone to someone else to, like, just take an actual photo, It's always just weird angle selfie."
86.86,90.41999999999999,Whereas the three of us are exclusively pains in the ass making each other take photos.
90.42,90.72800000000001,So-
90.72800000000001,93.5,And by the three of us You mean you.
93.5,95.56,"Awh, girl no."
95.6,101.36000000000004,So many of your photos are just you smashing shit in your face.
101.36,105.53999999999998,"Here's a Danish, here's a piece of fried chicken, here's two hotdogs!!"
105.54,107.44415094339621,This one doesn't even have you in it!
107.44415094339621,109.01999999999997,It's just a plate of your food!
109.02,111.62000000000002,Maybe that's something you put on your story..maybe.
111.72,114.48000000000002,He is a relentless self-promoter.
114.48,119.14000000000001,Half of the reason Keith has Instagram is to tell you about some fucking show that is going on.
119.14,121.93548387096774,"It's always the derpiest nut, like, what-wh-who What!"
121.93548387096774,125.63999999999994,In what world is this photo gonna make someone wanna come see your show?
125.64,126.5495238095238,What is this?!
126.5495238095238,129.46,This was on Instagram.com/KeithHabs!
129.46,133.6599999999999,"You have over 800, 000 followers, SIR."
133.66,136.56461538461542,And they come for the content I deliver.
136.56461538461542,137.20000000000002,"Oh, my god."
137.22,137.89469879518072,Euuugene.
137.89469879518072,139.49710843373492,You think you're so hot.
139.49710843373492,144.22000000000003,Well i've pulled up some of the ugliest photos Eugene has ever taken.
144.26,145.2993103448276,Like this one.
145.2993103448276,147.00000000000003,What's hot about this?
147.04,150.3822222222223,He's standing shirtless in front of a waterfall.
150.3822222222223,150.8000000000001,Uglyy!
150.82,154.66,It's always you with your shirt off and a weird object.
154.66,155.53,W-what is this?
155.53,158.14000000000001,Me with my shirt off next to a cute animal.
158.2,160.34,This dog isn't even yours!
160.34,160.705625,Oh yeah
160.705625,164.24000000000004,"that was a photo shoot for a magazine and I, uh, found that dog in the lobby."
164.24,164.42000000000002,Ew!
164.42000000000002,169.63999999999996,In front of an exploded volcano? *nasty throwing up noise* yuck yuck yuck.
169.64,177.22059701492537,There's a hilarious sub-section of Eugene's Instagram that's like 'Oh I'm ugly' and it's just him doing faces like *making weird noises* *imitating Eugene*
177.22059701492537,181.96918918918922,"Look at me I''m ugly even though you know me to be very beautiful I'm not hot, I'm approachable!"
181.96918918918922,183.48702702702707,And they're all still really hot.
183.48702702702707,184.78000000000006,And they're still super hot.
184.9,189.66,"Eugene, you have an inability to let yourself not look hot in any photo."
189.66,193.46181818181822,Let me show you one of the photos that's hot that you have taken.
193.46181818181822,193.76000000000005,Boom.
193.82,194.81,That's right.
194.81,197.06,Got a little Keith in the waist.
197.12,199.58,Got a little smile on the face :)
199.58,202.5200000000001,Eugene takes and steals my clothes and posts hot photos in them all the time.
202.58,203.28538461538463,My socks.
203.28538461538463,204.29307692307694,Top comment?
204.29307692307694,205.20000000000002,"""Cool socks."""
205.24,206.94,"My shirt, my jacket."
206.94,207.25157894736842,*to Eugene*
207.25157894736842,208.06947368421052,They do look better on you.
208.06947368421052,209.16000000000003,Yeah they do look better on Eugene.
209.16,212.04,I don't have enough photos with dumb shit.
212.04,215.67999999999995,"I'd say good luck, I have a pretty good social media presence."
215.68,217.39999999999998,I think I'm killing the game.
217.4,218.52074074074076,I only have one photo.
218.52074074074076,220.96000000000004,It's the photo I hate more than any photo ever.
220.96,223.82000000000005,It's the one where you just finished having sex with your dog.
223.82,225.3366666666667,It's very clear.
225.3366666666667,228.02,You guys just had rockin' sex.
228.02,230.64000000000001,You might have sex right again after this photo.
230.72,236.06000000000012,"The way he's looking at you, the way you look, like, you have that post-coital glow."
236.06,237.62000000000003,Did you roll on the fucking?
237.62000000000003,239.96000000000006,Or was it just after the fucking was done?
239.96,244.92000000000007,"You do have a tendency to pose, and pretend like you're not posing."
244.98,246.76758620689654,It's a very particular skill.
246.76758620689654,247.14,Uh-huh.
247.14,251.22000000000003,"*Imitating Zach* I'm posing to make it look effortless, yet it's very staged."
251.22,252.88666666666668,Does it look effortless?
252.88666666666668,253.72000000000003,No. Like this.
