start_time,end_time,text
61.16,64.71,today's sponsor tuxmat this is a
64.72,67.99,luxurious and robust car mat with a
68.0,70.39,Precision Fit for whichever vehicle you
70.4,72.99,happen to own now the unit I have here
73.0,76.109,is for a model 3 so Wily Doo actually
76.119,78.429,gets the floor mat upgrade and check out
78.439,81.67,this unboxing experience the Box turns
81.68,85.31,into a car how fitting so this will be
85.32,87.99,Precision cut for your vehicle this is
88.0,90.31,the back of a Tesla Model 3 three you
90.32,91.429,can see you've got the tux matap
91.439,93.95,branding over here here we go now also
93.96,95.95,inside the package we have a QR code
95.96,97.789,which we can scan for an installation
97.799,100.87,guide this is going to be the driver's
100.88,103.149,side but importantly here we've got
103.159,105.069,reinforcement where your heels are going
105.079,108.149,to sit and this is a rubberized portion
108.159,111.55,very durable same kind of texture
111.56,114.149,elsewhere and you can see just how high
114.159,116.87,up in order to protect and sit
116.88,118.83,underneath your pedals now on this one
118.84,121.469,we've also got some velcro pieces to
121.479,123.709,help ensure that it stays in place and
123.719,125.67,we've got the perfect match for the
125.68,128.589,passenger side so tuxmat gives you a
128.599,132.19,durable and versatile all-weather floor
132.2,134.55,mat without necessarily looking like
134.56,136.509,some of those other all weather floor
136.519,138.589,mats this one does a better job of
138.599,140.07,convincing you that you're actually
140.08,141.71,looking at something that's more like
141.72,144.03,carpeting than something that's
144.04,146.11,rubberized so you don't have to
146.12,148.75,sacrifice the look while getting the
148.76,151.03,durability of in all weather matap
151.04,153.07,thanks again to tuxmat for sponsoring
153.08,154.71,this episode and if you guys are
154.72,155.949,interested and want to check if they
155.959,158.03,make tuxmat for your vehicle click the
158.04,160.26,link in the description and go check it
166.64,171.47,out it is the day where luxury and I
171.48,176.11,mean like big time luxury
176.12,180.71,meets the electric car this is the first
180.72,185.39,eqs SUV mybach and this happens to be
185.4,188.11,the night Edition which is even more
188.12,191.83,rare even more expensive in USD over
191.84,196.229,200k in Canadian almost 300K
196.239,198.869,but not only are you getting not even
198.879,201.75,arguably definitely the most luxurious
201.76,204.71,electric vehicle but you're also getting
204.72,207.149,these fine little touches that come with
207.159,210.27,this night Edition now I've looked at a
210.28,212.149,variety of mybox well I've looked at the
212.159,215.47,gas powered mybox but never the electric
215.48,218.11,version and I've looked at the eqs but
218.12,221.11,not the myok version of that and when
221.12,223.309,you think about it these two worlds
223.319,225.509,colliding kind of makes sense because
225.519,229.71,the electric vehicle is already so quiet
229.72,232.149,to begin with and the Maybach brand is
232.159,233.55,all about
233.56,237.19,refinement and smoothness and comfort
237.2,241.429,and quietness with the thick doors and
241.439,245.149,the Dual pain privacy glass now you've
245.159,248.32,got a match made in heaven don't
259.959,263.27,you this thing has so much to talk about
263.28,265.79,and look at and unlike previous videos
265.8,267.469,where I have a really short period of
267.479,269.749,time to tell you all about it this one
269.759,272.909,one I drove it for a week let's talk
272.919,275.27,about the exterior and then we'll move
275.28,277.909,into the inside which is really the
277.919,282.23,important place when it comes to luxury
282.24,285.79,like this first these wheels all the
285.8,289.749,tiny little Maybach emblems making up
289.759,292.43,this grid and this eqs series you know
292.44,295.51,some people have said The Styling is a
295.52,298.15,little bit mundane it's all about drag
298.16,300.189,coefficient efficiency
300.199,302.99,electricity whether it's the eqs sedan
303.0,306.43,or the eqs SUV these things get some
306.44,308.87,serious range this one is no different
308.88,312.95,450 460 km on a full charge and that's
312.96,314.629,with a vehicle that's extremely heavy
314.639,316.029,because you got all these luxury
316.039,318.79,features in there no expense spared
318.8,321.029,you've got these seats with motors and
321.039,324.35,massagers and recline this wheel is
324.36,328.35,doing Dual Purpose as Maybach design but
328.36,330.71,also for added range
330.72,332.79,by stopping some of that air from
332.8,335.629,getting trapped on the inside of the
335.639,337.67,wheel we've also got a fair amount of
337.68,340.39,rubber here and that's going to Aid in
340.4,342.39,your comfort level and then of course
342.4,345.15,we've also got mybach labeled there and
345.16,347.11,they have labeled mybach all over the
347.12,349.23,place except for one location
349.24,351.35,surprisingly which is the emblem where
351.36,354.15,they maintain the Mercedes emblem okay
354.16,356.51,now the front has some interesting
356.52,359.39,tidbits here obviously this thing has
359.4,362.67,your your smart features your assisted
362.68,364.909,cruise control we have a few different
364.919,368.309,tones going on so you can see many
368.319,369.87,elements blacked out for the night
369.88,372.469,Edition but the two-tone package which
372.479,375.029,always lets you know you're dealing with
375.039,377.55,the ultimate in luxury from Mercedes
377.56,379.589,however it's going to cost you in
379.599,382.11,Canadian funds this two-tone upgrade is
382.12,383.909,like it's over 20 grand but it is
383.919,385.27,beautiful and there are elements that
385.28,386.67,are done by hand including this
386.68,389.23,pinstripe here it just feels right on a
390.08,391.71,something else that's interesting since
391.72,395.27,you have to have front-facing cameras
395.28,398.07,for parking these are extremely useful
398.08,400.23,and in this case in order so that they
400.24,403.029,wouldn't disrupt this bar coming down
403.039,405.39,the front here and the symmetry of this
405.4,407.87,Grill they decided to put the
407.88,409.87,front-facing camera actually slightly
409.88,413.11,off center that decision I can see some
413.12,414.95,people questioning they would say well I
414.96,417.39,want the camera to be dead center they
417.4,419.83,chose a design element to be dead center
419.84,422.39,instead I think this is fine this
422.4,424.749,section here carries through a very
424.759,428.23,similar design to the wheels so you've
428.24,432.11,got this variety of mybach logos some
432.12,434.43,flipped upright and some flipped upside
434.44,436.11,down and then they've integrated some of
436.12,439.589,your front sensors we've even got mybok
439.599,441.99,logos inside of the headlights like
442.0,443.95,check that out right there there you see
443.96,446.11,the way it gently comes on and that's
446.12,449.07,another thing this vehicle greets you
449.08,452.27,this vehicle is happy to see you when
452.28,454.869,you arrive you get this little musical
454.879,457.51,chime obviously you've got the puddle
457.52,459.99,light projectors from the doors more
460.0,463.07,mybach emblems of course projected onto
463.08,466.43,the ground you can tweak all of this
466.44,468.43,atmospheric stuff on the outside inside
468.44,471.07,of the car but by default it's just like
471.08,474.07,this it's singing you a little song it's
474.08,476.589,letting you know that it's glad that
476.599,478.43,you've spent all this money it's a
478.44,480.79,reminder that you're not stepping into a
480.8,482.189,typical vehicle but instead you're
482.199,490.11,stepping into a myok and an electric
490.12,492.589,Mercedes this is a really interesting
492.599,494.309,location at first you might be thinking
494.319,496.149,that is a very narrow charge port well
496.159,498.749,it's not a charge port at all in fact
498.759,500.35,this might be the world's most
500.36,504.35,convenient refill station for your
504.36,506.629,washer fluid and by the way I was trying
506.639,508.99,to pop it open when the car was locked
509.0,510.869,and it wasn't allowing me to do so so
510.879,513.79,nobody can mess with your washer fluid
513.8,515.509,pour something else in there I mean I
515.519,516.949,didn't even think about that until I
516.959,518.63,just tried to open it while the car was
518.64,520.31,locked now one of the reasons for that
520.32,522.19,is because underneath This Hood there is
522.2,524.59,no frunk this is a frontless EV and you
524.6,526.509,might be like wait a sec there should be
526.519,528.79,plenty of room under there according to
528.8,530.75,Mercedes there's all kinds of important
530.76,532.31,components that are housed under there
532.32,534.23,and therefore you get no frunk and
534.24,537.19,you'll be refilling your washer fluid on
537.2,539.43,the side of the vehicle over here these
539.44,542.15,doors are motorized self-closing when
542.16,543.75,you get into the driver's seat if you
543.76,545.67,put your foot on the brake pedal the
545.68,547.63,door will close on its own you can also
547.64,549.63,program the unlock button if you press
549.64,552.79,and hold you can have it open in this
552.8,555.15,case the passenger door like magic look
555.16,558.509,at this go ahead step right up no
558.519,561.31,problem and to close the door a little
561.32,564.71,touch on the outside and more magic
564.72,566.829,another mybok logo down here I think
566.839,569.069,this is kind of funny this little step
569.079,570.87,because the car is not that high to
570.88,572.829,begin with another Maybach emblem here
572.839,574.55,this is maybe my favorite one of the
574.56,576.59,bunch I don't know why that is I just
576.6,578.03,feel like that is the perfect spot for
578.04,580.23,an emblem I just like this emblem also
580.24,582.91,on this side we have our charge port and
582.92,584.75,it's underneath this cap here this looks
584.76,586.87,pretty simple of course we have our flip
586.88,589.31,down for faster charging I can notice
589.32,591.509,some gaskets there as well to keep water
591.519,594.31,from getting in around back I mean it's
594.32,597.23,simple looking kind of from every angle
597.24,599.91,but what they've added is detail one of
599.92,601.389,those things is the way that you open
601.399,604.03,the trunk so a lot of SUVs you have some
604.04,605.55,sort of button down at the bottom where
605.56,607.269,it lifts up and you kind of search for
607.279,609.069,it and it gets dirty down there this one
609.079,610.43,you're not going to miss because it's
610.44,613.269,this giant Mercedes emblem in the center
613.279,615.67,and it does dual function because it
615.68,618.55,also flips up for your rear-facing
618.56,621.55,camera parking camera just push like
621.56,623.949,that and it opens up the trunk and of
623.959,625.43,course the whole time you're getting
