start_time,end_time,words
0,20,I 'm about to enter a part of Tokyo that is hidden from society the one and only slum called Sonna Tokyo skid R is a place where tourists never visit this small neighborhood has been wiped off Japanese Maps because the government does n't want you to know that poverty exists here insia Outcast loiter with cheap beer while hostiles advertise rooms at Rock Bottom
20,40,rates I want to see what a slum looks like in one of the world 's richest cities because it 's not all fancy restaurants and high - tech gadgets I have three goals while filming in Sonia one to hang out with as many local residents as I can two to try to document the living conditions inside someone 's home that 's where you sleep and three to meet up with a member of the Yakuza the notorious Japanese gang who run these
40,60,streets can I see your oh to do all of this I 'm meeting up with my local friend Kos who will help me navigate the winding alleys that separate this slum from the rest of Tokyo the taxi just dropped us off I think we 're nearby the vibe here is like a post World War II classic Japan
60,80,ches Town away from all the shiny buildings and neon lights just walking on the street here there 's just trash everywhere just piles of trash look at this it already feels different down here than other parts of Tokyo I have n't seen a single Foreigner yet in this whole area and we 're in peak season right now cherry blossom season so there 's foreigners all over Tokyo maybe I can
80,100,book your hotel here no please no please no we ca n't really find it so we 're just asking around like on the other side of the Street yeah somewhere in this direction we 've been told I it is
100,120,impossible to find this place unless you know where you 're going that 's because in 1966 the Japanese government ordered the name Sonia to be removed from all official records it was an attempt to camouflage its association with poverty alcoholism and violence feels a little different right yeah yeah yeah different that 's
120,140,"normal it 's normal there 's a lot of hotels here and when you look at the prices it 's 2,000 Yen a night which is about $ 10 anywhere else in Tokyo you ca n't find a room for under like 70 bucks a night yeah see there 's homeless guys already hi"
140,160,Hi how are American what is a typical day in the life of people living here not that Christmas the people living here like they escape from Yakuza oh yeah yeah yeah and they were supported by government are there any Yakuza people here many many there
160,180,'s Yak office really what are some of the crazier things that you 've seen living here he saw many people die here he tried to get suicide oh he took 50 medicine why did you try to commit suicide uh he get tired over the life is it dangerous here
180,200,should go oh long long time ago really but they they killed other witnessing riots in Sonia are not common these days but they were an essential part of the slums history after the second world war small tent Villages were set up in this neighborhood for people who are made homeless by us bombings as these Villages turned into cheap hostiles Sonia became
200,220,populated with bluecollar workers in search of jobs and shelter these are the very men who rebuilt modern Japan the Tokyo Tower facilities for the 1964 Olympics as well as as key roads and highways but now they 've been forgotten and are left alone to survive on small pensions while drinking beer and playing board games to pass time I surprised that
220,240,there is a slum in Tokyo ah many trash there after walking around for a few blocks we stumble upon a park which we are told is a center of activity in the slum there 's a lot of elderly men here everyone has a beer in their hand and they 're all just playing games it 's 128 and they 're all just drinking beer are you is this your sleep
240,260,what do he say I do n't understand what how many years are you here strange guy that guy could definitely kick him ass he 's a big dude
260,280,these guys are nice not so friendly huh at first you would think they would be friendly and welcoming but they were kind of just like f off yeah yeah all right I have a plan it 's a little hard to like kind of get in with them so we 're going to go buy a lot of beer cuz
280,300,they 're all drinking beer so I think if we do that do you think they 'll be happy yeah yeah thankfully in Japan there 's 7 - Eleven everywhere and you can buy
300,320,all right we rolling back up to the park with a bunch of boo they 're happy okay he came from his bed what 's what 's
320,340,your name n n what he does n't have a oh it 's amazing that all we did was bring beer and now they 're really open and friendly what he wants oh he you want a woman yeah I do n't I do n't have that for you sorry come by
340,360,come by come by everything changed with the beered how many years are you living here he does n't want the answer okay no problem no problem tell me something interesting you here does n't
360,380,want to say really when I look at you I can tell that you had a very interesting life he has much dep that es Escape what from the but he 's not Yakuza not what 's the best and the worst thing about living in Sona nothing nothing bad what
380,400,about good nothing nothing everything nothing today today the best you got free beer yeah take another one t I have to like keep reminding myself that I 'm in Japan right now in the world 's biggest and most futuristic city of Tokyo you
400,420,can find this happening and this happening what is this doing laundry oh oh yeah laundry laundry I need to do my laundry should I come back who 10 people sleep right here every day it does n't look like there 's very many
420,440,places to sleep in here but I guess that is do you have a family no kids can I ask how old you are 77 wow you look very young face do you
440,460,enjoy living here he can eat everyday like food for free yeah he 's happy do you drink beer day yeah yeah what makes you happy happy in this world not nothing nothing they all answer nothing okay okay I do you feel
460,480,dangerous or no I do n't feel comfortable to talk them like I I do n't know like like when they get angry or they 're not angry are they no no he was a little bit yeah yeah what are they saying uh they say like um they try to be kind to us oh yeah
480,500,yeah but it 's not good way I get it some people like they you know how to communicate also you keep asking them then they 're like nothing yeah nothing nothing they just say nothing yeah private people yeah yeah yeah yeah yeah do you think they 're shy no no no no not shy but they
500,520,do n't accept the exchanges they just want to take but they just do n't want give the moment we brought them beer everybody got so happy yeah yeah yeah but after after drink after they drink it no yeah just just just go
520,540,home what 's it like to live in this community so fun oh he 's having fun why it 's easy to live here comfortable uh they like drinking beer together do you drink beer every day oh yeah like the community
540,560,like you give them the food but what once a week what kind of food do people work here or they just sit and drink beer all day the government pay them so the rest of money they use for beer so they sit here and how much does the government
560,580,pay you every month $ 400 is it stressful to live in this part of Tokyo uh they do n't care because they like to communicate people but now it 's getting less so they like to live here and they like to communicate are there any women living here or is only man
580,600,no really yeah there are so many problems happen happening so only man can live here do you want a
600,620,beer going where are we going he 's his house this lovely old man on a bike we offered him a beer and then he 's like yeah let 's uh I can show you around my little Community here so he 's I guess he 's taking us to his house right
620,640,oh he 's walking fast yeah hey go
640,660,cigarettes in here what I 'm seeing here is crazy it looks like a messy college dorm room scraps of food on the counter wet clothes hanging from the ceiling and people packed together like sardines there 's not much else to explore in here and I 'm finding out that these people are not actually his
660,680,roommates I 'm being led upstairs to see something even more bizarre here he 's sleeping here he 's sleeping here that 's where you sleep wow this entire situation is wild you have to go to the top of the complex in these tiny little staircase and this is where he lives I 'm like so shocked to
680,700,see this I have n't seen something like see this I have n't seen something like this anywhere in the okay wow how long have you been living 50 years in the same spot oh yeah yes yes really have you ever seen anything never never never seen never seen like this where are you originally
700,720,from oh we were there yesterday do you from oh we were there yesterday do you have to pay any rent living here $ 300 you have to pay $ 300 3300 are you working do you have a job construction like like like this like this oh he 's making stuff does does somebody live right here in this door
