start_time,stop_time,avg_intensity
0,5,38.1
5,10,100.0
10,15,105.7
15,20,40.9
20,25,28.3
25,30,26.799999999999997
30,35,25.299999999999997
35,40,31.2
40,45,37.1
45,50,39.05
50,55,39.525
55,60,40.0
60,65,41.5
65,70,49.6
70,75,44.2
75,80,38.9
80,85,16.6
85,90,13.1
90,95,9.7
95,100,25.4
100,105,27.0
105,110,26.275
110,115,25.55
115,120,23.225
120,125,20.9
125,130,17.200000000000003
130,135,17.75
135,140,18.3
140,145,21.2
145,150,35.7
150,155,35.5
155,160,35.2
160,165,21.6
165,170,17.1
170,175,12.6
175,180,13.8
180,185,12.9
185,190,12.75
190,195,12.6
195,200,12.75
200,205,12.9
205,210,12.6
210,215,10.7
215,220,11.6
220,225,12.6
225,230,11.7
230,235,17.5
235,240,23.3
240,245,36.5
245,250,40.6
250,255,41.025000000000006
255,260,41.45
260,265,37.8
265,270,37.824999999999996
270,275,37.849999999999994
275,280,37.925
280,285,38.0
285,290,37.5
290,295,38.9
295,300,35.5
300,305,32.1
305,310,24.0
310,315,20.9
315,320,17.7
320,325,20.1
325,330,19.6
330,335,19.675
335,340,19.75
340,345,18.6
345,350,16.450000000000003
350,355,14.3
355,360,12.3
360,365,10.3
365,370,8.7
370,375,9.9
375,380,10.5
380,385,11.1
385,390,13.5
390,395,13.4
395,400,13.3
400,405,10.7
405,410,10.0
410,415,9.525
415,420,9.05
420,425,9.525
425,430,10.0
430,435,10.1
435,440,13.0
440,445,15.9
445,450,22.8
450,455,39.6
455,460,44.4
460,465,49.3
465,470,45.9
470,475,40.1
475,480,34.3
480,485,21.3
485,490,15.3
490,495,12.725
495,500,10.149999999999999
500,505,10.075
505,510,10.0
510,515,9.45
515,520,9.725
520,525,10.0
525,530,10.0
530,535,10.0
535,540,10.0
540,545,10.0
545,550,9.7
550,555,10.0
555,560,10.3
560,565,2.9
565,570,11.3
570,575,23.575000000000003
575,580,35.85
580,585,43.925
585,590,52.0
590,595,51.9
595,600,14.9
600,605,11.0
605,610,7.2
610,615,29.8
615,620,32.8
620,625,35.8
625,630,25.0
630,635,25.9
635,640,28.849999999999998
640,645,31.799999999999997
645,650,37.2
650,655,35.25
655,660,33.3
660,665,30.549999999999997
665,670,27.8
670,675,26.6
675,680,30.6
680,685,31.0
685,690,31.5
690,695,33.2
695,700,30.0
700,705,26.9
705,710,17.9
710,715,15.1
715,720,14.9
720,725,14.700000000000001
725,730,16.1
730,735,14.600000000000001
735,740,13.1
740,745,11.55
745,750,10.0
750,755,8.8
755,760,10.0
760,765,10.0
765,770,10.0
770,775,9.2
775,780,10.0
780,785,10.8
785,790,10.9
790,795,14.2
795,800,17.375
800,805,20.55
805,810,23.525
810,815,26.5
815,820,28.799999999999997
820,825,28.849999999999998
825,830,28.9
830,835,29.7
835,840,30.6
840,845,30.2
845,850,29.7
850,855,26.1
855,860,26.6
860,865,27.2
865,870,29.7
870,875,33.0
875,880,35.6
880,885,38.2
885,890,40.6
890,895,43.0
895,900,47.2
900,905,47.400000000000006
905,910,47.6
910,915,46.6
915,920,36.9
920,925,38.4
925,930,39.9
930,935,54.4
935,940,55.2
940,945,56.0
945,950,46.5
950,955,42.4
955,960,40.8
960,965,39.2
965,970,36.900000000000006
970,975,34.6
975,980,29.0
980,985,18.5
985,990,14.7
990,995,10.9
995,1000,16.5
1000,1005,15.6
1005,1010,14.7
1010,1015,10.4
1015,1020,10.1
1020,1025,10.8
1025,1030,11.5
1030,1035,14.2
1035,1040,14.7
1040,1045,15.2
1045,1050,15.2
1050,1055,15.2
1055,1060,15.1
1060,1065,11.2
1065,1070,13.7
1070,1075,16.3
1075,1080,24.7
1080,1085,28.0
1085,1090,31.3
1090,1095,29.1
1095,1100,30.2
1100,1105,29.5
1105,1110,28.8
1110,1115,33.5
1115,1120,44.375
1120,1125,55.25
1125,1130,60.775
1130,1135,66.3
1135,1140,62.8
1140,1145,26.3
1145,1150,16.0
1150,1155,5.6
1155,1160,14.5
1160,1165,14.5
1165,1170,14.6
1170,1175,15.6
1175,1180,16.2
1180,1185,16.975
1185,1190,17.75
1190,1195,17.625
1195,1200,17.5
1200,1205,12.75
1205,1210,11.575
1210,1215,10.4
1215,1220,11.5
1220,1225,18.8
1225,1230,23.2
1230,1235,27.6
1235,1240,28.6
1240,1245,32.4
1245,1250,36.3
1250,1255,43.0
1255,1260,42.5
1260,1265,40.15
1265,1270,37.8
1270,1275,33.95
1275,1280,30.1
1280,1285,27.3
1285,1290,26.05
1290,1295,24.8
1295,1300,21.6
1300,1305,17.0
1305,1310,14.1
1310,1315,11.1
1315,1320,10.0
1320,1325,10.0
1325,1330,10.0
1330,1335,13.4
1335,1340,13.9
1340,1345,13.65
1345,1350,13.4
1350,1355,12.95
1355,1360,12.5
1360,1365,12.6
1365,1370,14.0
1370,1375,14.3
1375,1380,14.6
1380,1385,14.9
1385,1390,14.0
1390,1395,13.2
1395,1400,5.8
1400,1405,10.0
1405,1410,16.85
1410,1415,23.700000000000003
1415,1420,34.9
1420,1425,32.0
1425,1430,29.1
1430,1435,24.0
1435,1440,18.9
1440,1445,16.3
1445,1450,23.8
1450,1455,22.0
1455,1460,20.2
1460,1465,12.4
1465,1470,10.0
1470,1475,7.6
1475,1480,10.0
1480,1485,10.0
1485,1490,9.975
1490,1495,9.95
1495,1500,10.0
1500,1505,10.025
1505,1510,10.05
1510,1515,10.225000000000001
1515,1520,10.4
1520,1525,10.8
1525,1530,12.2
1530,1535,12.1
1535,1540,12.0
1540,1545,10.4
1545,1550,10.0
1550,1555,9.6
1555,1560,10.0
1560,1565,10.0
1565,1570,10.0
1570,1575,10.0
1575,1580,10.0
1580,1585,10.0
1585,1590,10.0
1590,1595,10.0
1595,1600,10.0
1600,1605,6.8
1605,1610,8.0
