timestamp_sec,intensity
0.000,0.000
1.604,20.000
3.208,94.300
8.021,100.000
12.834,105.700
17.646,40.900
24.063,28.300
30.480,15.800
33.688,34.800
40.105,37.100
46.522,39.500
49.730,38.600
56.147,40.000
62.564,41.500
65.772,49.600
72.189,44.200
78.606,38.900
81.814,16.600
88.231,13.100
94.648,9.700
97.856,25.400
104.273,27.000
110.690,28.500
113.898,22.600
120.315,20.900
126.732,19.100
129.940,15.300
136.357,18.300
142.774,21.200
145.982,35.700
152.399,35.500
158.815,35.200
162.024,21.600
168.441,17.100
174.857,12.600
178.066,13.800
184.483,12.900
190.899,12.100
194.108,13.100
200.525,12.900
206.941,12.600
210.150,10.700
216.567,11.600
222.983,12.600
226.192,11.700
232.609,17.500
239.025,23.300
242.234,36.500
248.651,40.600
255.067,44.600
258.276,38.300
264.692,37.800
271.109,37.300
274.318,38.400
280.734,38.000
287.151,37.500
290.360,38.900
296.776,35.500
303.193,32.100
306.402,24.000
312.818,20.900
319.235,17.700
322.444,20.100
328.860,19.600
335.277,19.100
338.486,20.400
344.902,18.600
351.319,16.700
354.527,11.900
360.944,10.300
367.361,8.700
370.569,9.900
376.986,10.500
383.403,11.100
386.611,13.500
393.028,13.400
399.445,13.300
402.653,10.700
409.070,10.000
415.487,9.300
418.695,8.800
425.112,10.000
431.529,11.200
434.737,9.000
441.154,15.900
447.571,22.800
450.779,39.600
457.196,44.400
463.613,49.300
466.821,45.900
473.238,40.100
479.655,34.300
482.863,21.300
489.280,15.300
495.697,9.200
498.905,11.100
505.322,10.000
511.739,8.900
514.947,10.000
521.364,10.000
527.781,10.000
530.989,10.000
537.406,10.000
543.823,10.000
547.031,9.700
553.448,10.000
559.865,10.300
563.073,2.900
569.490,11.300
575.907,19.700
579.115,52.000
585.532,52.000
591.949,51.900
595.157,14.900
601.574,11.000
607.991,7.200
611.199,29.800
617.616,32.800
624.033,35.800
627.241,25.000
633.658,25.900
640.075,26.800
643.283,36.800
649.700,37.200
656.116,37.600
659.325,29.000
665.742,27.800
672.158,26.600
675.367,30.600
681.784,31.000
688.200,31.500
691.409,33.200
697.826,30.000
704.242,26.900
707.451,17.900
713.868,15.100
720.284,12.300
723.493,17.100
729.910,16.100
736.326,15.000
739.535,11.200
745.952,10.000
752.368,8.800
755.577,10.000
761.993,10.000
768.410,10.000
771.619,9.200
778.035,10.000
784.452,10.800
787.661,10.900
794.077,14.200
800.494,17.500
803.703,23.600
810.119,26.500
816.536,29.400
819.745,28.200
826.161,28.900
832.578,29.700
835.787,30.600
842.203,30.200
848.620,29.700
851.829,26.100
858.245,26.600
864.662,27.200
867.870,29.700
874.287,33.000
880.704,36.300
883.912,40.100
890.329,43.000
896.746,45.900
899.954,48.500
906.371,47.600
912.788,46.600
915.996,36.900
922.413,38.400
928.830,39.900
932.038,54.400
938.455,55.200
944.872,56.000
948.080,46.500
954.497,42.400
960.914,38.300
964.122,40.100
970.539,34.600
976.956,29.000
980.164,18.500
986.581,14.700
992.998,10.900
996.206,16.500
1002.623,15.600
1009.040,14.700
1012.248,10.400
1018.665,10.100
1025.082,9.800
1028.290,13.200
1034.707,14.200
1041.124,15.200
1044.332,15.200
1050.749,15.200
1057.166,15.100
1060.374,11.200
1066.791,13.700
1073.208,16.300
1076.416,24.700
1082.833,28.000
1089.250,31.300
1092.458,29.100
1098.875,30.200
1105.292,31.300
1108.500,26.300
1114.917,33.500
1121.334,40.700
1124.542,69.800
1130.959,66.300
1137.376,62.800
1140.584,26.300
1147.001,16.000
1153.418,5.600
1156.626,14.500
1163.043,14.500
1169.459,14.600
1172.668,15.600
1179.085,16.200
1185.501,16.800
1188.710,18.700
1195.127,17.500
1201.543,16.300
1204.752,9.200
1211.169,10.400
1217.585,11.500
1220.794,18.800
1227.211,23.200
1233.627,27.600
1236.836,28.600
1243.253,32.400
1249.669,36.300
1252.878,43.000
1259.294,42.500
1265.711,42.000
1268.920,33.600
1275.336,30.100
1281.753,26.600
1284.962,28.000
1291.378,24.800
1297.795,21.600
1301.004,17.000
1307.420,14.100
1313.837,11.100
1317.046,10.000
1323.462,10.000
1329.879,10.000
1333.088,13.400
1339.504,13.900
1345.921,14.400
1349.130,12.400
1355.546,12.500
1361.963,12.600
1365.171,14.000
1371.588,14.300
1378.005,14.600
1381.213,14.900
1387.630,14.000
1394.047,13.200
1397.255,5.800
1403.672,10.000
1410.089,14.200
1413.297,33.200
1419.714,34.900
1426.131,36.700
1429.339,21.500
1435.756,18.900
1442.173,16.300
1445.381,23.800
1451.798,22.000
1458.215,20.200
1461.423,12.400
1467.840,10.000
1474.257,7.600
1477.465,10.000
1483.882,10.000
1490.299,10.000
1493.507,9.900
1499.924,10.000
1506.341,10.100
1509.549,10.000
1515.966,10.400
1522.383,10.800
1525.591,12.200
1532.008,12.100
1538.425,12.000
1541.633,10.400
1548.050,10.000
1554.467,9.600
1557.675,10.000
1564.092,10.000
1570.509,10.000
1573.717,10.000
1580.134,10.000
1586.551,10.000
1591.363,10.000
1596.176,10.000
1600.988,10.000
1602.593,12.000
1604.197,10.000
1605.801,8.000
1604.197,2.000
1604.197,0.000
