start_time,end_time,text
0.08,1.9489999999999998,I'm about to enter a part of Tokyo that
1.959,4.349,is hidden from society the one and only
4.359,7.51,slum called Sonna Tokyo skid R is a
7.52,9.509,place where tourists never visit this
9.519,11.11,small neighborhood has been wiped off
11.12,12.669,Japanese Maps because the government
12.679,14.31,doesn't want you to know that poverty
14.32,16.95,exists here insia Outcast loiter with
16.96,18.75,cheap beer while hostiles advertise
18.76,20.91,rooms at Rock Bottom rates I want to see
20.92,22.269,what a slum looks like in one of the
22.279,24.109,world's richest cities because it's not
24.119,25.71,all fancy restaurants and high-tech
25.72,27.509,gadgets I have three goals while filming
27.519,29.589,in Sonia one to hang out with as many
29.599,31.83,local residents as I can two to try to
31.84,33.59,document the living conditions inside
33.6,35.35,someone's home that's where you sleep
35.36,36.91,and three to meet up with a member of
36.92,39.27,the Yakuza the notorious Japanese gang
39.28,41.029,who run these streets can I see your
43.28,45.75,oh to do all of this I'm meeting up with
45.76,47.549,my local friend Kos who will help me
47.559,49.069,navigate the winding alleys that
49.079,52.95,separate this slum from the rest of
52.96,55.91,Tokyo the taxi just dropped us off I
55.92,57.83,think we're nearby the vibe here is like
57.84,60.31,a post World War II classic Japan ches
60.32,62.349,Town away from all the shiny buildings
62.359,64.109,and neon lights just walking on the
64.119,65.789,street here there's just trash
65.799,67.83,everywhere just piles of trash look at
67.84,70.149,this it already feels different down
70.159,72.149,here than other parts of Tokyo I haven't
72.159,73.67,seen a single Foreigner yet in this
73.68,75.87,whole area and we're in peak season
75.88,77.469,right now cherry blossom season so
77.479,79.23,there's foreigners all over Tokyo maybe
79.24,82.23,I can book your hotel here no please no
82.24,83.95,please no we can't really find it so
83.96,87.749,we're just asking
87.759,90.03,around like on the other side of the
90.04,92.87,Street yeah somewhere in this direction
92.88,98.749,we've been
98.759,102.27,told I it is impossible to find this
102.28,103.91,place unless you know where you're going
103.92,106.429,that's because in 1966 the Japanese
106.439,108.27,government ordered the name Sonia to be
108.28,110.51,removed from all official records it was
110.52,112.63,an attempt to camouflage its association
112.64,115.469,with poverty alcoholism and violence
115.479,116.95,feels a little different right yeah yeah
116.96,122.109,yeah different that's normal it's normal
122.119,123.95,there's a lot of hotels here and when
123.96,126.51,"you look at the prices it's 2,000 Yen a"
126.52,128.669,night which is about $10 anywhere else
128.679,130.589,in Tokyo you can't find a room for under
130.599,135.63,like 70 bucks a
135.64,137.79,night yeah see there's homeless guys
137.8,141.47,already hi Hi how are
144.4,146.589,American what is a typical day in the
146.599,148.79,life of people living here not that
148.8,150.869,Christmas the people living here like
150.879,153.15,they escape from Yakuza oh yeah yeah
153.16,154.79,yeah and they were supported by
154.8,156.55,government are there any Yakuza people
157.56,162.149,here many many there's Yak office really
162.159,163.55,what are some of the crazier things that
163.56,165.509,you've seen living
165.519,168.589,here he saw many people die
168.599,172.149,here he tried to get suicide oh he took
172.159,175.79,50 medicine why did you try to commit
175.8,178.47,suicide uh he get tired over the life is
178.48,181.79,it dangerous here should go oh long long
181.8,183.509,time ago really but they they killed
184.319,187.03,other witnessing riots in Sonia are not
187.04,188.47,common these days but they were an
188.48,190.39,essential part of the slums history
190.4,192.509,after the second world war small tent
192.519,193.75,Villages were set up in this
193.76,195.149,neighborhood for people who are made
195.159,197.11,homeless by us bombings as these
