start_time,stop_time,avg_intensity
0,20,64.0
20,40,23.099999999999998
40,60,37.93333333333333
60,80,18.233333333333334
80,100,13.033333333333333
100,120,27.400000000000002
120,140,10.0
140,160,10.0
160,180,9.666666666666666
180,200,13.733333333333334
200,220,11.799999999999999
220,240,8.766666666666667
240,260,48.699999999999996
260,280,30.133333333333336
280,300,6.6000000000000005
300,320,10.0
320,340,10.0
340,360,9.9
360,380,10.966666666666669
380,400,8.433333333333334
400,420,32.666666666666664
420,440,22.400000000000002
440,460,7.6000000000000005
460,480,13.466666666666667
480,500,12.666666666666666
500,520,10.1
520,540,9.933333333333334
540,560,9.733333333333333
560,580,12.433333333333332
580,600,15.699999999999998
600,620,12.0
620,640,9.533333333333333
640,660,11.066666666666668
660,680,11.633333333333333
680,700,10.4
700,720,14.033333333333333
720,740,25.400000000000002
740,760,59.4
760,780,42.75
780,800,9.766666666666667
800,820,14.1
820,840,11.933333333333332
840,860,9.799999999999999
860,880,9.9
880,900,9.533333333333333
900,920,18.033333333333335
920,940,22.03333333333333
940,960,12.066666666666668
960,980,19.099999999999998
980,1000,17.266666666666666
1000,1020,18.466666666666665
1020,1040,20.599999999999998
1040,1060,14.866666666666667
1060,1080,13.5
1080,1100,13.700000000000001
1100,1120,13.333333333333334
1120,1140,9.666666666666666
1140,1160,10.0
1160,1180,9.033333333333333
1180,1200,11.466666666666667
1200,1220,46.03333333333333
1220,1240,55.900000000000006
1240,1260,5.733333333333333
1260,1280,10.0
1280,1300,8.766666666666667
1300,1320,16.566666666666666
1320,1340,27.666666666666668
1340,1360,20.133333333333333
1360,1380,16.900000000000002
1380,1400,13.299999999999999
1400,1420,9.5
1420,1440,10.0
1440,1460,10.0
1460,1480,10.0
1480,1500,11.0
1500,1520,85.5
1520,1540,13.6
1540,1560,10.0
1560,1580,10.0
1580,1600,10.0
1600,1620,10.0
1620,1640,10.0
1640,1660,10.0
1660,1680,10.0
1680,1700,10.0
1700,1720,13.9
1720,1740,11.333333333333334
1740,1760,12.233333333333334
1760,1780,11.366666666666667
1780,1800,9.766666666666667
1800,1820,10.0
1820,1840,9.866666666666667
1840,1860,11.533333333333333
1860,1880,10.833333333333334
1880,1900,9.866666666666667
1900,1920,10.0
1920,1940,10.0
1940,1960,10.0
1960,1980,10.0
1980,2000,10.0
2000,2020,10.0
2020,2040,7.0
