start_time,stop_time,avg_intensity
0,5,38.46666666666667
5,10,69.23333333333333
10,15,100.0
15,20,104.6
20,25,35.5
25,30,29.3
30,35,23.1
35,40,10.7
40,45,38.9
45,50,38.4
50,55,37.9
55,60,37.0
60,65,23.2
65,70,20.7
70,75,18.2
75,80,13.3
80,85,11.2
85,90,12.1
90,95,13.0
95,100,14.9
100,105,28.0
105,110,27.7
110,115,27.4
115,120,26.8
120,125,13.5
125,130,11.75
130,135,10.0
135,140,6.5
140,145,10.0
145,150,10.0
150,155,10.0
155,160,9.75
160,165,9.5
165,170,9.75
170,175,10.0
175,180,11.525
180,185,13.05
185,190,14.075
190,195,15.1
195,200,13.899999999999999
200,205,12.7
205,210,11.35
210,215,10.0
215,220,8.225
220,225,6.449999999999999
225,230,9.925
230,235,13.4
235,240,18.5
240,245,23.6
245,250,61.6
250,255,60.9
255,260,60.55
260,265,60.2
265,270,20.2
270,275,10.0
275,280,4.9
280,285,-0.2
285,290,10.0
290,295,10.0
295,300,10.0
300,305,10.0
305,310,10.0
310,315,10.0
315,320,10.0
320,325,10.0
325,330,10.0
330,335,10.0
335,340,10.0
340,345,10.0
345,350,9.7
350,355,10.0
355,360,10.15
360,365,10.3
365,370,11.3
370,375,11.3
375,380,11.3
380,385,11.3
385,390,4.0
390,395,7.0
395,400,10.0
400,405,16.0
405,410,41.0
410,415,41.0
415,420,41.0
420,425,41.0
425,430,16.2
430,435,13.1
435,440,10.0
440,445,3.8
445,450,9.0
450,455,9.5
455,460,10.0
460,465,11.0
465,470,14.6
470,475,14.7
475,480,14.8
480,485,15.0
485,490,12.0
490,495,11.5
495,500,11.0
500,505,10.1
505,510,10.2
510,515,10.1
515,520,10.0
520,525,9.8
525,530,10.0
530,535,10.0
535,540,10.0
540,545,10.0
545,550,9.2
550,555,9.6
555,560,10.0
560,565,10.875
565,570,11.75
570,575,12.775
575,580,13.8
580,585,14.75
585,590,15.7
590,595,15.7
595,600,15.7
600,605,14.35
605,610,13.0
