start_time,end_time,text
1.4,2.95,Luke here with the arter boys YouTube
2.96,4.87,channel and I'm making a knife in the
4.88,6.789,middle of Alaska's Wilderness I'm going
6.799,8.31,to be sleeping in my own shelter
8.32,10.27,building a forge out in the woods making
10.28,12.669,my own charcoal kill and forging a knife
12.679,14.68,from scratch
39.64,41.11,it's been a couple weeks since I've been
41.12,45.549,here at the
45.559,47.869,shelter we got quite a bit of ice and
47.879,50.549,snow since I was here last and sealed up
50.559,52.91,the shelter really well well I think I
52.92,54.43,better bust out my shovel and start
54.44,83.95,digging things out
83.96,85.63,all right that looks pretty good I think
85.64,88.469,it's time to go find some kindling
88.479,90.63,though I'll tell you one nice thing
90.64,93.069,about this cold weather it made the snow
93.079,123.069,so hard you don't need snowshoes
123.079,124.429,well I want to get a roaring fire in
124.439,125.67,here pretty quick cuz I want to figure
125.68,127.069,out how much of this snow is going to
127.079,128.83,melt and I don't want to be underneath
128.84,130.869,here when that happens so whatever's
130.879,132.67,going to melt I want it to melt before
132.68,134.79,it gets dark tonight so that I can have
134.8,141.949,a nice dry bed to sleep
141.959,146.15,on oh my fire wood is so wet it rained
146.16,148.43,really good before it got cold I got to
148.44,150.55,prop it all up and get it to dry out
150.56,152.35,before I can use it all right we're
152.36,153.79,going to let that fire thaw out the
153.8,156.03,shelter get everything warmed up and I'm
156.04,157.91,really excited to build a forge out here
157.92,160.11,and do some blacksmithing projects
160.12,161.43,tomorrow but I'm going to need a lot of
161.44,163.19,charcoal so I'm going to build a
163.2,177.63,charcoal Kil and I need a lot of
177.64,179.47,wood think I'm going to go ahead and
179.48,183.229,start cooking some lunch I'm getting
183.239,185.949,hungry I got some frozen salami I want
185.959,189.309,to thaw out with that right there I got
189.319,231.39,some cheese wrapped in tin foil
231.4,233.75,oh that smells amazing I got a big slab
233.76,235.47,of soft cheese covered in a fig
235.48,237.35,marmalade just warmed it up over the
237.36,239.27,fire got it already pre-cut into a
239.28,243.47,little cubes got a nice Italian
243.48,246.429,salami there we go warm cheese little
246.439,263.83,salami some fig
263.84,265.83,sauce we're going to use this to make
265.84,300.23,our charcoal kill
358.6,360.39,we got the wood jam in there about as
360.4,379.99,tight as I
380.0,382.67,can there's a lot of snow and moisture
